Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
F1,23/07/93,Nantes,Monaco,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,24/07/93,Bordeaux,Paris SG,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,24/07/93,Caen,Metz,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,24/07/93,Lille,Martigues,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,24/07/93,Marseille,Lens,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,24/07/93,Montpellier,Lyon,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,24/07/93,Sochaux,Angers,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,24/07/93,St Etienne,Cannes,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,24/07/93,Strasbourg,Auxerre,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,24/07/93,Toulouse,Le Havre,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
F1,31/07/93,Auxerre,Montpellier,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1603.5,1596.5
F1,31/07/93,Le Havre,Bordeaux,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1603.5,1609.0
F1,31/07/93,Lens,Strasbourg,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1591.0,1596.5
F1,31/07/93,Lyon,Caen,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1603.5,1596.5
F1,31/07/93,Martigues,Sochaux,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1603.5,1609.0
F1,31/07/93,Metz,Angers,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1603.5,1591.0
F1,31/07/93,Monaco,Toulouse,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1591.0,1596.5
F1,31/07/93,Nantes,St Etienne,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1609.0,1584.0
F1,31/07/93,Paris SG,Lille,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1591.0,1596.5
F1,01/08/93,Cannes,Marseille,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1616.0,1609.0
F1,06/08/93,Lille,Lens,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1587.32,1587.68
F1,07/08/93,Angers,Lyon,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1582.41,1612.27
F1,07/08/93,Bordeaux,Cannes,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1624.82,1624.77
F1,07/08/93,Caen,Auxerre,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1587.73,1612.27
F1,07/08/93,Marseille,Le Havre,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1600.23,1587.68
F1,07/08/93,Montpellier,Martigues,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1587.73,1600.18
F1,07/08/93,Sochaux,Metz,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1612.32,1612.09
F1,07/08/93,St Etienne,Monaco,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1575.81,1600.18
F1,07/08/93,Strasbourg,Paris SG,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1599.82,1600.18
F1,07/08/93,Toulouse,Nantes,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1587.32,1617.19
F1,10/08/93,Monaco,Bordeaux,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1590.36,1621.32
F1,11/08/93,Auxerre,Angers,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1602.44,1592.42
F1,11/08/93,Cannes,Lille,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1628.27,1583.83
F1,11/08/93,Le Havre,St Etienne,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1591.59,1585.63
F1,11/08/93,Lens,Montpellier,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1591.17,1597.15
F1,11/08/93,Lyon,Metz,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1602.26,1603.1
F1,11/08/93,Martigues,Caen,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1590.76,1597.56
F1,11/08/93,Nantes,Marseille,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1632.18,1596.32
F1,11/08/93,Paris SG,Sochaux,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1603.67,1621.31
F1,11/08/93,Toulouse,Strasbourg,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1572.33,1596.33
F1,14/08/93,Angers,Martigues,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1596.25,1599.99
F1,14/08/93,Bordeaux,Nantes,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1611.27,1627.53
F1,14/08/93,Caen,Lens,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1588.33,1600.37
F1,14/08/93,Lille,Le Havre,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1576.25,1587.89
F1,14/08/93,Metz,Auxerre,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1594.07,1598.61
F1,14/08/93,Montpellier,Monaco,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1587.95,1600.41
F1,14/08/93,Sochaux,Lyon,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1611.72,1611.29
F1,14/08/93,St Etienne,Toulouse,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1589.33,1569.64
F1,14/08/93,Strasbourg,Cannes,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1599.02,1635.85
F1,15/08/93,Marseille,Paris SG,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.97,1613.26
F1,27/08/93,Monaco,Marseille,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1615.99,1610.38
F1,28/08/93,Auxerre,Lyon,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1601.96,1627.31
F1,28/08/93,Cannes,Sochaux,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1638.1,1595.7
F1,28/08/93,Le Havre,Strasbourg,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1591.0,1596.77
F1,28/08/93,Lens,Angers,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1590.97,1580.37
F1,28/08/93,Martigues,Metz,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1615.87,1590.72
F1,28/08/93,Nantes,Montpellier,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1617.99,1572.37
F1,28/08/93,Paris SG,Caen,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1603.85,1597.73
F1,28/08/93,St Etienne,Bordeaux,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1585.19,1620.81
F1,28/08/93,Toulouse,Lille,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1573.78,1573.14
F1,31/08/93,Bordeaux,Toulouse,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1623.1,1570.26
F1,01/09/93,Angers,Paris SG,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1596.72,1612.65
F1,01/09/93,Caen,Cannes,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1588.93,1633.25
F1,01/09/93,Lille,Nantes,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1576.66,1613.04
F1,01/09/93,Lyon,Martigues,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1617.46,1611.55
F1,01/09/93,Marseille,St Etienne,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1614.07,1582.9
F1,01/09/93,Metz,Lens,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1595.04,1574.62
F1,01/09/93,Montpellier,Le Havre,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1577.32,1575.19
F1,01/09/93,Sochaux,Auxerre,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.55,1611.81
F1,01/09/93,Strasbourg,Monaco,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1612.58,1612.3
F1,10/09/93,Le Havre,Caen,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1566.26,1586.94
F1,11/09/93,Bordeaux,Metz,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1630.43,1603.37
F1,11/09/93,Cannes,Angers,4.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,1635.24,1593.75
F1,11/09/93,Lens,Lyon,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1566.29,1613.76
F1,11/09/93,Martigues,Auxerre,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1615.25,1602.44
F1,11/09/93,Monaco,Lille,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1615.81,1574.4
F1,11/09/93,Nantes,Strasbourg,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1615.3,1609.07
F1,11/09/93,Paris SG,Montpellier,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1615.62,1586.25
F1,11/09/93,St Etienne,Sochaux,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1574.91,1609.92
F1,11/09/93,Toulouse,Marseille,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1562.93,1622.06
F1,18/09/93,Auxerre,Lens,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1618.86,1576.91
F1,18/09/93,Caen,Toulouse,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1602.25,1561.47
F1,18/09/93,Lille,St Etienne,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1566.72,1572.6
F1,18/09/93,Lyon,Paris SG,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1603.14,1623.67
F1,18/09/93,Marseille,Bordeaux,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1623.52,1638.55
F1,18/09/93,Metz,Le Havre,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1595.25,1550.95
F1,18/09/93,Montpellier,Cannes,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1578.2,1642.91
