Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
I1,29/08/93,Atalanta,Cagliari,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
I1,29/08/93,Genoa,Roma,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
I1,29/08/93,Inter,Reggiana,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
I1,29/08/93,Juventus,Cremonese,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
I1,29/08/93,Lazio,Foggia,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
I1,29/08/93,Lecce,Milan,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
I1,29/08/93,Napoli,Sampdoria,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
I1,29/08/93,Piacenza,Torino,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
I1,29/08/93,Udinese,Parma,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
I1,05/09/93,Cagliari,Udinese,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1591.0,1584.0
I1,05/09/93,Cremonese,Napoli,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1591.0,1584.0
I1,05/09/93,Foggia,Inter,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1603.5,1609.0
I1,05/09/93,Milan,Genoa,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1616.0,1609.0
I1,05/09/93,Parma,Lecce,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1616.0,1584.0
I1,05/09/93,Reggiana,Lazio,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1591.0,1596.5
I1,05/09/93,Roma,Juventus,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1591.0,1609.0
I1,05/09/93,Sampdoria,Piacenza,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1616.0,1584.0
I1,05/09/93,Torino,Atalanta,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1616.0,1609.0
I1,08/09/93,Atalanta,Reggiana,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1600.23,1587.68
I1,08/09/93,Genoa,Cagliari,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1600.23,1574.77
I1,08/09/93,Inter,Cremonese,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1612.32,1599.77
I1,08/09/93,Juventus,Sampdoria,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1599.4,1623.97
I1,08/09/93,Lazio,Parma,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1599.82,1623.97
I1,08/09/93,Lecce,Foggia,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1576.03,1600.18
