Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
SP1,05/09/93,Ath Bilbao,Albacete,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,05/09/93,Ath Madrid,Logrones,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,05/09/93,Barcelona,Sociedad,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,05/09/93,La Coruna,Celta,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,05/09/93,Osasuna,Real Madrid,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,05/09/93,Oviedo,Valencia,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,05/09/93,Santander,Vallecano,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,05/09/93,Tenerife,Lerida,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,05/09/93,Valladolid,Sp Gijon,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,05/09/93,Zaragoza,Sevilla,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0
SP1,12/09/93,Albacete,Barcelona,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1591.0,1609.0
SP1,12/09/93,Celta,Oviedo,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1603.5,1584.0
SP1,12/09/93,Lerida,Ath Bilbao,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1591.0,1609.0
SP1,12/09/93,Logrones,Santander,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1591.0,1609.0
SP1,12/09/93,Real Madrid,Valladolid,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1616.0,1584.0
SP1,12/09/93,Sevilla,Osasuna,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1616.0,1584.0
SP1,12/09/93,Sociedad,Zaragoza,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1591.0,1584.0
SP1,12/09/93,Sp Gijon,La Coruna,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1616.0,1596.5
SP1,12/09/93,Valencia,Ath Madrid,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1616.0,1609.0
SP1,12/09/93,Vallecano,Tenerife,4.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,1591.0,1609.0
SP1,19/09/93,Ath Bilbao,Barcelona,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1624.4,1611.9
SP1,19/09/93,Ath Madrid,Celta,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1612.73,1599.36
SP1,19/09/93,La Coruna,Real Madrid,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1613.14,1598.97
