Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
D2,20/08/94,F Koln,Chemnitz,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1457.33,1503.33
D2,20/08/94,Hannover,Meppen,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1480.1,1481.7
D2,20/08/94,Hertha,Hansa Rostock,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1489.72,1468.5
D2,20/08/94,Mainz,Homburg,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1470.97,1474.89
D2,20/08/94,Saarbrucken,Dusseldorf,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1454.75,1480.0
D2,20/08/94,St Pauli,Wolfsburg,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1532.57,1485.83
D2,20/08/94,Wattenscheid,Leipzig,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1451.15,1382.81
D2,20/08/94,Zwickau,FSV Frankfurt,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1480.0,1480.0
D2,21/08/94,Nurnberg,Mannheim,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1494.84,1506.08
D2,24/08/94,Chemnitz,Saarbrucken,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1492.76,1439.6
D2,24/08/94,Dusseldorf,Wattenscheid,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1495.15,1458.03
D2,24/08/94,FSV Frankfurt,F Koln,0.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,1483.5,1467.9
D2,24/08/94,Hansa Rostock,St Pauli,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1485.19,1527.58
D2,24/08/94,Homburg,Zwickau,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1465.76,1476.5
D2,24/08/94,Leipzig,Hannover,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1375.93,1489.15
D2,24/08/94,Mannheim,Hertha,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1509.21,1473.03
D2,24/08/94,Meppen,Nurnberg,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1472.65,1491.71
D2,24/08/94,Wolfsburg,Mainz,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1490.82,1480.1
D2,27/08/94,FSV Frankfurt,Homburg,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1466.99,1475.12
D2,27/08/94,Hannover,Dusseldorf,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1476.17,1490.46
D2,27/08/94,Hertha,Meppen,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1465.19,1457.29
D2,27/08/94,Mainz,Hansa Rostock,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1471.45,1495.64
D2,27/08/94,Nurnberg,Leipzig,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1507.07,1388.91
D2,27/08/94,Wattenscheid,Chemnitz,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1462.72,1487.58
D2,27/08/94,Zwickau,Wolfsburg,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1467.14,1499.47
D2,29/08/94,St Pauli,Mannheim,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1517.13,1517.05
D2,31/08/94,F Koln,Saarbrucken,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1484.41,1444.78
D2,03/09/94,Chemnitz,Hannover,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1490.24,1460.65
D2,03/09/94,Dusseldorf,Nurnberg,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1505.98,1512.61
D2,03/09/94,Hansa Rostock,Zwickau,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1498.33,1452.24
D2,03/09/94,Homburg,F Koln,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1490.85,1492.14
D2,03/09/94,Leipzig,Hertha,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1383.37,1473.93
D2,03/09/94,Mannheim,Mainz,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1520.55,1468.76
