Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
E3,12/08/95,Chester,Hartlepool,2,0,H,,,,,,,,,,,,,,,,,,,,,,1163.11,1152.28
E3,12/08/95,Colchester,Plymouth,2,1,H,,,,,,,,,,,,,,,,,,,,,,1199.05,1251.57
E3,12/08/95,Doncaster,Scarborough,1,0,H,,,,,,,,,,,,,,,,,,,,,,1206.48,1114.99
E3,12/08/95,Exeter,Darlington,0,1,A,,,,,,,,,,,,,,,,,,,,,,1080.03,1108.2
E3,12/08/95,Fulham,Mansfield,4,2,H,,,,,,,,,,,,,,,,,,,,,,1256.31,1254.42
E3,12/08/95,Gillingham,Wigan,2,1,H,,,,,,,,,,,,,,,,,,,,,,1151.02,1204.53
E3,12/08/95,Hereford,Barnet,4,1,H,,,,,,,,,,,,,,,,,,,,,,1194.92,1176.06
E3,12/08/95,Leyton Orient,Torquay,1,0,H,,,,,,,,,,,,,,,,,,,,,,1093.42,1223.13
E3,12/08/95,Northampton,Bury,4,1,H,,,,,,,,,,,,,,,,,,,,,,1166.07,1328.85
E3,12/08/95,Preston,Lincoln,1,2,A,,,,,,,,,,,,,,,,,,,,,,1280.67,1220.59
E3,12/08/95,Rochdale,Cardiff,3,3,D,,,,,,,,,,,,,,,,,,,,,,1185.26,1175.88
E3,12/08/95,Scunthorpe,Cambridge,1,2,A,,,,,,,,,,,,,,,,,,,,,,1247.43,1253.64
E3,19/08/95,Barnet,Colchester,1,1,D,,,,,,,,,,,,,,,,,,,,,,1167.68,1209.85
E3,19/08/95,Bury,Chester,1,1,D,,,,,,,,,,,,,,,,,,,,,,1314.12,1171.75
E3,19/08/95,Cambridge,Hereford,2,2,D,,,,,,,,,,,,,,,,,,,,,,1269.43,1203.3
E3,19/08/95,Cardiff,Northampton,0,1,A,,,,,,,,,,,,,,,,,,,,,,1179.69,1180.8
E3,19/08/95,Darlington,Rochdale,0,1,A,,,,,,,,,,,,,,,,,,,,,,1123.25,1181.45
E3,19/08/95,Hartlepool,Exeter,0,0,D,,,,,,,,,,,,,,,,,,,,,,1143.64,1064.98
E3,19/08/95,Lincoln,Gillingham,0,3,A,,,,,,,,,,,,,,,,,,,,,,1238.47,1161.86
E3,19/08/95,Mansfield,Leyton Orient,0,0,D,,,,,,,,,,,,,,,,,,,,,,1245.48,1106.99
