Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
I1,27/08/95,Atalanta,Parma,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1547.35,1692.28
I1,27/08/95,Bari,Napoli,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1596.33,1672.42
I1,27/08/95,Fiorentina,Torino,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1601.78,1598.02
I1,27/08/95,Inter,Vicenza,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1636.61,1600.0
I1,27/08/95,Juventus,Cremonese,4.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1763.29,1590.89
I1,27/08/95,Lazio,Piacenza,4.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1725.65,1585.23
I1,27/08/95,Padova,Milan,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,,1577.95,1721.87
I1,27/08/95,Sampdoria,Roma,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1658.89,1693.92
I1,27/08/95,Udinese,Cagliari,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1581.55,1622.81
I1,10/09/95,Cagliari,Lazio,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1612.4,1730.66
I1,10/09/95,Cremonese,Sampdoria,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1586.58,1656.58
I1,10/09/95,Milan,Udinese,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1732.8,1591.96
I1,10/09/95,Napoli,Padova,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1673.28,1567.02
I1,10/09/95,Parma,Inter,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,1690.67,1644.43
I1,10/09/95,Piacenza,Juventus,0.0,4.0,A,0.0,1.0,A,,,,,,,,,,,,1580.22,1767.6
I1,10/09/95,Roma,Atalanta,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1696.23,1548.96
I1,10/09/95,Torino,Bari,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1589.15,1595.47
I1,10/09/95,Vicenza,Fiorentina,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1592.18,1610.65
I1,17/09/95,Atalanta,Napoli,1.0,3.0,A,1.0,1.0,D,,,,,,,,,,,,1569.11,1679.12
I1,17/09/95,Bari,Lazio,3.0,3.0,D,2.0,1.0,H,,,,,,,,,,,,1586.26,1742.5
I1,17/09/95,Fiorentina,Cagliari,3.0,1.0,H,3.0,1.0,H,,,,,,,,,,,,1601.03,1600.56
I1,17/09/95,Inter,Piacenza,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1636.9,1570.8
I1,17/09/95,Juventus,Vicenza,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1777.02,1601.8
I1,17/09/95,Padova,Torino,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1561.18,1598.36
I1,17/09/95,Roma,Milan,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,1676.08,1737.8
I1,17/09/95,Sampdoria,Parma,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1657.66,1698.2
I1,17/09/95,Udinese,Cremonese,3.0,2.0,H,0.0,0.0,D,,,,,,,,,,,,1586.96,1585.5
I1,24/09/95,Cagliari,Juventus,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1591.58,1781.27
I1,24/09/95,Cremonese,Roma,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1576.55,1662.21
I1,24/09/95,Lazio,Udinese,2.0,2.0,D,2.0,1.0,H,,,,,,,,,,,,1740.49,1595.91
I1,24/09/95,Milan,Atalanta,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1751.67,1556.97
I1,24/09/95,Napoli,Inter,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1691.26,1631.34
I1,24/09/95,Parma,Fiorentina,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1687.82,1610.01
I1,24/09/95,Piacenza,Bari,3.0,2.0,H,1.0,0.0,H,,,,,,,,,,,,1576.36,1588.27
I1,24/09/95,Torino,Sampdoria,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1600.6,1668.04
I1,24/09/95,Vicenza,Padova,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1597.55,1558.94
I1,01/10/95,Atalanta,Piacenza,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1553.1,1585.76
I1,01/10/95,Bari,Milan,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1578.87,1755.54
I1,01/10/95,Fiorentina,Cremonese,3.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,1603.4,1563.53
I1,01/10/95,Inter,Torino,4.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,1624.22,1599.43
I1,01/10/95,Juventus,Napoli,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1778.11,1698.38
I1,01/10/95,Padova,Parma,1.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,1551.18,1694.43
I1,01/10/95,Roma,Lazio,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1675.23,1732.9
I1,01/10/95,Sampdoria,Cagliari,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,,1669.21,1594.74
I1,01/10/95,Udinese,Vicenza,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1603.5,1605.31
I1,15/10/95,Atalanta,Inter,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1563.21,1632.41
I1,15/10/95,Cagliari,Cremonese,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1613.04,1555.81
I1,15/10/95,Lazio,Padova,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1734.42,1540.23
I1,15/10/95,Milan,Juventus,2.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,1740.33,1772.16
I1,15/10/95,Napoli,Fiorentina,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1704.33,1611.12
I1,15/10/95,Parma,Udinese,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1705.38,1600.06
I1,15/10/95,Piacenza,Sampdoria,3.0,2.0,H,3.0,0.0,H,,,,,,,,,,,,1575.65,1650.91
I1,15/10/95,Torino,Roma,2.0,2.0,D,2.0,2.0,D,,,,,,,,,,,,1591.24,1673.71
I1,15/10/95,Vicenza,Bari,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1608.75,1594.08
I1,22/10/95,Bari,Cagliari,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1585.56,1620.24
I1,22/10/95,Cremonese,Atalanta,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1548.61,1562.1
I1,22/10/95,Inter,Lazio,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1633.52,1738.3
I1,22/10/95,Juventus,Padova,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1762.08,1536.35
I1,22/10/95,Piacenza,Napoli,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1587.26,1685.52
I1,22/10/95,Roma,Parma,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1674.34,1711.25
I1,22/10/95,Sampdoria,Fiorentina,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1639.3,1629.93
I1,22/10/95,Udinese,Torino,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1594.19,1590.61
I1,22/10/95,Vicenza,Milan,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1617.27,1750.41
I1,29/10/95,Atalanta,Udinese,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1565.15,1603.07
