Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
P1,20/08/95,Benfica,Salgueiros,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1514.81,1368.04
P1,20/08/95,Boavista,Belenenses,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1370.39,1348.03
P1,20/08/95,Campomaior,Guimaraes,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1400.0,1462.29
P1,20/08/95,Farense,Tirsense,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1440.97,1381.85
P1,20/08/95,Felgueiras,Desp. Chaves,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1400.0,1344.43
P1,20/08/95,Leca,Gil Vicente,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1400.0,1352.72
P1,20/08/95,Leiria,Maritimo,0.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1420.3,1400.93
P1,20/08/95,Porto,Sp Lisbon,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1624.57,1532.14
P1,20/08/95,Sp Braga,Est Amadora,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1387.96,1341.46
P1,27/08/95,Belenenses,Sp Braga,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1339.76,1395.48
P1,27/08/95,Desp. Chaves,Leca,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1349.68,1382.5
P1,27/08/95,Est Amadora,Campomaior,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1333.94,1386.15
P1,27/08/95,Gil Vicente,Porto,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1370.22,1630.78
P1,27/08/95,Guimaraes,Farense,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1476.14,1448.11
P1,27/08/95,Maritimo,Felgueiras,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1417.56,1394.75
P1,27/08/95,Salgueiros,Leiria,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1375.68,1403.67
P1,27/08/95,Sp Lisbon,Boavista,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1525.93,1378.66
P1,27/08/95,Tirsense,Benfica,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1374.71,1507.17
P1,03/09/95,Benfica,Guimaraes,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1518.51,1484.23
P1,03/09/95,Boavista,Gil Vicente,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1386.31,1363.12
P1,03/09/95,Campomaior,Belenenses,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1375.36,1338.18
P1,03/09/95,Farense,Est Amadora,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1440.02,1344.73
P1,03/09/95,Felgueiras,Leca,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1411.49,1384.89
P1,03/09/95,Leiria,Tirsense,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1393.72,1363.37
P1,03/09/95,Maritimo,Salgueiros,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1400.82,1385.63
P1,03/09/95,Porto,Desp. Chaves,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1637.88,1347.29
P1,03/09/95,Sp Braga,Sp Lisbon,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1397.06,1518.28
P1,10/09/95,Belenenses,Farense,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1355.37,1446.15
P1,10/09/95,Desp. Chaves,Boavista,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1344.9,1394.55
P1,10/09/95,Est Amadora,Benfica,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1338.6,1513.91
P1,10/09/95,Gil Vicente,Sp Braga,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1354.88,1385.32
P1,10/09/95,Guimaraes,Leiria,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1488.83,1401.74
P1,10/09/95,Salgueiros,Felgueiras,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1377.13,1394.63
P1,10/09/95,Tirsense,Maritimo,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1355.35,1409.32
P1,18/09/95,Leca,Porto,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1401.75,1640.27
P1,18/09/95,Sp Lisbon,Campomaior,7.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1530.02,1358.17
P1,23/09/95,Benfica,Belenenses,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1523.74,1367.54
P1,23/09/95,Boavista,Leca,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1408.85,1393.99
P1,23/09/95,Campomaior,Gil Vicente,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1353.85,1339.91
P1,23/09/95,Farense,Sp Lisbon,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1433.98,1534.34
P1,23/09/95,Felgueiras,Porto,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1397.54,1648.03
P1,23/09/95,Leiria,Est Amadora,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1395.39,1328.77
P1,23/09/95,Maritimo,Guimaraes,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1398.47,1495.18
P1,23/09/95,Salgueiros,Tirsense,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1374.22,1366.2
P1,23/09/95,Sp Braga,Desp. Chaves,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1400.29,1330.6
P1,01/10/95,Belenenses,Leiria,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1362.88,1402.32
P1,01/10/95,Desp. Chaves,Campomaior,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1323.76,1362.39
P1,01/10/95,Est Amadora,Maritimo,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1321.84,1410.85
P1,01/10/95,Gil Vicente,Farense,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1331.37,1421.49
P1,01/10/95,Guimaraes,Salgueiros,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1482.8,1370.45
P1,01/10/95,Leca,Sp Braga,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1385.48,1407.13
P1,01/10/95,Sp Lisbon,Benfica,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1546.83,1528.4
P1,01/10/95,Tirsense,Felgueiras,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1369.97,1402.64
P1,02/10/95,Porto,Boavista,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1642.93,1417.36
P1,15/10/95,Benfica,Gil Vicente,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1520.0,1331.01
P1,15/10/95,Campomaior,Leca,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1352.08,1370.21
P1,15/10/95,Farense,Desp. Chaves,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1421.85,1334.07
P1,15/10/95,Felgueiras,Boavista,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1405.03,1414.03
P1,15/10/95,Leiria,Sp Lisbon,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1391.98,1555.23
P1,15/10/95,Maritimo,Belenenses,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1411.25,1373.22
P1,15/10/95,Salgueiros,Est Amadora,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1389.76,1321.44
P1,15/10/95,Sp Braga,Porto,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1422.4,1646.26
P1,15/10/95,Tirsense,Guimaraes,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1367.58,1463.49
P1,22/10/95,Belenenses,Salgueiros,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1390.44,1384.14
P1,22/10/95,Boavista,Sp Braga,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1404.73,1414.18
P1,22/10/95,Desp. Chaves,Benfica,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1340.24,1523.98
P1,22/10/95,Est Amadora,Tirsense,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1327.06,1367.43
P1,22/10/95,Gil Vicente,Leiria,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1327.03,1381.73
