Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
B1,01/08/96,Club Brugge,Harelbeke,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1674.8,1455.2
B1,02/08/96,Aalst,Anderlecht,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1503.77,1618.06
B1,03/08/96,Charleroi,Antwerp,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1517.79,1479.78
B1,03/08/96,Germinal,Gent,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,1537.69,1486.13
B1,03/08/96,Lokeren,Genk,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1500.0,1500.0
B1,03/08/96,Lommel,Mouscron,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1521.9,1500.0
B1,03/08/96,Mechelen,Cercle Brugge,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1483.31,1513.68
B1,03/08/96,Molenbeek,Lierse,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1548.08,1512.86
B1,03/08/96,Standard,St Truiden,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1529.24,1464.61
B1,10/08/96,Anderlecht,Lommel,6.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,1617.55,1505.19
B1,10/08/96,Antwerp,Mechelen,3.0,2.0,H,0.0,1.0,A,,,,,,,,,,,,1472.0,1480.84
B1,10/08/96,Cercle Brugge,Aalst,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1516.15,1504.28
B1,10/08/96,Genk,Standard,3.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,1491.0,1536.22
B1,10/08/96,Gent,Charleroi,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1503.76,1525.57
B1,10/08/96,Mouscron,Lokeren,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,1516.71,1509.0
B1,10/08/96,St Truiden,Molenbeek,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1457.63,1543.45
B1,11/08/96,Harelbeke,Germinal,2.0,3.0,A,1.0,2.0,A,,,,,,,,,,,,1451.77,1520.06
B1,11/08/96,Lierse,Club Brugge,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,,1517.49,1678.23
B1,16/08/96,Mouscron,Anderlecht,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1525.45,1623.24
B1,17/08/96,Charleroi,Harelbeke,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1515.84,1438.13
B1,17/08/96,Germinal,Lierse,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1533.7,1519.65
B1,17/08/96,Lokeren,Standard,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1500.26,1525.67
B1,17/08/96,Lommel,Cercle Brugge,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1499.5,1499.76
B1,17/08/96,Mechelen,Gent,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1471.55,1513.49
B1,17/08/96,Molenbeek,Genk,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,1556.46,1501.55
B1,18/08/96,Aalst,Antwerp,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,1520.67,1481.29
B1,18/08/96,Club Brugge,St Truiden,6.0,1.0,H,4.0,1.0,H,,,,,,,,,,,,1676.07,1444.62
B1,24/08/96,Anderlecht,Lokeren,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,1623.32,1485.12
B1,24/08/96,Antwerp,Lommel,1.0,4.0,A,1.0,2.0,A,,,,,,,,,,,,1498.55,1496.01
B1,24/08/96,Cercle Brugge,Mouscron,2.0,2.0,D,2.0,1.0,H,,,,,,,,,,,,1503.25,1525.37
B1,24/08/96,Genk,Club Brugge,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1506.78,1679.3
B1,24/08/96,Gent,Aalst,3.0,2.0,H,1.0,1.0,D,,,,,,,,,,,,1515.56,1503.41
B1,24/08/96,Harelbeke,Mechelen,3.0,3.0,D,2.0,2.0,D,,,,,,,,,,,,1456.52,1469.48
B1,24/08/96,Lierse,Charleroi,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1523.61,1497.45
B1,24/08/96,St Truiden,Germinal,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1441.39,1529.74
B1,24/08/96,Standard,Molenbeek,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1540.81,1551.23
B1,06/09/96,Club Brugge,Standard,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1676.73,1550.16
B1,07/09/96,Anderlecht,Cercle Brugge,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1615.88,1500.49
B1,07/09/96,Charleroi,St Truiden,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1489.3,1453.47
B1,07/09/96,Germinal,Genk,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1517.66,1509.35
B1,07/09/96,Lokeren,Molenbeek,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1492.56,1541.88
B1,07/09/96,Lommel,Gent,2.0,2.0,D,1.0,2.0,A,,,,,,,,,,,,1512.1,1524.16
B1,07/09/96,Mechelen,Lierse,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,1472.55,1531.76
B1,07/09/96,Mouscron,Antwerp,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,1528.13,1482.46
B1,08/09/96,Aalst,Harelbeke,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1494.81,1453.45
B1,14/09/96,Cercle Brugge,Lokeren,2.0,6.0,A,1.0,4.0,A,,,,,,,,,,,,1494.88,1490.75
B1,15/09/96,Antwerp,Anderlecht,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1487.41,1621.49
B1,15/09/96,Genk,Charleroi,1.0,4.0,A,0.0,3.0,A,,,,,,,,,,,,1525.63,1484.65
B1,15/09/96,Gent,Mouscron,2.0,4.0,A,0.0,3.0,A,,,,,,,,,,,,1527.26,1523.18
B1,15/09/96,Harelbeke,Lommel,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1458.27,1509.0
B1,15/09/96,Lierse,Aalst,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1533.22,1489.99
B1,15/09/96,Molenbeek,Club Brugge,1.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,1543.69,1682.07
