Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
D1,16/08/96,M'gladbach,Bielefeld,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1663.34,1592.12
D1,16/08/96,St Pauli,Bayern Munich,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,,1595.4,1704.52
D1,17/08/96,Bochum,Duisburg,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1638.53,1569.21
D1,17/08/96,Freiburg,Werder Bremen,3.0,2.0,H,2.0,0.0,H,,,,,,,,,,,,1641.38,1669.37
D1,17/08/96,Hansa Rostock,Karlsruhe,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,,1644.28,1663.67
D1,17/08/96,Leverkusen,Dortmund,4.0,2.0,H,2.0,2.0,D,,,,,,,,,,,,1579.17,1773.12
D1,17/08/96,Munich 1860,Hamburg,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,1635.43,1649.09
D1,17/08/96,Stuttgart,Schalke 04,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1595.73,1699.89
D1,18/08/96,Dusseldorf,FC Koln,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,1638.41,1622.37
D1,20/08/96,Bielefeld,St Pauli,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,1597.83,1583.23
D1,20/08/96,Hamburg,Freiburg,5.0,1.0,H,4.0,0.0,H,,,,,,,,,,,,1639.63,1651.33
D1,20/08/96,Schalke 04,M'gladbach,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1687.24,1657.63
D1,20/08/96,Werder Bremen,Hansa Rostock,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1659.42,1641.43
D1,21/08/96,Bayern Munich,Bochum,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1716.69,1645.38
D1,21/08/96,Dortmund,Dusseldorf,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1757.32,1621.88
D1,21/08/96,Duisburg,Leverkusen,1.0,3.0,A,0.0,0.0,D,,,,,,,,,,,,1562.36,1594.97
D1,21/08/96,FC Koln,Munich 1860,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1638.9,1644.89
D1,23/08/96,Hansa Rostock,Hamburg,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1645.52,1649.02
D1,23/08/96,St Pauli,Schalke 04,4.0,4.0,D,1.0,3.0,A,,,,,,,,,,,,1599.71,1682.78
D1,24/08/96,Bochum,Bielefeld,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1651.09,1581.35
D1,24/08/96,Freiburg,FC Koln,1.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,1641.94,1648.1
D1,24/08/96,Leverkusen,Dusseldorf,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1609.86,1616.75
D1,24/08/96,M'gladbach,Karlsruhe,1.0,3.0,A,1.0,2.0,A,,,,,,,,,,,,1662.09,1666.52
D1,24/08/96,Munich 1860,Dortmund,1.0,3.0,A,1.0,0.0,H,,,,,,,,,,,,1635.69,1762.45
D1,24/08/96,Stuttgart,Werder Bremen,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,1608.38,1655.33
D1,25/08/96,Duisburg,Bayern Munich,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,,1547.47,1710.98
D1,27/08/96,Dortmund,Freiburg,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,1773.99,1626.14
D1,27/08/96,Hamburg,Stuttgart,0.0,4.0,A,0.0,1.0,A,,,,,,,,,,,,1664.91,1618.99
D1,27/08/96,Schalke 04,Bochum,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1683.39,1645.43
D1,27/08/96,Werder Bremen,M'gladbach,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1644.72,1646.24
