Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
N1,20/08/96,Roda JC,Feyenoord,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1641.12,1644.93
N1,21/08/96,Ajax,NAC Breda,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1782.41,1539.25
N1,21/08/96,AZ Alkmaar,Vitesse,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1500.0,1568.36
N1,21/08/96,Groningen,Willem II,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1514.74,1442.46
N1,21/08/96,Heerenveen,Twente,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1526.95,1526.56
N1,21/08/96,Sparta,For Sittard,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1539.78,1444.59
N1,21/08/96,Utrecht,Waalwijk,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1408.83,1508.03
N1,21/08/96,Volendam,Graafschap,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1406.68,1447.94
N1,22/08/96,Nijmegen,PSV Eindhoven,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1375.68,1691.32
N1,24/08/96,Graafschap,Waalwijk,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1450.03,1508.06
N1,24/08/96,Heerenveen,Ajax,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1510.94,1785.46
N1,24/08/96,NAC Breda,Sparta,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1536.2,1533.41
N1,24/08/96,Willem II,For Sittard,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1448.2,1450.96
N1,25/08/96,Feyenoord,Volendam,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1648.3,1404.59
N1,25/08/96,Nijmegen,AZ Alkmaar,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1370.07,1486.36
N1,25/08/96,PSV Eindhoven,Groningen,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1696.93,1509.0
N1,25/08/96,Twente,Roda JC,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1542.57,1637.75
N1,25/08/96,Vitesse,Utrecht,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1582.0,1408.8
N1,27/08/96,For Sittard,Heerenveen,2.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1466.87,1529.24
N1,28/08/96,Ajax,AZ Alkmaar,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1767.16,1485.77
N1,28/08/96,Feyenoord,Graafschap,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1651.34,1461.03
N1,28/08/96,Groningen,Roda JC,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1505.0,1637.92
N1,28/08/96,Utrecht,Twente,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1404.5,1542.4
N1,28/08/96,Vitesse,Sparta,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1586.3,1524.5
N1,28/08/96,Volendam,PSV Eindhoven,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1401.55,1700.93
N1,28/08/96,Willem II,Waalwijk,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1432.29,1497.06
N1,29/08/96,NAC Breda,Nijmegen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1545.11,1370.66
N1,03/09/96,For Sittard,Feyenoord,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1453.02,1655.3
N1,03/09/96,Heerenveen,NAC Breda,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1543.09,1536.88
N1,03/09/96,Utrecht,Groningen,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1405.86,1506.18
N1,04/09/96,AZ Alkmaar,Volendam,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1483.27,1395.53
N1,04/09/96,Graafschap,Nijmegen,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1457.07,1378.89
N1,04/09/96,Roda JC,Ajax,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1636.74,1769.66
N1,04/09/96,Sparta,Twente,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1529.93,1541.04
N1,04/09/96,Willem II,Vitesse,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1418.53,1580.87
N1,05/09/96,PSV Eindhoven,Waalwijk,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1706.95,1510.82
N1,06/09/96,Groningen,Heerenveen,1.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,1506.17,1526.88
N1,07/09/96,AZ Alkmaar,For Sittard,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1489.6,1444.1
N1,07/09/96,Feyenoord,Willem II,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1664.22,1433.25
N1,07/09/96,Roda JC,Volendam,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1637.92,1389.2
N1,08/09/96,Nijmegen,Ajax,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1372.29,1768.48
N1,08/09/96,PSV Eindhoven,NAC Breda,5.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1710.8,1553.09
N1,08/09/96,Sparta,Utrecht,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1514.3,1405.87
N1,08/09/96,Twente,Graafschap,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1556.67,1463.67
N1,13/09/96,Vitesse,Heerenveen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1566.15,1542.18
N1,14/09/96,For Sittard,Utrecht,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1461.55,1400.08
N1,14/09/96,NAC Breda,AZ Alkmaar,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1548.47,1472.15
N1,15/09/96,Ajax,Sparta,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1747.33,1520.09
N1,15/09/96,Graafschap,PSV Eindhoven,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1457.48,1715.42
N1,15/09/96,Groningen,Nijmegen,2.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1490.87,1393.44
N1,15/09/96,Twente,Feyenoord,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1562.86,1667.46
N1,15/09/96,Volendam,Willem II,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1386.24,1430.01
N1,15/09/96,Waalwijk,Roda JC,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1506.97,1640.88
N1,20/09/96,Heerenveen,Nijmegen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1546.46,1412.37
N1,21/09/96,For Sittard,Volendam,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1443.63,1396.73
N1,21/09/96,NAC Breda,Roda JC,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1555.12,1652.16
N1,21/09/96,PSV Eindhoven,Vitesse,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1697.6,1561.87
N1,21/09/96,Sparta,Feyenoord,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1516.79,1679.79
N1,21/09/96,Willem II,Twente,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1419.52,1550.53
N1,22/09/96,Ajax,Graafschap,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1750.63,1475.3
N1,22/09/96,AZ Alkmaar,Utrecht,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1465.5,1418.0
N1,22/09/96,Groningen,Waalwijk,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1471.94,1495.69
N1,26/09/96,Waalwijk,Vitesse,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1510.89,1569.25
N1,28/09/96,Graafschap,Willem II,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1485.22,1408.13
N1,28/09/96,Roda JC,For Sittard,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1664.77,1438.64
N1,29/09/96,Groningen,AZ Alkmaar,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1456.74,1472.99
