Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
E0,09/08/97,Barnsley,West Ham,1,2,A,1,0,H,,,,,,,,,,,,1621.98,1613.12
E0,09/08/97,Blackburn,Derby,1,0,H,1,0,H,,,,,,,,,,,,1642.04,1627.78
E0,09/08/97,Coventry,Chelsea,3,2,H,1,1,D,,,,,,,,,,,,1604.54,1666.31
E0,09/08/97,Everton,Crystal Palace,1,2,A,0,1,A,,,,,,,,,,,,1597.06,1600.83
E0,09/08/97,Leeds,Arsenal,1,1,D,1,1,D,,,,,,,,,,,,1613.0,1728.51
E0,09/08/97,Leicester,Aston Villa,1,0,H,1,0,H,,,,,,,,,,,,1616.73,1689.28
E0,09/08/97,Newcastle,Sheffield Weds,2,1,H,1,1,D,,,,,,,,,,,,1761.67,1649.35
E0,09/08/97,Southampton,Bolton,0,1,A,0,1,A,,,,,,,,,,,,1601.9,1722.0
E0,09/08/97,Wimbledon,Liverpool,1,1,D,0,0,D,,,,,,,,,,,,1639.45,1739.84
E0,10/08/97,Tottenham,Man United,0,2,A,0,0,D,,,,,,,,,,,,1609.99,1823.39
E0,11/08/97,Arsenal,Coventry,2,0,H,1,0,H,,,,,,,,,,,,1727.95,1615.67
E0,12/08/97,Crystal Palace,Barnsley,0,1,A,0,0,D,,,,,,,,,,,,1616.71,1605.69
E0,13/08/97,Aston Villa,Blackburn,0,4,A,0,3,A,,,,,,,,,,,,1677.77,1650.57
E0,13/08/97,Liverpool,Leicester,1,2,A,0,1,A,,,,,,,,,,,,1739.83,1628.24
E0,13/08/97,Man United,Southampton,1,0,H,0,0,D,,,,,,,,,,,,1831.95,1590.12
E0,13/08/97,Sheffield Weds,Leeds,1,3,A,0,2,A,,,,,,,,,,,,1643.66,1613.56
E0,13/08/97,West Ham,Tottenham,2,1,H,1,0,H,,,,,,,,,,,,1629.41,1601.43
E0,23/08/97,Blackburn,Liverpool,1,1,D,0,0,D,,,,,,,,,,,,1667.45,1720.54
E0,23/08/97,Coventry,Bolton,2,2,D,2,0,H,,,,,,,,,,,,1609.98,1733.78
E0,23/08/97,Everton,West Ham,2,1,H,0,1,A,,,,,,,,,,,,1581.18,1637.5
E0,23/08/97,Leeds,Crystal Palace,0,2,A,0,1,A,,,,,,,,,,,,1630.53,1600.35
E0,23/08/97,Leicester,Man United,0,0,D,0,0,D,,,,,,,,,,,,1647.53,1835.02
E0,23/08/97,Newcastle,Aston Villa,1,0,H,1,0,H,,,,,,,,,,,,1767.36,1660.89
E0,23/08/97,Southampton,Arsenal,1,3,A,1,1,D,,,,,,,,,,,,1587.05,1733.64
E0,23/08/97,Tottenham,Derby,1,0,H,1,0,H,,,,,,,,,,,,1593.34,1619.25
E0,23/08/97,Wimbledon,Sheffield Weds,1,1,D,1,0,H,,,,,,,,,,,,1639.46,1626.69
E0,24/08/97,Barnsley,Chelsea,0,6,A,0,3,A,,,,,,,,,,,,1622.05,1655.18
E0,25/08/97,Blackburn,Sheffield Weds,7,2,H,5,1,H,,,,,,,,,,,,1665.77,1630.61
E0,26/08/97,Leeds,Liverpool,0,2,A,0,1,A,,,,,,,,,,,,1613.55,1722.22
E0,27/08/97,Barnsley,Bolton,2,1,H,1,1,D,,,,,,,,,,,,1607.17,1732.93
E0,27/08/97,Coventry,West Ham,1,1,D,1,0,H,,,,,,,,,,,,1610.83,1626.56
E0,27/08/97,Everton,Man United,0,2,A,0,1,A,,,,,,,,,,,,1592.12,1831.94
E0,27/08/97,Leicester,Arsenal,3,3,D,0,1,A,,,,,,,,,,,,1650.61,1744.47
E0,27/08/97,Southampton,Crystal Palace,1,0,H,0,0,D,,,,,,,,,,,,1576.22,1617.33
E0,27/08/97,Tottenham,Aston Villa,3,2,H,1,1,D,,,,,,,,,,,,1603.21,1655.05
E0,27/08/97,Wimbledon,Chelsea,0,2,A,0,0,D,,,,,,,,,,,,1635.54,1670.06
E0,30/08/97,Arsenal,Tottenham,0,0,D,0,0,D,,,,,,,,,,,,1744.69,1613.99
E0,30/08/97,Aston Villa,Leeds,1,0,H,0,0,D,,,,,,,,,,,,1644.27,1601.36
E0,30/08/97,Chelsea,Southampton,4,2,H,4,1,H,,,,,,,,,,,,1684.89,1586.62
E0,30/08/97,Crystal Palace,Blackburn,1,2,A,0,2,A,,,,,,,,,,,,1606.93,1673.64
E0,30/08/97,Derby,Barnsley,1,0,H,1,0,H,,,,,,,,,,,,1609.38,1620.6
E0,30/08/97,Man United,Coventry,3,0,H,1,0,H,,,,,,,,,,,,1839.66,1607.86
E0,30/08/97,Sheffield Weds,Leicester,1,0,H,0,0,D,,,,,,,,,,,,1622.74,1650.39
E0,30/08/97,West Ham,Wimbledon,3,1,H,0,0,D,,,,,,,,,,,,1629.53,1620.71
E0,01/09/97,Bolton,Everton,0,0,D,0,0,D,,,,,,,,,,,,1719.5,1584.4
E0,13/09/97,Arsenal,Bolton,4,1,H,3,1,H,,,,,,,,,,,,1737.43,1712.13
E0,13/09/97,Barnsley,Aston Villa,0,3,A,0,1,A,,,,,,,,,,,,1611.23,1651.9
E0,13/09/97,Coventry,Southampton,1,0,H,0,0,D,,,,,,,,,,,,1604.64,1580.57
E0,13/09/97,Crystal Palace,Chelsea,0,3,A,0,2,A,,,,,,,,,,,,1593.24,1690.94
E0,13/09/97,Derby,Everton,3,1,H,2,1,H,,,,,,,,,,,,1618.75,1591.77
E0,13/09/97,Leicester,Tottenham,3,0,H,0,0,D,,,,,,,,,,,,1640.46,1621.25
E0,13/09/97,Liverpool,Sheffield Weds,2,1,H,0,0,D,,,,,,,,,,,,1734.41,1632.67
E0,13/09/97,Man United,West Ham,2,1,H,1,1,D,,,,,,,,,,,,1842.88,1638.24
E0,13/09/97,Newcastle,Wimbledon,1,3,A,1,1,D,,,,,,,,,,,,1773.2,1612.0
E0,14/09/97,Blackburn,Leeds,3,4,A,3,4,A,,,,,,,,,,,,1687.33,1593.73
E0,20/09/97,Aston Villa,Derby,2,1,H,0,1,A,,,,,,,,,,,,1666.51,1626.87
E0,20/09/97,Bolton,Man United,0,0,D,0,0,D,,,,,,,,,,,,1703.95,1846.57
E0,20/09/97,Everton,Barnsley,4,2,H,2,1,H,,,,,,,,,,,,1583.65,1596.62
E0,20/09/97,Leeds,Leicester,0,1,A,0,1,A,,,,,,,,,,,,1612.55,1648.83
E0,20/09/97,Sheffield Weds,Coventry,0,0,D,0,0,D,,,,,,,,,,,,1626.71,1612.86
E0,20/09/97,Southampton,Liverpool,1,1,D,0,1,A,,,,,,,,,,,,1572.35,1740.37
E0,20/09/97,Tottenham,Blackburn,0,0,D,0,0,D,,,,,,,,,,,,1612.88,1668.51
E0,20/09/97,West Ham,Newcastle,0,1,A,0,1,A,,,,,,,,,,,,1634.55,1752.75
E0,20/09/97,Wimbledon,Crystal Palace,0,1,A,0,0,D,,,,,,,,,,,,1632.45,1580.66
E0,21/09/97,Chelsea,Arsenal,2,3,A,1,1,D,,,,,,,,,,,,1703.52,1745.61
E0,22/09/97,Liverpool,Aston Villa,3,0,H,0,0,D,,,,,,,,,,,,1737.95,1674.24
E0,23/09/97,Bolton,Tottenham,1,1,D,1,0,H,,,,,,,,,,,,1705.48,1611.29
E0,23/09/97,Wimbledon,Barnsley,4,1,H,0,1,A,,,,,,,,,,,,1614.81,1587.19
E0,24/09/97,Arsenal,West Ham,4,0,H,4,0,H,,,,,,,,,,,,1760.17,1622.7
E0,24/09/97,Coventry,Crystal Palace,1,1,D,1,1,D,,,,,,,,,,,,1616.82,1598.3
E0,24/09/97,Leicester,Blackburn,1,1,D,1,1,D,,,,,,,,,,,,1663.6,1670.1
E0,24/09/97,Man United,Chelsea,2,2,D,1,1,D,,,,,,,,,,,,1845.04,1688.96
E0,24/09/97,Newcastle,Everton,1,0,H,0,0,D,,,,,,,,,,,,1764.6,1593.08
E0,24/09/97,Sheffield Weds,Derby,2,5,A,2,3,A,,,,,,,,,,,,1622.75,1619.14
E0,24/09/97,Southampton,Leeds,0,2,A,0,1,A,,,,,,,,,,,,1574.77,1597.78
