Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
N1,19/08/97,Ajax,Vitesse,5,0,H,2.0,0.0,H,,,,,,,,,,,,1698.5,1584.26
N1,19/08/97,Twente,For Sittard,4,1,H,1.0,0.0,H,,,,,,,,,,,,1605.66,1476.23
N1,20/08/97,Groningen,Volendam,3,0,H,1.0,0.0,H,,,,,,,,,,,,1516.11,1453.87
N1,20/08/97,Heerenveen,NAC Breda,3,1,H,0.0,1.0,A,,,,,,,,,,,,1538.32,1488.86
N1,20/08/97,PSV Eindhoven,Waalwijk,5,1,H,1.0,0.0,H,,,,,,,,,,,,1728.66,1464.51
N1,20/08/97,Roda JC,Utrecht,1,0,H,0.0,0.0,D,,,,,,,,,,,,1599.99,1466.22
N1,20/08/97,Sparta,Graafschap,1,1,D,0.0,0.0,D,,,,,,,,,,,,1483.32,1466.96
N1,20/08/97,Willem II,Nijmegen,1,2,A,0.0,0.0,D,,,,,,,,,,,,1438.93,1414.04
N1,21/08/97,MVV Maastricht,Feyenoord,0,3,A,0.0,1.0,A,,,,,,,,,,,,1500.0,1688.62
N1,22/08/97,For Sittard,Ajax,0,5,A,0.0,2.0,A,,,,,,,,,,,,1470.96,1704.14
N1,23/08/97,Graafschap,Willem II,3,1,H,1.0,0.0,H,,,,,,,,,,,,1471.0,1422.12
N1,23/08/97,Nijmegen,Heerenveen,0,1,A,0.0,0.0,D,,,,,,,,,,,,1430.85,1545.75
N1,24/08/97,Feyenoord,Sparta,3,1,H,2.0,0.0,H,,,,,,,,,,,,1698.0,1479.28
N1,24/08/97,NAC Breda,PSV Eindhoven,3,3,D,3.0,1.0,H,,,,,,,,,,,,1481.43,1731.4
N1,24/08/97,Utrecht,MVV Maastricht,6,1,H,3.0,0.0,H,,,,,,,,,,,,1461.06,1490.62
N1,24/08/97,Vitesse,Roda JC,3,1,H,1.0,0.0,H,,,,,,,,,,,,1578.62,1605.15
N1,24/08/97,Volendam,Twente,0,0,D,0.0,0.0,D,,,,,,,,,,,,1446.82,1610.93
N1,24/08/97,Waalwijk,Groningen,1,1,D,0.0,0.0,D,,,,,,,,,,,,1461.77,1523.16
N1,30/08/97,For Sittard,Waalwijk,0,3,A,0.0,2.0,A,,,,,,,,,,,,1463.03,1460.39
N1,30/08/97,Heerenveen,MVV Maastricht,3,1,H,1.0,1.0,D,,,,,,,,,,,,1557.71,1480.62
N1,30/08/97,NAC Breda,Nijmegen,0,1,A,0.0,1.0,A,,,,,,,,,,,,1486.51,1418.89
N1,30/08/97,PSV Eindhoven,Willem II,3,0,H,2.0,0.0,H,,,,,,,,,,,,1726.32,1414.67
N1,30/08/97,Roda JC,Groningen,4,1,H,2.0,0.0,H,,,,,,,,,,,,1595.25,1524.54
N1,31/08/97,Feyenoord,Graafschap,2,0,H,0.0,0.0,D,,,,,,,,,,,,1701.44,1478.45
N1,31/08/97,Twente,Sparta,2,1,H,1.0,0.0,H,,,,,,,,,,,,1608.65,1475.84
N1,31/08/97,Utrecht,Ajax,1,7,A,1.0,2.0,A,,,,,,,,,,,,1471.06,1712.07
N1,02/09/97,Volendam,Vitesse,1,1,D,0.0,1.0,A,,,,,,,,,,,,1449.1,1588.52
N1,08/09/97,MVV Maastricht,NAC Breda,0,1,A,0.0,0.0,D,,,,,,,,,,,,1473.99,1468.41
N1,09/09/97,Ajax,Waalwijk,3,0,H,1.0,0.0,H,,,,,,,,,,,,1719.76,1476.48
N1,09/09/97,Groningen,Nijmegen,4,0,H,0.0,0.0,D,,,,,,,,,,,,1517.73,1436.99
