Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
SC2,05/08/97,Clydebank,Brechin,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1162.03,1260.0
SC2,05/08/97,Stenhousemuir,Queen of Sth,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1260.0,1260.0
SC2,06/08/97,Inverness C,Livingston,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1260.0,1260.0
SC2,06/08/97,Stranraer,Clyde,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1260.0,1260.0
SC2,16/08/97,Brechin,Inverness C,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1247.57,1256.5
SC2,16/08/97,Clyde,Forfar,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1263.5,1260.0
SC2,16/08/97,East Fife,Stenhousemuir,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1132.31,1269.0
SC2,16/08/97,Livingston,Stranraer,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1263.5,1256.5
SC2,16/08/97,Queen of Sth,Clydebank,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1251.0,1174.46
SC2,23/08/97,Clydebank,Clyde,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1180.32,1247.38
SC2,23/08/97,Forfar,Brechin,2.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,1276.12,1244.37
SC2,23/08/97,Inverness C,East Fife,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1259.7,1121.13
SC2,23/08/97,Stenhousemuir,Livingston,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1280.18,1272.27
SC2,23/08/97,Stranraer,Queen of Sth,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1247.73,1245.14
SC2,30/08/97,East Fife,Clyde,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1141.08,1248.56
SC2,30/08/97,Forfar,Clydebank,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1259.09,1179.14
SC2,30/08/97,Livingston,Queen of Sth,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1276.03,1236.23
SC2,30/08/97,Stenhousemuir,Inverness C,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1276.42,1239.75
SC2,30/08/97,Stranraer,Brechin,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1256.64,1261.4
SC2,07/09/97,Forfar,East Fife,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1240.64,1153.85
SC2,13/09/97,Brechin,Livingston,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1252.24,1283.76
SC2,13/09/97,Clyde,Stenhousemuir,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1235.79,1284.24
SC2,13/09/97,Clydebank,East Fife,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1197.59,1172.49
SC2,13/09/97,Inverness C,Stranraer,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1231.93,1265.8
SC2,13/09/97,Queen of Sth,Forfar,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1228.5,1222.0
SC2,20/09/97,Clyde,Brechin,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1246.45,1237.31
SC2,20/09/97,Clydebank,Stenhousemuir,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1180.77,1273.58
SC2,20/09/97,East Fife,Livingston,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1189.31,1298.69
SC2,20/09/97,Forfar,Stranraer,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1238.22,1268.15
SC2,20/09/97,Queen of Sth,Inverness C,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1212.28,1229.58
SC2,27/09/97,Brechin,Queen of Sth,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1241.11,1221.86
SC2,27/09/97,Inverness C,Clyde,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1220.0,1242.65
SC2,27/09/97,Livingston,Clydebank,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1310.85,1193.01
SC2,27/09/97,Stenhousemuir,Forfar,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1261.34,1248.23
SC2,27/09/97,Stranraer,East Fife,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1258.14,1177.15
SC2,04/10/97,Clyde,Livingston,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1257.89,1303.9
SC2,04/10/97,Clydebank,Stranraer,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1199.96,1264.66
SC2,04/10/97,East Fife,Queen of Sth,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1170.63,1238.49
SC2,04/10/97,Forfar,Inverness C,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1264.66,1204.76
SC2,04/10/97,Stenhousemuir,Brechin,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1244.91,1224.48
SC2,18/10/97,Brechin,East Fife,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1216.15,1181.98
SC2,18/10/97,Inverness C,Clydebank,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1197.64,1198.69
SC2,18/10/97,Livingston,Forfar,4.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,1293.33,1271.78
SC2,18/10/97,Queen of Sth,Clyde,4.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,1227.14,1268.46
SC2,18/10/97,Stranraer,Stenhousemuir,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1265.93,1253.24
SC2,25/10/97,Brechin,Forfar,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1211.55,1263.48
SC2,25/10/97,Clyde,Clydebank,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1258.05,1202.16
SC2,25/10/97,East Fife,Inverness C,1.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,1186.58,1194.17
SC2,25/10/97,Livingston,Stenhousemuir,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1301.63,1244.66
SC2,25/10/97,Queen of Sth,Stranraer,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1237.55,1274.51
SC2,01/11/97,Forfar,Clyde,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1252.7,1240.29
SC2,01/11/97,Inverness C,Brechin,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1209.92,1222.33
SC2,01/11/97,Stenhousemuir,East Fife,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1237.45,1170.83
SC2,01/11/97,Stranraer,Livingston,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1264.25,1308.84
SC2,05/11/97,Clydebank,Queen of Sth,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1219.92,1247.81
SC2,08/11/97,Brechin,Stranraer,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1225.42,1262.27
SC2,08/11/97,Clyde,East Fife,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1244.2,1176.4
SC2,08/11/97,Clydebank,Forfar,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1229.86,1248.79
SC2,08/11/97,Inverness C,Stenhousemuir,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1206.83,1231.88
SC2,08/11/97,Queen of Sth,Livingston,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1237.87,1310.82
