Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
F2,08/08/98,Gueugnon,Caen,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1467.91,1497.0
F2,08/08/98,Laval,Ajaccio,2.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,1466.61,1480.0
F2,08/08/98,Le Mans,Beauvais,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1547.75,1467.14
F2,08/08/98,Lille,Guingamp,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,1488.86,1496.82
F2,08/08/98,Nice,Chateauroux,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1442.76,1493.51
F2,08/08/98,Nimes,Niort,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1459.67,1503.83
F2,08/08/98,Red Star 93,Wasquehal,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1500.27,1457.54
F2,08/08/98,St Etienne,Sedan,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1452.16,1480.0
F2,08/08/98,Troyes,Cannes,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,1501.02,1450.38
F2,08/08/98,Valence,Amiens,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1498.33,1452.43
F2,15/08/98,Amiens,Ajaccio,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,1457.39,1470.55
F2,15/08/98,Beauvais,Troyes,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,1473.11,1508.42
F2,15/08/98,Caen,St Etienne,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1487.02,1449.6
F2,15/08/98,Cannes,Red Star 93,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1442.98,1495.41
F2,15/08/98,Chateauroux,Valence,5.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,1495.27,1493.37
F2,15/08/98,Guingamp,Laval,1.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,1512.56,1476.06
F2,15/08/98,Le Mans,Nimes,4.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,1541.78,1457.68
F2,15/08/98,Niort,Lille,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1505.82,1473.12
F2,15/08/98,Sedan,Nice,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1482.56,1441.0
F2,15/08/98,Wasquehal,Gueugnon,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1462.4,1477.89
F2,22/08/98,Ajaccio,Chateauroux,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1486.11,1504.21
F2,22/08/98,Gueugnon,Cannes,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1468.37,1441.28
F2,22/08/98,Laval,Amiens,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1493.23,1441.83
F2,22/08/98,Lille,Caen,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1477.67,1482.32
F2,22/08/98,Nice,Wasquehal,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1433.33,1471.92
F2,22/08/98,Nimes,Beauvais,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1451.25,1458.31
F2,22/08/98,Red Star 93,Niort,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1497.11,1501.27
F2,22/08/98,St Etienne,Guingamp,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1454.3,1495.39
F2,22/08/98,Troyes,Le Mans,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,1523.22,1548.21
F2,22/08/98,Valence,Sedan,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1484.43,1490.23
F2,29/08/98,Beauvais,Gueugnon,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1449.08,1476.49
F2,29/08/98,Caen,Nice,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1485.67,1418.64
F2,29/08/98,Cannes,Nimes,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1433.16,1460.48
F2,29/08/98,Chateauroux,Amiens,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1494.6,1434.46
F2,29/08/98,Guingamp,Valence,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1497.49,1481.12
F2,29/08/98,Le Mans,Red Star 93,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,1538.37,1506.25
F2,29/08/98,Niort,Laval,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1492.13,1500.6
F2,29/08/98,Sedan,Ajaccio,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1493.54,1495.72
F2,29/08/98,Troyes,St Etienne,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1533.06,1452.2
F2,29/08/98,Wasquehal,Lille,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1486.61,1474.32
F2,04/09/98,Ajaccio,Wasquehal,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1486.65,1470.21
F2,04/09/98,Amiens,Sedan,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,1439.85,1502.61
F2,04/09/98,Gueugnon,Le Mans,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1479.06,1521.33
F2,04/09/98,Laval,Chateauroux,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,1503.82,1489.21
F2,04/09/98,Lille,Cannes,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,1490.72,1443.08
F2,04/09/98,Nice,Guingamp,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1411.73,1480.95
F2,04/09/98,Nimes,Troyes,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,1450.56,1527.08
F2,04/09/98,Red Star 93,Beauvais,4.0,3.0,H,3.0,1.0,H,,,,,,,,,,,,1523.29,1446.51
F2,04/09/98,St Etienne,Niort,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1458.18,1488.91
F2,04/09/98,Valence,Caen,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1497.66,1492.58
F2,10/09/98,Wasquehal,Valence,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1474.25,1481.49
F2,12/09/98,Beauvais,Lille,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1439.87,1473.21
F2,12/09/98,Caen,Ajaccio,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1508.75,1482.61
F2,12/09/98,Cannes,St Etienne,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1460.59,1468.22
