Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
G1,23/08/98,Apollon,Olympiakos,2.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,1340.28,1725.59
G1,23/08/98,Aris,Ethnikos Asteras,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1405.57,1400.0
G1,23/08/98,Eleysina,Xanthi,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1400.0,1407.02
G1,23/08/98,Ionikos,PAOK,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1490.52,1601.34
G1,23/08/98,Kavala,Proodeytiki,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1396.8,1365.03
G1,23/08/98,OFI,Ethnikos Piraeus,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1467.49,1353.15
G1,23/08/98,Panathinaikos,Paniliakos,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1668.85,1354.9
G1,23/08/98,Panionios,AEK,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1343.51,1622.72
G1,23/08/98,Veroia,Iraklis,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1410.76,1400.0
G1,30/08/98,AEK,Apollon,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1629.29,1336.23
G1,30/08/98,Ethnikos Asteras,Kavala,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1391.19,1404.77
G1,30/08/98,Ionikos,Panionios,4.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,1503.41,1336.94
G1,30/08/98,Iraklis,OFI,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1416.36,1473.13
G1,30/08/98,Olympiakos,Eleysina,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1729.64,1396.73
G1,30/08/98,Paniliakos,Ethnikos Piraeus,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1352.79,1347.51
G1,30/08/98,PAOK,Aris,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1588.45,1414.38
G1,30/08/98,Proodeytiki,Panathinaikos,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1357.06,1670.96
G1,30/08/98,Xanthi,Veroia,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1410.29,1394.4
G1,13/09/98,Aris,Ionikos,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1435.1,1507.85
G1,13/09/98,Eleysina,AEK,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1407.32,1631.65
G1,13/09/98,Ethnikos Piraeus,Proodeytiki,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1338.69,1351.41
G1,13/09/98,Kavala,PAOK,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1395.32,1567.73
G1,13/09/98,OFI,Xanthi,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1462.18,1418.77
G1,13/09/98,Panathinaikos,Ethnikos Asteras,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1676.61,1400.64
G1,13/09/98,Paniliakos,Iraklis,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1361.61,1427.31
G1,13/09/98,Panionios,Apollon,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1332.5,1333.87
G1,13/09/98,Veroia,Olympiakos,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1385.92,1719.05
G1,20/09/98,AEK,Veroia,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1627.36,1380.74
G1,20/09/98,Apollon,Eleysina,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1324.83,1411.61
G1,20/09/98,Ethnikos Asteras,Ethnikos Piraeus,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1398.06,1323.11
G1,20/09/98,Ionikos,Kavala,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1508.83,1397.89
G1,20/09/98,Olympiakos,OFI,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1724.23,1469.79
G1,20/09/98,PAOK,Panathinaikos,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1565.16,1679.19
G1,20/09/98,Proodeytiki,Iraklis,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1366.99,1416.04
G1,20/09/98,Xanthi,Paniliakos,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1411.16,1372.88
G1,21/09/98,Aris,Panionios,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1434.12,1341.54
G1,25/09/98,OFI,AEK,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1466.91,1630.35
G1,26/09/98,Panathinaikos,Ionikos,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1666.19,1514.55
G1,26/09/98,Paniliakos,Olympiakos,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1365.11,1727.11
G1,27/09/98,Ethnikos Piraeus,PAOK,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1316.42,1578.16
G1,27/09/98,Iraklis,Ethnikos Asteras,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1417.86,1404.75
G1,27/09/98,Kavala,Aris,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1392.17,1440.32
G1,27/09/98,Panionios,Eleysina,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1335.34,1412.09
G1,27/09/98,Proodeytiki,Xanthi,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1365.17,1418.93
G1,27/09/98,Veroia,Apollon,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1377.75,1324.35
G1,04/10/98,AEK,Paniliakos,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1640.59,1385.58
G1,04/10/98,Apollon,OFI,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1329.54,1456.67
G1,04/10/98,Eleysina,Veroia,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1400.43,1372.56
G1,04/10/98,Ethnikos Asteras,Xanthi,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1408.68,1433.08
G1,04/10/98,Ionikos,Ethnikos Piraeus,5.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1509.79,1321.85
G1,04/10/98,Olympiakos,Proodeytiki,6.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1706.64,1351.02
G1,04/10/98,PAOK,Iraklis,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1572.73,1413.93
G1,05/10/98,Aris,Panathinaikos,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1429.67,1670.95
G1,05/10/98,Kavala,Panionios,1.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,1402.82,1347.0
G1,24/10/98,Ethnikos Piraeus,Aris,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1317.85,1421.99
G1,25/10/98,Ethnikos Asteras,Olympiakos,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1393.5,1708.33
G1,25/10/98,Iraklis,Ionikos,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1409.33,1513.79
G1,25/10/98,OFI,Eleysina,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1443.2,1408.53
G1,25/10/98,Paniliakos,Apollon,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1382.71,1343.01
G1,25/10/98,Proodeytiki,AEK,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1349.33,1643.46
G1,25/10/98,Xanthi,PAOK,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1448.26,1577.33
G1,26/10/98,Panathinaikos,Kavala,6.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1678.63,1385.06
G1,26/10/98,Panionios,Veroia,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1364.76,1364.46
G1,31/10/98,Panathinaikos,Panionios,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1680.98,1361.25
G1,31/10/98,PAOK,Olympiakos,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1588.79,1713.96
G1,01/11/98,AEK,Ethnikos Asteras,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1637.12,1387.87
G1,01/11/98,Apollon,Proodeytiki,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1335.28,1355.67
G1,01/11/98,Aris,Iraklis,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1421.84,1421.99
G1,01/11/98,Eleysina,Paniliakos,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1400.65,1390.44
G1,01/11/98,Ionikos,Xanthi,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1501.13,1436.8
G1,01/11/98,Kavala,Ethnikos Piraeus,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1382.71,1318.0
G1,01/11/98,Veroia,OFI,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1367.97,1451.08
G1,08/11/98,Ethnikos Asteras,Apollon,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1384.92,1332.46
G1,08/11/98,Ethnikos Piraeus,Panathinaikos,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1311.02,1683.03
G1,08/11/98,Iraklis,Kavala,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,1412.99,1389.69
G1,08/11/98,Paniliakos,Veroia,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1406.78,1367.36
G1,08/11/98,Panionios,OFI,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1359.2,1451.69
G1,08/11/98,PAOK,AEK,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1577.19,1640.07
G1,08/11/98,Proodeytiki,Eleysina,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1358.49,1384.31
G1,08/11/98,Xanthi,Aris,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1454.81,1430.84
G1,09/11/98,Olympiakos,Ionikos,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1725.56,1483.12
G1,22/11/98,AEK,Ionikos,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1628.9,1480.06
G1,22/11/98,Apollon,PAOK,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1325.12,1588.36
G1,22/11/98,Aris,Olympiakos,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1422.62,1728.62
G1,22/11/98,Eleysina,Ethnikos Asteras,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1399.44,1392.26
G1,22/11/98,Ethnikos Piraeus,Panionios,0.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1319.2,1346.43
G1,22/11/98,Kavala,Xanthi,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1393.95,1463.03
G1,22/11/98,OFI,Paniliakos,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1464.46,1402.02
G1,22/11/98,Panathinaikos,Iraklis,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1674.85,1408.73
G1,22/11/98,Veroia,Proodeytiki,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1372.12,1343.36
G1,29/11/98,AEK,Aris,6.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1633.72,1441.77
G1,29/11/98,Ethnikos Asteras,Veroia,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1408.5,1380.19
G1,29/11/98,Ionikos,Apollon,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1475.24,1318.1
G1,29/11/98,Iraklis,Ethnikos Piraeus,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1406.02,1304.12
G1,29/11/98,Olympiakos,Kavala,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1709.47,1392.84
G1,29/11/98,Panionios,Paniliakos,5.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1361.51,1394.97
G1,29/11/98,PAOK,Eleysina,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1595.38,1383.2
G1,29/11/98,Proodeytiki,OFI,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1335.29,1471.51
G1,30/11/98,Xanthi,Panathinaikos,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1464.14,1677.56
G1,05/12/98,Panathinaikos,Olympiakos,2.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1661.12,1711.55
G1,06/12/98,Apollon,Aris,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1313.47,1437.84
