Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
SC0,01/08/98,Celtic,Dunfermline,5,0,H,1,0,H,,,,,,,,,,,,1734.22,1514.49
SC0,01/08/98,Dundee,Aberdeen,0,2,A,0,2,A,,,,,,,,,,,,1558.36,1532.15
SC0,01/08/98,Kilmarnock,Dundee United,2,0,H,1,0,H,,,,,,,,,,,,1573.31,1521.82
SC0,01/08/98,Motherwell,St Johnstone,1,0,H,0,0,D,,,,,,,,,,,,1460.6,1596.07
SC0,02/08/98,Hearts,Rangers,2,1,H,2,1,H,,,,,,,,,,,,1648.01,1720.08
SC0,15/08/98,Dunfermline,Dundee,2,0,H,1,0,H,,,,,,,,,,,,1511.07,1541.51
SC0,15/08/98,Rangers,Motherwell,2,1,H,1,0,H,,,,,,,,,,,,1708.58,1474.37
SC0,15/08/98,St Johnstone,Kilmarnock,0,0,D,0,0,D,,,,,,,,,,,,1582.3,1580.68
SC0,16/08/98,Aberdeen,Celtic,3,2,H,1,0,H,,,,,,,,,,,,1549.0,1737.64
SC0,16/08/98,Dundee United,Hearts,0,0,D,0,0,D,,,,,,,,,,,,1514.45,1659.51
SC0,22/08/98,Celtic,Dundee United,2,1,H,0,1,A,,,,,,,,,,,,1722.02,1516.06
SC0,22/08/98,Hearts,Aberdeen,2,0,H,2,0,H,,,,,,,,,,,,1657.9,1564.62
SC0,22/08/98,Kilmarnock,Rangers,1,3,A,0,2,A,,,,,,,,,,,,1584.24,1711.77
SC0,22/08/98,Motherwell,Dunfermline,0,0,D,0,0,D,,,,,,,,,,,,1471.18,1521.1
SC0,23/08/98,Dundee,St Johnstone,0,1,A,0,0,D,,,,,,,,,,,,1531.48,1578.74
SC0,29/08/98,Dundee,Celtic,1,1,D,0,0,D,,,,,,,,,,,,1517.1,1725.69
SC0,29/08/98,Dunfermline,Aberdeen,1,1,D,0,0,D,,,,,,,,,,,,1522.89,1558.44
SC0,29/08/98,Rangers,St Johnstone,4,0,H,2,0,H,,,,,,,,,,,,1723.28,1593.12
SC0,30/08/98,Kilmarnock,Hearts,3,0,H,1,0,H,,,,,,,,,,,,1572.73,1664.08
SC0,30/08/98,Motherwell,Dundee United,1,0,H,1,0,H,,,,,,,,,,,,1469.39,1512.39
SC0,12/09/98,Aberdeen,Motherwell,1,1,D,1,1,D,,,,,,,,,,,,1560.73,1479.86
SC0,12/09/98,Celtic,Kilmarnock,1,1,D,1,0,H,,,,,,,,,,,,1721.91,1584.92
SC0,12/09/98,Dundee United,Rangers,0,0,D,0,0,D,,,,,,,,,,,,1501.92,1728.53
SC0,12/09/98,Hearts,Dundee,0,2,A,0,0,D,,,,,,,,,,,,1651.89,1520.88
SC0,12/09/98,St Johnstone,Dunfermline,1,1,D,1,0,H,,,,,,,,,,,,1587.87,1520.6
SC0,19/09/98,Dundee,Dundee United,2,2,D,0,0,D,,,,,,,,,,,,1540.65,1506.28
SC0,19/09/98,Motherwell,Kilmarnock,0,0,D,0,0,D,,,,,,,,,,,,1485.84,1592.33
SC0,19/09/98,St Johnstone,Aberdeen,2,0,H,1,0,H,,,,,,,,,,,,1582.28,1554.75
SC0,20/09/98,Dunfermline,Hearts,1,1,D,1,0,H,,,,,,,,,,,,1526.19,1632.12
SC0,20/09/98,Rangers,Celtic,0,0,D,0,0,D,,,,,,,,,,,,1724.17,1714.5
SC0,23/09/98,Aberdeen,Rangers,1,1,D,1,0,H,,,,,,,,,,,,1546.64,1720.35
SC0,23/09/98,Celtic,St Johnstone,0,1,A,0,1,A,,,,,,,,,,,,1718.32,1590.39
SC0,23/09/98,Dundee United,Dunfermline,1,1,D,1,1,D,,,,,,,,,,,,1510.89,1526.4
SC0,23/09/98,Hearts,Motherwell,3,0,H,0,0,D,,,,,,,,,,,,1631.91,1486.07
SC0,23/09/98,Kilmarnock,Dundee,2,1,H,1,1,D,,,,,,,,,,,,1592.1,1536.04
SC0,26/09/98,Celtic,Hearts,1,1,D,1,0,H,,,,,,,,,,,,1698.62,1636.8
SC0,26/09/98,Dundee,Motherwell,1,0,H,1,0,H,,,,,,,,,,,,1528.81,1481.18
SC0,26/09/98,Dunfermline,Rangers,0,2,A,0,1,A,,,,,,,,,,,,1529.38,1717.74
SC0,26/09/98,St Johnstone,Dundee United,1,3,A,0,2,A,,,,,,,,,,,,1610.09,1507.91
