Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,EloHome,EloAway
T1,07/08/98,Dardanelspor,Fenerbahce,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1390.63,1630.7
T1,08/08/98,Adanaspor,Istanbulspor,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1400.0,1492.09
T1,08/08/98,Galatasaray,Altay,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1678.71,1463.24
T1,08/08/98,Samsunspor,Kocaelispor,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1446.97,1422.07
T1,08/08/98,Trabzonspor,Gaziantepspor,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1604.8,1418.9
T1,09/08/98,Besiktas,Ankaragucu,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1487.88,1382.0
T1,09/08/98,Bursaspor,Karabukspor,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1427.82,1403.15
T1,09/08/98,Genclerbirligi,Erzurum,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1387.72,1400.0
T1,09/08/98,Sakaryaspor,Antalyaspor,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1400.0,1415.85
T1,14/08/98,Antalyaspor,Besiktas,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1418.82,1493.73
T1,15/08/98,Fenerbahce,Genclerbirligi,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1625.92,1397.13
T1,16/08/98,Altay,Trabzonspor,2.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,1459.74,1583.84
T1,16/08/98,Ankaragucu,Dardanelspor,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1376.15,1395.41
T1,16/08/98,Bursaspor,Galatasaray,0.0,5.0,A,,,,,,,,,,,,,,,,,,,,,,1411.02,1682.21
T1,16/08/98,Erzurum,Adanaspor,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1390.59,1387.22
T1,16/08/98,Gaziantepspor,Sakaryaspor,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1439.86,1397.03
T1,16/08/98,Istanbulspor,Samsunspor,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1504.87,1430.16
T1,16/08/98,Kocaelispor,Karabukspor,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1438.88,1419.95
T1,21/08/98,Adanaspor,Fenerbahce,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,1378.33,1629.19
T1,22/08/98,Besiktas,Gaziantepspor,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1507.13,1447.49
T1,22/08/98,Galatasaray,Kocaelispor,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1689.01,1447.26
T1,22/08/98,Istanbulspor,Karabukspor,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1511.57,1411.57
T1,22/08/98,Samsunspor,Erzurum,2.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1423.46,1399.48
T1,22/08/98,Trabzonspor,Bursaspor,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1595.47,1404.22
T1,23/08/98,Ankaragucu,Antalyaspor,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1385.8,1405.42
T1,23/08/98,Dardanelspor,Genclerbirligi,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1385.76,1393.86
T1,23/08/98,Sakaryaspor,Altay,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,1389.4,1448.11
T1,28/08/98,Altay,Besiktas,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,1462.09,1501.76
T1,29/08/98,Antalyaspor,Dardanelspor,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1408.26,1370.03
T1,29/08/98,Bursaspor,Sakaryaspor,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1400.28,1375.42
T1,29/08/98,Erzurum,Karabukspor,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1416.26,1405.56
T1,29/08/98,Fenerbahce,Samsunspor,6.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,1636.58,1406.68
T1,29/08/98,Gaziantepspor,Ankaragucu,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,1452.86,1382.96
T1,29/08/98,Genclerbirligi,Adanaspor,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1409.59,1370.94
T1,29/08/98,Istanbulspor,Galatasaray,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,1517.58,1692.08
T1,29/08/98,Kocaelispor,Trabzonspor,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,1444.19,1599.41
T1,11/09/98,Trabzonspor,Istanbulspor,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,1597.44,1507.72
T1,12/09/98,Fenerbahce,Karabukspor,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,1639.84,1396.91
