Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,EloHome,EloAway
E0,07/08/99,Arsenal,Leicester,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,1861.54,1657.4
E0,07/08/99,Chelsea,Sunderland,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1803.77,1805.37
E0,07/08/99,Coventry,Southampton,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1638.46,1636.94
E0,07/08/99,Leeds,Derby,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1767.73,1669.7
E0,07/08/99,Middlesbrough,Bradford,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1681.01,1666.52
E0,07/08/99,Newcastle,Aston Villa,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1639.27,1666.54
E0,07/08/99,Sheffield Weds,Liverpool,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1629.44,1694.1
E0,07/08/99,Watford,Wimbledon,2.0,3.0,A,1.0,2.0,A,,,,,,,,,,,,,1656.92,1583.25
E0,07/08/99,West Ham,Tottenham,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1694.43,1645.42
E0,08/08/99,Everton,Man United,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1616.65,1866.78
E0,09/08/99,Tottenham,Newcastle,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,1637.97,1624.19
E0,10/08/99,Derby,Arsenal,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,,1676.14,1865.24
E0,10/08/99,Sunderland,Watford,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1796.32,1638.64
E0,10/08/99,Wimbledon,Middlesbrough,2.0,3.0,A,1.0,2.0,A,,,,,,,,,,,,,1601.53,1664.53
E0,11/08/99,Aston Villa,Everton,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1681.62,1621.74
E0,11/08/99,Leicester,Coventry,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1653.7,1622.41
E0,11/08/99,Man United,Sheffield Weds,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1861.69,1615.67
E0,11/08/99,Southampton,Leeds,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,,1652.99,1761.29
E0,14/08/99,Bradford,Sheffield Weds,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1683.0,1612.67
E0,14/08/99,Derby,Middlesbrough,1.0,3.0,A,1.0,2.0,A,,,,,,,,,,,,,1666.78,1678.36
E0,14/08/99,Leicester,Chelsea,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,,1661.69,1812.82
E0,14/08/99,Liverpool,Watford,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,1707.87,1634.02
E0,14/08/99,Man United,Leeds,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1864.69,1773.49
E0,14/08/99,Sunderland,Arsenal,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1800.94,1874.6
E0,14/08/99,Tottenham,Everton,3.0,2.0,H,1.0,1.0,D,,,,,,,,,,,,,1646.52,1614.62
E0,14/08/99,Wimbledon,Coventry,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1587.7,1614.42
E0,15/08/99,Southampton,Newcastle,4.0,2.0,H,0.0,1.0,A,,,,,,,,,,,,,1640.79,1615.64
E0,16/08/99,Aston Villa,West Ham,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,,1688.74,1701.88
E0,21/08/99,Chelsea,Aston Villa,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1810.99,1685.68
E0,21/08/99,Coventry,Derby,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1617.02,1651.17
E0,21/08/99,Everton,Southampton,4.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,1606.65,1648.97
E0,21/08/99,Leeds,Sunderland,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,,1767.25,1799.99
E0,21/08/99,Middlesbrough,Liverpool,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1693.97,1689.59
E0,21/08/99,Newcastle,Wimbledon,3.0,3.0,D,2.0,1.0,H,,,,,,,,,,,,,1607.46,1585.1
E0,21/08/99,Sheffield Weds,Tottenham,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,,,1618.35,1654.49
E0,21/08/99,Watford,Bradford,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1652.3,1677.32
E0,21/08/99,West Ham,Leicester,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1704.94,1663.52
E0,22/08/99,Arsenal,Man United,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,,,1875.55,1870.93
E0,23/08/99,Leeds,Liverpool,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,,1777.36,1680.74
E0,24/08/99,Middlesbrough,Leicester,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,,1702.82,1655.84
E0,24/08/99,Watford,Aston Villa,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1662.14,1680.31
E0,25/08/99,Arsenal,Bradford,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1859.4,1667.48
E0,25/08/99,Coventry,Man United,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1627.18,1887.08
E0,25/08/99,Everton,Wimbledon,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1617.09,1589.33
E0,25/08/99,Newcastle,Sunderland,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,,,1603.23,1789.88
E0,25/08/99,Sheffield Weds,Derby,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,1603.58,1641.01
E0,28/08/99,Aston Villa,Middlesbrough,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1695.7,1685.33
E0,28/08/99,Bradford,West Ham,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,,1663.55,1712.62
E0,28/08/99,Derby,Everton,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1655.74,1625.19
E0,28/08/99,Liverpool,Arsenal,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1699.64,1863.33
E0,28/08/99,Southampton,Sheffield Weds,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1638.53,1588.85
E0,28/08/99,Tottenham,Leeds,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,,,1669.26,1758.46
E0,28/08/99,Wimbledon,Chelsea,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1581.23,1816.36
E0,29/08/99,Sunderland,Coventry,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1799.33,1620.06
E0,30/08/99,Leicester,Watford,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1673.33,1646.75
