Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
G1,19/09/99,Ethnikos Asteras,Kavala,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1387.39,1394.07
G1,19/09/99,Kalamata,OFI,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1371.61,1462.04
G1,19/09/99,Panionios,Paniliakos,1.0,2.0,A,0.0,2.0,A,,,,,,,,,,,,1322.16,1359.51
G1,19/09/99,Proodeytiki,Olympiakos,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,1405.03,1756.69
G1,20/09/99,Iraklis,Apollon,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1426.22,1369.28
G1,20/09/99,Panahaiki,Ionikos,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1363.15,1546.67
G1,20/09/99,Panathinaikos,Trikala,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1668.97,1400.0
G1,20/09/99,PAOK,AEK,4.0,4.0,D,2.0,3.0,A,,,,,,,,,,,,1567.08,1658.69
G1,20/09/99,Xanthi,Aris,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1478.67,1489.93
G1,25/09/99,Apollon,Paniliakos,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1362.07,1374.24
G1,25/09/99,Olympiakos,Panionios,5.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,1761.45,1307.43
G1,26/09/99,AEK,Panathinaikos,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,1658.99,1671.64
G1,26/09/99,Aris,Panahaiki,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1493.06,1366.1
G1,26/09/99,Ionikos,Proodeytiki,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1543.72,1400.27
G1,26/09/99,OFI,Xanthi,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1462.38,1475.54
G1,26/09/99,PAOK,Kalamata,4.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,1566.78,1371.27
G1,26/09/99,Trikala,Ethnikos Asteras,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,,1397.33,1396.61
G1,27/09/99,Kavala,Iraklis,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1384.85,1433.43
G1,03/10/99,Apollon,Olympiakos,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1358.98,1762.44
G1,03/10/99,Ethnikos Asteras,AEK,1.0,3.0,A,0.0,0.0,D,,,,,,,,,,,,1412.64,1643.41
G1,03/10/99,Iraklis,Trikala,4.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1422.77,1381.3
G1,03/10/99,Kalamata,Xanthi,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1367.41,1466.1
G1,03/10/99,Panahaiki,OFI,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,1360.77,1471.82
G1,03/10/99,Panathinaikos,PAOK,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1687.22,1570.64
G1,03/10/99,Paniliakos,Kavala,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1377.33,1395.51
G1,04/10/99,Panionios,Ionikos,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1306.44,1548.66
G1,04/10/99,Proodeytiki,Aris,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1395.33,1498.39
G1,15/10/99,Kavala,Olympiakos,0.0,5.0,A,0.0,1.0,A,,,,,,,,,,,,1385.9,1766.15
G1,16/10/99,Aris,Panionios,5.0,1.0,H,3.0,1.0,H,,,,,,,,,,,,1510.78,1323.79
G1,16/10/99,Trikala,Paniliakos,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1373.63,1386.94
G1,17/10/99,Ionikos,Apollon,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1531.31,1355.27
G1,17/10/99,OFI,Proodeytiki,4.0,3.0,H,1.0,1.0,D,,,,,,,,,,,,1458.92,1382.94
G1,17/10/99,Panathinaikos,Kalamata,5.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,1680.3,1367.36
G1,17/10/99,PAOK,Ethnikos Asteras,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1577.56,1404.63
G1,17/10/99,Xanthi,Panahaiki,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1466.15,1373.67
G1,18/10/99,AEK,Iraklis,3.0,2.0,H,2.0,2.0,D,,,,,,,,,,,,1651.42,1430.44
G1,23/10/99,Olympiakos,Trikala,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,1770.3,1370.57
G1,24/10/99,Apollon,Aris,3.0,3.0,D,0.0,0.0,D,,,,,,,,,,,,1351.03,1514.8
G1,24/10/99,Iraklis,PAOK,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,1427.04,1581.86
G1,24/10/99,Kalamata,Panahaiki,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1365.24,1367.46
G1,24/10/99,Kavala,Ionikos,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1381.75,1535.55
G1,24/10/99,Panionios,OFI,1.0,4.0,A,1.0,1.0,D,,,,,,,,,,,,1319.77,1465.58
G1,24/10/99,Proodeytiki,Xanthi,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1376.28,1472.36
G1,25/10/99,Ethnikos Asteras,Panathinaikos,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,1400.33,1682.42
G1,25/10/99,Paniliakos,AEK,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1390.0,1654.82
G1,31/10/99,Aris,Kavala,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1512.53,1383.67
G1,31/10/99,Ethnikos Asteras,Kalamata,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1393.84,1361.81
G1,31/10/99,Panahaiki,Proodeytiki,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1370.89,1376.14
G1,31/10/99,Panathinaikos,Iraklis,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1688.91,1441.5
G1,31/10/99,PAOK,Paniliakos,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1567.4,1383.02
