Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
P1,20/08/99,Setubal,Guimaraes,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1466.97,1499.92
P1,21/08/99,Boavista,Porto,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1593.17,1702.96
P1,21/08/99,Santa Clara,Sp Lisbon,2.0,2.0,D,2.0,0.0,H,,,,,,,,,,,,1400.0,1568.43
P1,22/08/99,Alverca,Sp Braga,3.0,2.0,H,2.0,0.0,H,,,,,,,,,,,,1376.14,1444.55
P1,22/08/99,Est Amadora,Belenenses,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,,1433.28,1355.96
P1,22/08/99,Farense,Leiria,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1399.79,1449.28
P1,22/08/99,Gil Vicente,Campomaiorense,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1400.0,1381.57
P1,22/08/99,Rio Ave,Benfica,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,1377.55,1574.35
P1,22/08/99,Salgueiros,Maritimo,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1408.51,1461.19
P1,27/08/99,Guimaraes,Farense,3.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,1502.3,1410.49
P1,28/08/99,Porto,Alverca,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1702.61,1387.51
P1,29/08/99,Belenenses,Gil Vicente,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1374.34,1408.4
P1,29/08/99,Benfica,Salgueiros,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1570.95,1419.32
P1,29/08/99,Campomaiorense,Boavista,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1373.17,1593.52
P1,29/08/99,Leiria,Est Amadora,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,1438.58,1414.9
P1,29/08/99,Maritimo,Santa Clara,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1450.38,1402.43
P1,29/08/99,Sp Braga,Rio Ave,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1433.18,1380.95
P1,30/08/99,Sp Lisbon,Setubal,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,1566.0,1464.59
P1,10/09/99,Boavista,Belenenses,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1601.86,1372.0
P1,11/09/99,Sp Braga,Porto,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,1415.53,1692.21
P1,12/09/99,Est Amadora,Guimaraes,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,1419.17,1508.52
P1,12/09/99,Farense,Sp Lisbon,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,1404.27,1571.97
