Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
SP2,22/08/99,Albacete,Eibar,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,1442.44,1458.85
SP2,22/08/99,Badajoz,Getafe,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,1473.05,1480.0
SP2,22/08/99,Compostela,Recreativo,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1508.21,1487.35
SP2,22/08/99,Cordoba,Sp Gijon,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1480.0,1489.33
SP2,22/08/99,Extremadura,Ath Madrid B,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1545.96,1564.07
SP2,22/08/99,Las Palmas,Tenerife,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1546.29,1505.56
SP2,22/08/99,Leganes,Merida,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,1433.36,1498.91
SP2,22/08/99,Lleida,Villarreal,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,1474.91,1523.35
SP2,22/08/99,Logrones,Levante,3.0,3.0,D,2.0,0.0,H,,,,,,,,,,,,1402.98,1427.53
SP2,22/08/99,Osasuna,Toledo,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1423.96,1490.36
SP2,22/08/99,Salamanca,Elche,2.0,1.0,H,0.0,1.0,A,,,,,,,,,,,,1431.68,1451.53
SP2,29/08/99,Ath Madrid B,Leganes,4.0,3.0,H,1.0,2.0,A,,,,,,,,,,,,1554.46,1432.12
SP2,29/08/99,Eibar,Badajoz,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1449.3,1482.28
