Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,EloHome,EloAway
T1,06/08/99,Galatasaray,Gaziantepspor,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,1706.2,1459.82
T1,07/08/99,Genclerbirligi,Besiktas,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1414.7,1627.44
T1,07/08/99,Samsunspor,Ankaragucu,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,1435.36,1388.2
T1,08/08/99,Adanaspor,Trabzonspor,1.0,2.0,A,0.0,2.0,A,,,,,,,,,,,,1404.79,1539.75
T1,08/08/99,Antalyaspor,Istanbulspor,0.0,3.0,A,,,,,,,,,,,,,,,1443.11,1426.19
T1,08/08/99,Bursaspor,Altay,1.0,4.0,A,1.0,0.0,H,,,,,,,,,,,,1398.1,1423.48
T1,08/08/99,Erzurumspor,Denizlispor,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,1400.0,1400.0
T1,08/08/99,Fenerbahce,Vanspor,3.0,0.0,H,,,,,,,,,,,,,,,1639.33,1365.37
T1,08/08/99,Goztep,Kocaelispor,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1400.0,1446.88
T1,13/08/99,Altay,Goztep,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1438.62,1398.1
T1,14/08/99,Fenerbahce,Kocaelispor,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,1641.93,1448.78
T1,14/08/99,Istanbulspor,Bursaspor,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,1442.74,1382.96
T1,15/08/99,Ankaragucu,Adanaspor,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,1380.7,1393.54
T1,15/08/99,Besiktas,Samsunspor,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,1611.02,1442.86
T1,15/08/99,Denizlispor,Genclerbirligi,1.0,3.0,A,1.0,0.0,H,,,,,,,,,,,,1416.0,1431.12
T1,15/08/99,Gaziantepspor,Antalyaspor,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,1481.82,1426.56
