Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
B1,12/08/00,Beveren,Charleroi,1,2,A,1,1,D,2.2,3.5,2.5,2.0,3.0,2.9,2.05,3.4,2.95,2.0,3.4,2.9,1445.19,1428.54
B1,12/08/00,Mechelen,Genk,0,0,D,0,0,D,2.0,3.6,2.65,2.1,3.0,2.8,2.3,3.4,2.55,2.4,3.3,2.4,1482.23,1602.81
B1,12/08/00,Louvieroise,Lokeren,0,0,D,0,0,D,2.3,3.3,2.45,2.35,3.0,2.35,2.45,3.4,2.4,2.4,3.3,2.4,1500.0,1579.54
B1,12/08/00,Mouscron,Germinal,3,0,H,1,0,H,1.9,3.3,3.5,1.8,3.0,3.5,1.85,3.4,3.5,,,,1632.35,1575.55
B1,12/08/00,Westerlo,Antwerp,2,1,H,1,0,H,1.41,4.1,4.7,1.75,3.1,3.6,1.6,3.5,4.5,1.61,3.6,4.2,1574.42,1500.0
B1,13/08/00,Aalst,Lierse,1,3,A,0,1,A,2.7,3.3,2.1,2.3,3.0,2.4,2.6,3.2,2.3,2.4,3.3,2.4,1427.76,1548.97
B1,13/08/00,Club Brugge,Gent,6,2,H,3,0,H,1.8,3.4,3.5,1.6,3.2,4.2,1.6,3.5,4.5,1.61,3.75,4.0,1699.03,1617.58
B1,13/08/00,Harelbeke,Standard,3,4,A,1,2,A,2.6,3.2,2.2,2.6,3.0,2.2,2.75,3.25,2.2,2.6,3.3,2.25,1476.73,1559.38
B1,13/08/00,St Truiden,Anderlecht,0,0,D,0,0,D,4.0,3.0,1.75,3.8,3.2,1.65,4.1,3.45,1.7,3.8,3.5,1.7,1504.65,1735.37
B1,19/08/00,Gent,Mechelen,2,1,H,1,0,H,1.5,3.5,5.1,1.4,3.6,5.5,1.53,3.5,5.0,1.5,3.6,5.2,1611.07,1482.97
B1,19/08/00,Anderlecht,Westerlo,3,2,H,1,1,D,1.3,4.2,7.4,1.3,4.0,7.0,1.33,4.0,7.5,1.35,4.1,6.5,1730.88,1581.12
B1,19/08/00,Antwerp,Beveren,0,1,A,0,1,A,1.9,3.3,3.2,1.7,3.2,3.6,1.83,3.3,3.5,1.8,3.3,3.6,1493.3,1428.64
B1,19/08/00,Charleroi,Harelbeke,5,0,H,2,0,H,1.8,3.2,3.6,1.8,3.0,3.5,1.8,3.3,3.6,1.65,3.4,4.2,1445.09,1463.61
B1,19/08/00,Genk,Aalst,3,1,H,2,1,H,1.45,3.3,5.2,1.55,3.3,4.5,1.44,3.6,6.0,1.3,4.25,7.5,1602.07,1416.02
B1,19/08/00,Lokeren,Germinal,2,0,H,1,0,H,2.05,3.2,2.9,1.9,2.9,3.2,2.1,3.2,2.88,2.15,3.3,2.7,1580.28,1568.34
B1,19/08/00,St Truiden,Lierse,0,1,A,0,0,D,2.2,3.6,2.7,2.35,3.0,2.35,2.38,3.2,2.5,2.4,3.3,2.4,1509.14,1560.71
B1,19/08/00,Standard,Louvieroise,3,0,H,0,0,D,1.35,4.0,6.3,1.25,4.3,8.0,1.33,4.0,7.5,1.3,4.3,7.5,1572.5,1499.26
B1,20/08/00,Mouscron,Club Brugge,1,2,A,1,1,D,2.5,3.1,2.4,2.7,2.9,2.2,2.63,3.25,2.25,2.65,3.3,2.2,1639.56,1705.54
B1,25/08/00,Germinal,Standard,1,0,H,1,0,H,2.55,3.3,2.2,2.35,3.0,2.35,2.6,3.25,2.3,2.45,3.3,2.35,1559.73,1579.24
B1,26/08/00,Anderlecht,Beveren,4,0,H,2,0,H,1.2,5.0,7.8,1.2,4.7,9.0,1.22,5.0,9.0,1.2,5.0,9.5,1735.68,1446.66
B1,26/08/00,Mechelen,Mouscron,1,5,A,0,2,A,2.55,3.35,2.35,2.35,3.0,2.35,2.38,3.25,2.5,2.35,3.3,2.45,1477.67,1625.84
B1,26/08/00,St Truiden,Genk,2,2,D,1,0,H,2.55,3.3,2.25,2.35,3.0,2.35,2.63,3.2,2.3,2.55,3.3,2.25,1494.91,1606.11
B1,27/08/00,Aalst,Gent,1,4,A,1,1,D,3.0,3.2,2.1,2.9,3.0,2.0,2.88,3.3,2.1,2.75,3.35,2.1,1411.98,1616.37
B1,27/08/00,Charleroi,Antwerp,1,0,H,1,0,H,1.6,3.35,4.8,1.6,3.3,4.0,1.62,3.5,4.5,1.6,3.4,4.5,1454.71,1475.28
B1,27/08/00,Club Brugge,Lokeren,3,1,H,1,1,D,1.25,4.4,8.0,1.25,4.3,8.0,1.3,4.33,8.0,1.3,4.4,7.0,1719.26,1588.89
B1,27/08/00,Harelbeke,Louvieroise,2,2,D,1,1,D,1.66,3.5,4.2,1.75,3.2,3.4,1.73,3.4,4.0,1.7,3.4,3.9,1453.99,1492.52
B1,27/08/00,Westerlo,Lierse,1,0,H,0,0,D,2.2,3.1,2.8,2.0,3.0,2.9,2.25,3.2,2.7,2.2,3.3,2.65,1576.32,1574.94
B1,05/09/00,Anderlecht,Charleroi,7,2,H,3,1,H,1.4,3.7,6.0,1.4,3.6,5.5,1.4,3.8,6.75,1.45,3.7,5.7,1738.09,1464.4
B1,06/09/00,Gent,St Truiden,2,1,H,0,0,D,1.45,3.65,5.05,1.35,3.8,6.2,1.44,3.75,6.0,1.4,3.9,6.0,1625.22,1495.31
B1,06/09/00,Antwerp,Harelbeke,2,0,H,0,0,D,2.0,3.2,3.0,1.85,3.0,3.3,1.91,3.3,3.3,1.85,3.45,3.25,1465.59,1451.8
B1,06/09/00,Genk,Westerlo,1,2,A,1,0,H,1.8,3.3,3.7,1.85,3.0,3.3,1.8,3.25,3.75,1.65,3.5,4.1,1605.71,1585.27
B1,06/09/00,Louvieroise,Germinal,0,5,A,0,3,A,2.3,3.25,2.5,2.35,3.0,2.35,2.4,3.2,2.5,2.4,3.35,2.35,1494.71,1569.38
B1,06/09/00,Lierse,Beveren,3,0,H,1,0,H,1.45,3.7,5.5,1.35,3.8,6.2,1.44,3.75,6.0,1.45,3.75,5.5,1565.99,1444.25
B1,06/09/00,Lokeren,Mechelen,3,2,H,0,2,A,1.66,3.5,3.95,1.55,3.3,4.5,1.67,3.5,4.2,1.7,3.5,3.8,1583.64,1466.89
B1,06/09/00,Mouscron,Aalst,2,0,H,0,0,D,1.3,4.1,7.2,1.3,4.0,7.0,1.36,4.0,7.0,1.35,4.1,6.5,1636.62,1403.13
B1,06/09/00,Standard,Club Brugge,0,4,A,0,1,A,2.35,3.3,2.4,2.35,3.0,2.35,2.4,3.2,2.5,2.4,3.2,2.45,1569.59,1724.51
B1,09/09/00,Antwerp,Anderlecht,0,3,A,0,1,A,3.8,3.45,1.66,3.8,3.2,1.65,4.33,3.4,1.67,4.0,3.5,1.65,1474.14,1740.7
B1,09/09/00,Beveren,Genk,2,0,H,1,0,H,2.6,3.15,2.25,2.6,3.0,2.2,2.7,3.1,2.3,2.55,3.35,2.25,1438.8,1589.04
B1,09/09/00,Charleroi,Lierse,2,0,H,0,0,D,2.2,3.2,2.6,2.1,3.0,2.8,2.2,3.2,2.8,2.2,3.35,2.6,1461.79,1571.44
B1,09/09/00,Mechelen,Standard,0,4,A,0,1,A,2.7,3.2,2.1,2.8,3.0,2.1,2.7,3.25,2.25,2.35,3.4,2.15,1461.31,1559.05
B1,09/09/00,St Truiden,Mouscron,1,4,A,1,2,A,2.7,3.15,2.15,2.8,3.0,2.1,2.6,3.25,2.3,2.5,3.3,2.3,1490.05,1639.82
B1,09/09/00,Westerlo,Gent,0,0,D,0,0,D,2.05,3.5,2.9,2.2,3.0,2.6,2.2,3.25,2.75,2.15,3.4,2.65,1601.94,1630.48
B1,10/09/00,Aalst,Lokeren,2,2,D,2,1,H,2.35,3.15,2.5,2.3,3.1,2.3,2.4,3.2,2.5,2.4,3.35,2.35,1399.93,1589.22
B1,10/09/00,Club Brugge,Louvieroise,3,0,H,1,0,H,1.15,5.3,10.0,1.15,5.5,11.0,1.14,5.5,13.0,1.15,6.0,10.0,1735.05,1481.3
B1,10/09/00,Harelbeke,Germinal,3,0,H,2,0,H,2.25,3.2,2.55,2.3,3.1,2.3,2.38,3.3,2.5,2.35,3.35,2.4,1443.25,1582.79
B1,16/09/00,Gent,Beveren,5,0,H,3,0,H,1.45,3.7,5.5,1.35,3.8,6.2,1.44,3.75,5.5,1.45,3.8,5.4,1633.02,1453.1
B1,16/09/00,Anderlecht,Harelbeke,4,3,H,2,1,H,1.15,5.75,9.5,1.15,5.5,11.0,1.2,5.25,9.5,1.2,5.5,8.0,1747.63,1457.17
B1,16/09/00,Louvieroise,Mechelen,2,2,D,0,0,D,2.1,3.3,2.8,2.2,3.0,2.6,2.2,3.25,2.75,2.15,3.35,2.65,1478.41,1448.73
B1,16/09/00,Lierse,Antwerp,4,1,H,2,1,H,1.45,3.6,5.5,1.3,4.0,7.0,1.5,3.6,5.5,1.5,3.7,5.0,1558.59,1467.21
B1,16/09/00,Lokeren,St Truiden,2,1,H,0,0,D,1.6,3.5,4.4,1.5,3.4,4.7,1.6,3.6,4.5,1.6,3.6,4.25,1586.08,1479.33
B1,16/09/00,Mouscron,Westerlo,3,5,A,1,3,A,1.75,3.5,3.8,1.6,3.3,4.0,1.7,3.5,4.0,1.7,3.45,3.8,1650.54,1599.4
B1,16/09/00,Standard,Aalst,7,0,H,4,0,H,1.2,5.4,9.0,1.25,4.3,8.0,1.25,5.0,8.0,1.2,5.3,8.5,1571.63,1403.07
B1,17/09/00,Germinal,Club Brugge,2,3,A,0,1,A,3.6,3.5,1.8,3.2,3.1,1.85,3.5,3.3,1.83,3.1,3.3,1.95,1568.87,1737.94
B1,17/09/00,Genk,Charleroi,2,1,H,0,1,A,2.0,3.35,3.1,2.1,3.0,2.8,1.9,3.4,3.25,1.9,3.4,3.15,1574.74,1474.64
B1,22/09/00,Anderlecht,Lierse,5,2,H,2,1,H,1.35,4.0,6.5,1.4,3.6,5.5,,,,1.35,4.1,6.5,1750.02,1564.83
B1,23/09/00,Beveren,Mouscron,0,0,D,0,0,D,2.75,3.4,2.15,3.1,3.0,1.9,2.75,3.4,2.1,2.6,3.35,2.2,1448.94,1632.92
B1,23/09/00,Charleroi,Gent,4,3,H,2,0,H,2.2,3.5,2.5,2.2,3.0,2.6,2.2,3.3,2.63,2.2,3.35,2.6,1468.64,1637.18
B1,23/09/00,Mechelen,Germinal,2,3,A,0,0,D,2.35,3.3,2.45,2.3,3.0,2.4,2.4,3.3,2.4,2.3,3.35,2.45,1453.19,1558.82
B1,23/09/00,St Truiden,Standard,1,1,D,0,1,A,3.2,3.45,1.9,3.2,3.1,1.85,3.3,3.3,1.9,3.2,3.5,1.85,1473.5,1576.02
B1,23/09/00,Westerlo,Lokeren,1,1,D,0,0,D,1.66,3.4,4.0,1.7,3.1,3.8,1.7,3.4,4.0,1.65,3.5,4.1,1617.02,1591.91
B1,24/09/00,Aalst,Louvieroise,1,0,H,0,0,D,2.0,3.15,3.4,1.9,2.9,3.2,1.91,3.3,3.2,2.0,3.4,2.9,1398.68,1473.95
B1,24/09/00,Harelbeke,Club Brugge,0,6,A,0,2,A,4.5,3.8,1.55,4.7,3.4,1.5,4.75,3.5,1.57,4.25,3.6,1.6,1454.78,1747.99
B1,29/09/00,Mouscron,Charleroi,3,0,H,2,0,H,1.65,3.7,4.2,1.75,3.1,3.6,1.85,3.3,3.5,1.9,3.4,3.15,1629.96,1483.57
B1,30/09/00,Germinal,Aalst,2,0,H,0,0,D,1.35,3.8,7.0,1.4,3.6,5.5,,,,1.35,3.9,7.0,1571.12,1410.29
B1,30/09/00,Louvieroise,St Truiden,1,0,H,1,0,H,2.1,3.2,3.0,2.1,3.0,2.8,,,,2.2,3.3,2.65,1462.34,1473.59
B1,30/09/00,Lierse,Harelbeke,4,1,H,2,0,H,1.31,4.2,7.0,1.3,4.0,7.0,,,,1.35,4.1,6.5,1560.77,1448.59
B1,30/09/00,Lokeren,Beveren,1,1,D,1,1,D,1.6,3.66,4.4,1.45,3.5,5.0,,,,1.55,3.75,4.4,1596.23,1451.9
B1,30/09/00,Standard,Westerlo,5,3,H,4,1,H,1.6,3.6,4.2,1.6,3.3,4.0,,,,1.55,3.75,4.4,1575.93,1612.7
B1,01/10/00,Gent,Antwerp,4,2,H,2,2,D,1.35,4.0,6.0,1.3,4.0,7.0,1.4,3.75,6.5,1.35,4.1,6.5,1622.25,1460.97
B1,01/10/00,Club Brugge,Mechelen,5,2,H,2,1,H,1.13,6.0,12.0,1.1,7.0,14.0,1.15,5.5,11.0,1.15,6.0,10.0,1754.18,1440.89
B1,01/10/00,Genk,Anderlecht,1,1,D,1,1,D,3.3,3.5,1.85,3.2,3.1,1.85,3.4,3.25,1.91,3.0,3.4,2.0,1580.74,1754.08
B1,13/10/00,Lierse,Genk,1,1,D,0,0,D,1.7,3.9,3.6,1.6,3.3,4.0,1.73,3.5,3.75,1.7,3.55,3.7,1566.46,1583.34
B1,14/10/00,Anderlecht,Gent,2,1,H,2,1,H,1.3,4.5,6.2,1.3,4.0,7.0,1.4,3.6,7.0,1.35,4.0,6.7,1751.48,1626.8
B1,14/10/00,Antwerp,Mouscron,1,0,H,0,0,D,3.4,3.2,1.9,3.3,3.1,1.8,3.0,3.25,2.0,3.15,3.5,1.85,1456.42,1634.83
B1,14/10/00,Beveren,Standard,0,3,A,0,2,A,3.3,3.4,1.85,3.4,3.2,1.75,3.2,3.4,1.91,3.25,3.45,1.85,1459.48,1586.18
B1,14/10/00,Charleroi,Lokeren,1,0,H,0,0,D,1.67,3.4,4.2,1.7,3.2,3.6,1.67,3.5,4.0,1.65,3.55,4.0,1478.7,1588.65
B1,14/10/00,St Truiden,Germinal,3,2,H,2,0,H,2.5,3.3,2.35,2.35,3.0,2.35,2.5,3.3,2.3,2.5,3.25,2.3,1464.22,1575.68
B1,15/10/00,Aalst,Club Brugge,0,2,A,0,0,D,7.0,4.0,1.35,5.5,3.6,1.4,6.5,3.75,1.4,6.0,3.9,1.4,1405.73,1756.3
B1,15/10/00,Harelbeke,Mechelen,1,0,H,1,0,H,1.9,3.1,3.6,1.75,3.1,3.6,1.8,3.4,3.5,1.9,3.45,3.1,1442.9,1438.77
B1,15/10/00,Westerlo,Louvieroise,2,1,H,1,1,D,1.37,3.8,7.0,1.35,3.8,6.2,1.4,3.75,6.5,1.35,4.0,6.7,1602.45,1471.71
B1,20/10/00,Standard,Charleroi,4,0,H,2,0,H,1.5,3.6,5.5,1.6,3.3,4.0,1.53,3.6,5.0,1.5,3.7,5.0,1597.72,1491.56
B1,21/10/00,Gent,Lierse,2,3,A,2,1,H,2.0,3.15,3.25,1.7,3.2,3.6,1.9,3.3,3.3,1.8,3.5,3.35,1621.42,1563.53
