Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
F1,28/07/00,Marseille,Troyes,3,1,H,2,1,H,1.65,3.3,4.3,1.45,3.5,5.0,,,,1.53,3.5,5.5,1.45,3.5,6.0,1688.67,1622.61
F1,28/07/00,Paris SG,Strasbourg,3,1,H,1,1,D,1.6,3.4,4.6,1.35,3.6,6.5,,,,1.4,3.75,7.0,1.4,3.7,6.5,1713.98,1650.72
F1,29/07/00,Auxerre,Sedan,0,1,A,0,1,A,1.7,3.3,3.9,1.7,3.1,3.8,,,,1.7,3.25,4.5,1.65,3.25,4.7,1621.49,1661.54
F1,29/07/00,Bordeaux,Metz,1,1,D,1,0,H,1.65,3.3,4.3,1.55,3.3,4.5,,,,1.57,3.4,5.25,1.5,3.4,6.0,1755.41,1672.5
F1,29/07/00,Guingamp,St Etienne,2,2,D,2,1,H,2.25,3.0,2.75,2.2,2.8,2.8,,,,2.5,3.2,2.5,2.4,2.9,2.75,1643.0,1665.34
F1,29/07/00,Lille,Monaco,1,1,D,0,1,A,2.75,3.0,2.25,2.4,2.9,2.4,,,,3.25,3.2,2.0,2.9,3.0,2.25,1707.96,1772.3
F1,29/07/00,Lyon,Rennes,2,2,D,0,2,A,1.6,3.4,4.6,1.5,3.4,4.7,,,,1.44,3.6,6.5,1.55,3.5,5.3,1734.16,1642.4
F1,29/07/00,Nantes,Lens,0,2,A,0,0,D,2.15,3.0,3.0,2.0,2.9,3.0,,,,2.25,3.2,2.75,2.1,3.1,3.1,1654.85,1705.48
F1,29/07/00,Toulouse,Bastia,0,1,A,0,0,D,2.0,3.0,3.5,1.9,2.8,3.3,,,,2.1,3.2,3.0,1.85,3.15,3.8,1596.64,1646.8
F1,03/08/00,Sedan,Lyon,1,1,D,0,0,D,2.1,3.1,3.2,2.2,2.8,2.8,,,,2.38,3.2,2.63,2.4,3.0,2.6,1676.18,1727.89
F1,04/08/00,Monaco,Nantes,2,5,A,1,4,A,1.4,4.0,6.0,1.4,3.6,5.5,,,,1.4,4.0,6.5,1.44,3.5,6.5,1773.58,1640.59
F1,04/08/00,St Etienne,Marseille,3,0,H,1,0,H,2.35,3.0,2.75,2.2,2.8,2.8,,,,2.38,3.2,2.6,2.3,3.0,2.75,1668.09,1695.61
F1,05/08/00,Bastia,Bordeaux,2,0,H,1,0,H,1.8,3.1,4.0,2.1,2.8,3.0,,,,2.25,3.2,2.75,2.25,3.1,2.75,1661.08,1749.38
F1,05/08/00,Lens,Guingamp,3,2,H,1,0,H,1.4,3.2,8.0,1.5,3.2,5.0,,,,1.5,3.6,5.75,1.44,3.5,6.5,1719.74,1640.25
F1,05/08/00,Metz,Auxerre,1,2,A,1,1,D,1.8,3.0,4.2,1.8,2.9,3.6,,,,2.0,3.2,3.25,2.2,3.1,2.8,1678.53,1606.85
F1,05/08/00,Rennes,Paris SG,1,1,D,1,0,H,2.45,3.05,2.6,2.9,2.9,2.1,,,,2.8,3.25,2.2,2.8,3.1,2.2,1648.67,1721.0
F1,05/08/00,Strasbourg,Lille,0,4,A,0,1,A,1.7,3.1,4.4,1.7,3.0,3.8,,,,1.75,3.25,4.2,1.75,3.2,4.0,1643.7,1706.68
F1,05/08/00,Troyes,Toulouse,1,1,D,1,1,D,2.15,3.2,2.9,1.8,2.9,3.6,,,,1.83,3.2,3.8,2.1,3.0,3.1,1615.67,1582.36
F1,12/08/00,Auxerre,Bastia,1,0,H,1,0,H,1.75,3.0,3.9,1.75,3.1,3.6,,,,1.7,3.25,4.33,1.66,3.25,4.5,1625.07,1673.16
F1,12/08/00,Bordeaux,Troyes,2,2,D,1,1,D,1.38,4.0,7.0,1.35,3.8,6.2,,,,1.4,3.75,7.0,1.4,3.75,7.0,1737.3,1611.1
F1,12/08/00,Guingamp,Nantes,0,1,A,0,1,A,2.4,3.0,2.75,2.2,2.8,2.8,,,,2.4,3.0,2.7,2.4,3.0,2.7,1633.69,1660.41
F1,12/08/00,Lille,Rennes,1,0,H,0,0,D,2.0,3.0,3.4,2.0,2.9,3.0,,,,2.05,3.0,3.4,2.0,3.1,3.25,1720.51,1647.68
F1,12/08/00,Lyon,Metz,0,0,D,0,0,D,1.6,3.4,5.0,1.6,3.2,4.2,,,,1.53,3.5,5.5,1.5,3.4,6.0,1729.62,1660.31
