Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,EloHome,EloAway
F2,28/07/00,Wasquehal,Nancy,0,1,A,0.0,1.0,A,,,,,,,1467.2,1570.57
F2,29/07/00,Ajaccio,Le Mans,1,0,H,1.0,0.0,H,,,,,,,1481.57,1469.35
F2,29/07/00,Beauvais,Montpellier,1,3,A,0.0,1.0,A,,,,,,,1446.96,1507.56
F2,29/07/00,Caen,Cannes,2,2,D,1.0,2.0,A,,,,,,,1496.06,1446.16
F2,29/07/00,Chateauroux,Martigues,1,1,D,0.0,1.0,A,,,,,,,1502.91,1480.0
F2,29/07/00,Creteil,Lorient,2,1,H,1.0,0.0,H,,,,,,,1446.25,1467.92
F2,29/07/00,Laval,Gueugnon,2,1,H,2.0,0.0,H,,,,,,,1483.17,1533.76
F2,29/07/00,Nice,Le Havre,0,0,D,0.0,0.0,D,,,,,,,1507.87,1498.14
F2,29/07/00,Nimes,Sochaux,3,3,D,3.0,1.0,H,,,,,,,1432.36,1564.02
F2,29/07/00,Niort,Angers,3,2,H,3.0,0.0,H,,,,,,,1460.25,1480.0
F2,04/08/00,Lorient,Nimes,1,1,D,0.0,0.0,D,,,,,,,1458.19,1433.5
F2,05/08/00,Angers,Ajaccio,1,1,D,0.0,0.0,D,,,,,,,1470.34,1490.17
F2,05/08/00,Cannes,Niort,6,4,H,2.0,1.0,H,,,,,,,1451.24,1469.91
F2,05/08/00,Gueugnon,Nice,1,2,A,0.0,2.0,A,,,,,,,1523.03,1504.05
F2,05/08/00,Le Havre,Beauvais,1,0,H,1.0,0.0,H,,,,,,,1501.96,1433.05
F2,05/08/00,Le Mans,Martigues,2,2,D,1.0,1.0,D,,,,,,,1460.75,1484.25
F2,05/08/00,Montpellier,Caen,2,0,H,0.0,0.0,D,,,,,,,1521.47,1490.98
F2,05/08/00,Sochaux,Chateauroux,5,0,H,2.0,0.0,H,,,,,,,1562.88,1498.66
F2,05/08/00,Wasquehal,Creteil,1,1,D,1.0,1.0,D,,,,,,,1454.82,1455.98
