Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA,EloHome,EloAway
I2,01/09/00,Torino,Ancona,0,2,A,0,1,A,,,,,,,1.3,4.0,8.0,1546.26,1480.0
I2,03/09/00,Cagliari,Crotone,4,0,H,2,0,H,,,,1.35,3.2,7.0,1.4,3.25,8.5,1474.06,1480.0
I2,03/09/00,Chievo,Genoa,1,0,H,1,0,H,,,,2.5,2.3,2.9,2.5,2.45,3.0,1475.44,1534.71
I2,03/09/00,Cittadella,Piacenza,0,2,A,0,2,A,,,,3.7,2.4,1.9,3.5,2.65,2.1,1480.0,1459.68
I2,03/09/00,Cosenza,Pescara,1,0,H,1,0,H,,,,1.9,2.3,3.8,2.15,2.55,3.55,1465.65,1485.69
I2,03/09/00,Empoli,Pistoiese,0,2,A,0,1,A,,,,1.7,2.6,4.4,1.75,2.7,5.0,1496.89,1486.28
I2,03/09/00,Monza,Venezia,2,3,A,1,1,D,,,,2.9,2.3,2.5,3.1,2.45,2.45,1487.13,1488.39
I2,03/09/00,Ravenna,Salernitana,1,1,D,0,0,D,,,,2.5,2.3,2.9,2.35,2.5,3.2,1463.27,1501.68
I2,03/09/00,Sampdoria,Ternana,2,1,H,0,0,D,,,,1.6,2.7,5.0,1.55,2.9,6.8,1553.14,1485.61
I2,03/09/00,Siena,Treviso,2,0,H,1,0,H,,,,2.4,2.3,3.0,2.3,2.4,3.5,1480.0,1483.81
I2,10/09/00,Ancona,Monza,1,0,H,0,0,D,,,,1.8,2.5,4.0,1.9,2.55,4.5,1498.06,1471.17
I2,10/09/00,Crotone,Ravenna,2,1,H,1,0,H,,,,2.5,2.3,2.9,2.35,2.5,3.2,1470.8,1461.08
I2,10/09/00,Genoa,Siena,1,1,D,1,1,D,,,,1.5,2.9,5.5,1.45,3.25,7.0,1523.67,1489.13
I2,10/09/00,Pescara,Empoli,1,3,A,0,2,A,,,,1.7,2.5,4.5,1.75,2.6,5.5,1476.02,1480.54
I2,10/09/00,Piacenza,Cosenza,2,0,H,2,0,H,,,,1.5,2.9,5.5,1.4,3.45,7.5,1476.34,1475.32
I2,10/09/00,Pistoiese,Torino,1,1,D,0,1,A,,,,2.7,2.5,2.5,3.0,2.45,2.5,1502.63,1528.2
I2,10/09/00,Ternana,Chievo,1,0,H,0,0,D,,,,1.8,2.4,4.2,1.8,2.6,5.0,1478.71,1486.48
I2,10/09/00,Treviso,Cagliari,2,3,A,1,1,D,,,,2.6,2.3,2.6,2.6,2.45,2.9,1474.68,1483.26
I2,10/09/00,Venezia,Cittadella,2,2,D,1,1,D,,,,1.25,3.8,9.0,1.3,3.9,9.0,1504.35,1463.34
I2,11/09/00,Salernitana,Sampdoria,2,3,A,0,1,A,,,,2.1,2.4,3.4,2.2,2.55,3.4,1503.87,1560.04
I2,15/09/00,Chievo,Treviso,2,1,H,1,0,H,,,,2.0,2.3,3.9,2.0,2.4,4.5,1477.22,1458.96
I2,17/09/00,Cagliari,Pescara,2,1,H,0,1,A,,,,1.55,2.9,5.2,1.5,3.15,6.5,1498.98,1460.17
