Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
N1,18/08/00,Sparta,Roda JC,2,2,D,1,1,D,2.35,3.2,2.55,2.6,3.0,2.2,2.4,3.25,2.5,2.35,3.3,2.45,1443.38,1603.11
N1,19/08/00,Graafschap,PSV Eindhoven,2,0,H,0,0,D,5.0,3.5,1.5,5.0,3.5,1.45,5.0,3.5,1.57,4.7,3.6,1.55,1461.01,1786.67
N1,19/08/00,Feyenoord,AZ Alkmaar,2,0,H,1,0,H,1.33,4.35,5.6,1.45,3.5,5.0,1.53,3.5,5.5,1.45,3.9,5.2,1692.95,1558.99
N1,19/08/00,NAC Breda,Waalwijk,0,1,A,0,0,D,2.2,3.3,2.6,2.0,3.0,2.9,2.2,3.25,2.75,2.0,3.4,2.9,1455.23,1459.26
N1,20/08/00,Groningen,Willem II,1,1,D,0,0,D,2.3,3.3,2.6,2.2,3.0,2.6,2.4,3.25,2.5,2.4,3.3,2.4,1500.0,1566.1
N1,20/08/00,Roosendaal,Nijmegen,2,3,A,1,2,A,2.2,3.45,2.6,2.2,3.0,2.6,2.25,3.3,2.63,2.3,3.35,2.45,1500.0,1413.41
N1,20/08/00,Utrecht,Heerenveen,2,0,H,1,0,H,2.5,3.3,2.35,2.6,3.0,2.2,2.4,3.25,2.5,2.4,3.3,2.4,1508.27,1654.92
N1,20/08/00,Vitesse,Twente,3,1,H,1,1,D,1.7,3.15,4.55,1.8,3.0,3.5,1.73,3.3,4.2,1.65,3.5,4.1,1667.51,1623.61
N1,22/08/00,Ajax,For Sittard,5,0,H,1,0,H,1.25,4.05,7.0,1.25,4.3,8.0,1.25,5.0,8.0,1.25,4.75,8.0,1640.31,1519.41
N1,23/08/00,Groningen,Nijmegen,4,4,D,2,2,D,1.9,3.2,3.5,1.75,3.1,3.6,1.91,3.25,3.4,1.85,3.3,3.4,1498.78,1432.04
N1,26/08/00,AZ Alkmaar,Roosendaal,3,0,H,1,0,H,1.43,3.8,5.2,1.3,4.0,7.0,1.36,4.0,7.0,1.3,4.2,7.5,1553.83,1481.37
N1,26/08/00,Graafschap,Roda JC,1,3,A,0,2,A,2.5,3.4,2.3,2.35,3.0,2.35,2.38,3.25,2.5,2.35,3.3,2.45,1480.65,1600.98
N1,26/08/00,For Sittard,Heerenveen,0,2,A,0,1,A,3.0,3.3,2.05,2.8,3.0,2.1,2.75,3.25,2.2,2.6,3.35,2.2,1513.94,1640.75
