Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
P1,18/08/00,Beira Mar,Boavista,2,4,A,0,1,A,2.65,3.15,2.2,2.7,2.9,2.2,2.8,3.1,2.2,2.75,3.1,2.2,1390.3,1534.64
P1,19/08/00,Porto,Benfica,2,0,H,2,0,H,1.66,3.6,4.1,1.8,3.0,3.5,1.83,3.2,3.75,1.8,3.1,4.0,1672.67,1603.66
P1,19/08/00,Sp Braga,Guimaraes,1,0,H,0,0,D,2.15,3.4,2.7,2.0,2.9,3.0,2.25,3.0,2.8,2.3,3.0,2.7,1455.08,1441.13
P1,20/08/00,Alverca,Maritimo,0,0,D,0,0,D,2.0,3.0,3.4,2.0,2.9,3.0,2.2,3.1,2.8,2.15,3.1,2.85,1396.22,1477.09
P1,20/08/00,Aves,Belenenses,0,1,A,0,1,A,2.0,3.15,3.2,2.1,2.9,2.9,2.25,3.0,2.8,2.5,2.9,2.55,1400.0,1383.95
P1,20/08/00,Gil Vicente,Campomaiorense,1,1,D,0,1,A,1.4,3.65,5.6,1.45,3.5,5.0,1.6,3.4,4.6,1.65,3.25,4.5,1486.61,1380.97
P1,20/08/00,Salgueiros,Pacos Ferreira,1,0,H,1,0,H,1.9,3.2,3.3,1.7,3.1,3.8,1.73,3.2,4.0,1.7,3.2,4.2,1372.49,1400.0
P1,20/08/00,Sp Lisbon,Farense,1,0,H,0,0,D,1.25,4.65,9.5,1.15,5.5,11.0,1.22,4.8,9.0,1.2,4.8,10.0,1656.01,1389.54
P1,20/08/00,Leiria,Est Amadora,2,0,H,1,0,H,2.05,3.15,2.85,2.0,2.9,3.0,2.1,3.1,3.0,2.0,3.1,3.15,1462.97,1460.44
P1,25/08/00,Est Amadora,Sp Braga,0,1,A,0,0,D,1.9,3.05,3.6,1.8,3.0,3.5,1.91,3.1,3.6,1.95,3.0,3.4,1451.53,1463.62
P1,26/08/00,Campomaiorense,Salgueiros,2,3,A,0,3,A,2.05,3.15,2.9,1.7,3.1,3.8,1.91,3.1,3.6,1.95,3.0,3.4,1387.61,1382.42
P1,26/08/00,Guimaraes,Sp Lisbon,1,4,A,0,3,A,3.55,3.15,1.8,3.0,2.9,2.0,3.1,3.1,2.1,2.85,2.9,2.25,1432.59,1658.71
P1,27/08/00,Belenenses,Porto,2,0,H,1,0,H,4.4,3.05,1.66,3.8,3.1,1.7,4.0,3.25,1.75,3.65,3.1,1.85,1400.48,1679.53
P1,27/08/00,Pacos Ferreira,Aves,2,0,H,1,0,H,1.8,3.15,3.55,1.7,3.1,3.8,1.83,3.2,3.75,1.8,3.15,3.75,1390.07,1383.47
P1,27/08/00,Benfica,Beira Mar,4,1,H,2,0,H,1.2,4.3,10.0,1.2,4.7,9.0,1.17,5.5,11.0,1.15,5.5,12.0,1596.8,1379.39
P1,27/08/00,Farense,Alverca,2,0,H,0,0,D,2.0,3.15,3.2,1.9,2.9,3.2,2.0,3.1,3.3,1.9,3.1,3.5,1386.84,1395.53
P1,28/08/00,Boavista,Leiria,4,0,H,0,0,D,1.45,3.75,5.9,1.35,3.8,6.2,1.4,3.75,7.0,1.45,3.55,6.0,1545.55,1471.88
P1,02/09/00,Maritimo,Gil Vicente,1,0,H,0,0,D,1.9,3.1,3.5,1.85,2.9,3.4,1.9,3.1,3.6,1.75,3.1,4.1,1477.78,1479.97
P1,08/09/00,Sp Braga,Sp Lisbon,3,2,H,0,1,A,3.25,3.3,1.9,3.5,3.0,1.8,3.6,3.25,1.83,4.0,3.3,1.7,1479.22,1666.86
P1,09/09/00,Porto,Pacos Ferreira,2,1,H,2,0,H,1.16,5.15,12.0,1.15,5.5,11.0,1.17,5.5,11.0,1.15,5.5,11.0,1661.1,1398.85
P1,09/09/00,Leiria,Benfica,1,1,D,0,0,D,3.4,3.1,1.95,3.5,3.0,1.8,3.5,3.1,1.9,3.5,3.1,1.9,1465.16,1600.26
P1,10/09/00,Aves,Campomaiorense,2,2,D,0,1,A,2.1,3.2,2.9,1.9,2.9,3.2,2.1,3.1,3.0,2.05,3.0,3.15,1374.69,1371.44
P1,10/09/00,Beira Mar,Belenenses,2,2,D,0,1,A,2.7,3.0,2.3,2.35,3.0,2.35,2.6,3.0,2.4,2.6,2.95,2.4,1375.93,1418.91
P1,10/09/00,Est Amadora,Boavista,0,0,D,0,0,D,2.6,3.15,2.3,2.9,2.9,2.1,2.9,3.0,2.2,3.05,3.0,2.1,1435.93,1552.27
P1,10/09/00,Gil Vicente,Farense,0,0,D,0,0,D,1.8,3.2,3.8,1.6,3.2,4.2,1.67,3.3,4.33,1.65,3.25,4.5,1470.9,1396.13
P1,10/09/00,Salgueiros,Maritimo,1,0,H,1,0,H,2.0,3.15,3.15,2.1,2.9,2.9,2.05,3.0,3.2,2.0,3.0,3.3,1398.59,1486.85
