Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SP1,09/09/00,Barcelona,Malaga,2,1,H,2,0,H,1.28,3.9,7.9,1.25,4.3,8.0,1.35,3.75,8.0,1.3,4.33,8.5,1.28,4.5,8.0,1754.7,1661.91
SP1,09/09/00,La Coruna,Ath Bilbao,2,0,H,0,0,D,1.51,3.2,6.2,1.55,3.3,4.5,1.55,3.25,5.5,1.53,3.5,5.5,1.57,3.5,5.0,1746.17,1681.88
SP1,09/09/00,Real Madrid,Valencia,2,1,H,0,0,D,1.65,3.2,4.1,1.6,3.2,4.2,1.55,3.5,5.0,1.67,3.3,4.75,1.66,3.3,4.5,1749.64,1770.66
SP1,09/09/00,Sociedad,Santander,2,2,D,0,0,D,1.85,3.15,3.45,1.8,3.0,3.5,1.7,3.4,4.0,1.85,3.25,3.8,1.8,3.25,3.75,1677.36,1639.92
SP1,09/09/00,Zaragoza,Espanol,1,2,A,0,0,D,1.7,3.1,4.3,1.7,3.1,3.8,1.7,3.2,4.3,1.73,3.25,4.33,1.72,3.2,4.33,1740.51,1666.97
SP1,10/09/00,Las Palmas,Alaves,0,3,A,0,1,A,2.35,3.15,2.6,2.2,2.9,2.7,2.6,3.2,2.35,2.4,3.2,2.6,2.3,3.1,2.75,1644.13,1704.22
SP1,10/09/00,Mallorca,Valladolid,1,1,D,1,0,H,1.8,3.1,3.9,1.8,3.0,3.5,1.7,3.4,4.0,1.73,3.25,4.33,1.72,3.2,4.33,1673.7,1688.16
SP1,10/09/00,Numancia,Oviedo,1,0,H,0,0,D,2.0,3.1,3.3,1.85,2.9,3.4,2.1,3.2,3.0,1.95,3.1,3.6,1.9,3.1,3.6,1612.83,1626.7
SP1,10/09/00,Osasuna,Celta,0,2,A,0,0,D,2.65,2.9,2.35,2.4,2.9,2.4,2.6,3.2,2.35,2.8,3.0,2.38,,,,1592.66,1680.39
SP1,10/09/00,Villarreal,Vallecano,1,5,A,0,3,A,2.25,3.1,2.75,2.1,2.9,2.9,2.4,3.25,2.5,2.3,3.1,2.8,2.25,3.1,2.8,1610.19,1640.89
