Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,EloHome,EloAway
SP2,02/09/00,Albacete,Tenerife,1,0,H,1,0,H,,,,2.2,2.8,2.8,1489.83,1452.89
SP2,02/09/00,Getafe,Cordoba,0,0,D,0,0,D,,,,2.3,2.8,2.6,1425.22,1479.67
SP2,02/09/00,Lleida,Eibar,0,0,D,0,0,D,,,,1.7,2.8,4.2,1504.45,1486.26
SP2,03/09/00,Compostela,Betis,0,0,D,0,0,D,,,,2.6,2.8,2.3,1468.38,1536.03
SP2,03/09/00,Elche,Salamanca,2,0,H,1,0,H,,,,2.6,2.8,2.3,1472.75,1484.38
SP2,03/09/00,Jaen,Ferrol,1,0,H,0,0,D,,,,1.85,2.8,3.5,1480.0,1480.0
SP2,03/09/00,Leganes,Extremadura,1,1,D,1,0,H,,,,2.2,2.8,2.8,1481.13,1488.06
SP2,03/09/00,Levante,Ath Madrid,4,1,H,0,1,A,,,,2.8,2.8,2.2,1467.44,1521.89
SP2,03/09/00,Recreativo,Badajoz,0,0,D,0,0,D,,,,2.2,2.7,2.9,1425.49,1453.89
SP2,03/09/00,Sevilla,Murcia,2,1,H,0,0,D,,,,1.4,3.4,5.6,1463.8,1480.0
SP2,03/09/00,Sp Gijon,U.Las Palmas,0,0,D,0,0,D,,,,1.6,3.0,4.5,1481.05,1480.0
SP2,09/09/00,Ath Madrid,Recreativo,0,1,A,0,1,A,,,,1.5,3.3,4.8,1511.02,1422.95
SP2,09/09/00,U.Las Palmas,Getafe,0,1,A,0,0,D,,,,2.1,2.7,3.1,1483.54,1423.59
SP2,10/09/00,Badajoz,Jaen,0,1,A,0,0,D,,,,1.8,2.7,3.8,1456.43,1489.0
SP2,10/09/00,Betis,Elche,1,2,A,0,2,A,,,,1.45,3.3,5.2,1537.19,1482.14
SP2,10/09/00,Cordoba,Levante,1,1,D,1,1,D,,,,2.1,2.7,3.1,1481.3,1478.31
SP2,10/09/00,Eibar,Leganes,0,1,A,0,0,D,,,,1.9,2.6,3.5,1490.36,1477.86
SP2,10/09/00,Extremadura,Albacete,1,1,D,1,0,H,,,,1.75,2.8,3.9,1491.33,1497.64
SP2,10/09/00,Murcia,Lleida,0,0,D,0,0,D,,,,2.3,2.6,2.8,1470.46,1500.35
SP2,10/09/00,Ferrol,Compostela,1,3,A,0,1,A,,,,2.3,2.9,2.5,1471.0,1467.22
SP2,10/09/00,Salamanca,Sevilla,0,1,A,0,1,A,,,,2.2,2.7,2.9,1474.99,1473.34
SP2,10/09/00,Tenerife,Sp Gijon,1,0,H,0,0,D,,,,1.9,2.6,3.5,1445.08,1477.51
SP2,16/09/00,Albacete,Eibar,1,3,A,0,2,A,,,,1.7,2.9,4.0,1500.93,1473.95
SP2,16/09/00,Elche,Sevilla,1,2,A,0,1,A,,,,2.5,2.9,2.3,1499.88,1489.4
SP2,17/09/00,Betis,Ferrol,2,1,H,2,0,H,,,,1.4,3.6,5.5,1519.45,1454.87
SP2,17/09/00,Compostela,Badajoz,0,1,A,0,0,D,,,,1.9,2.8,3.3,1483.35,1441.53
SP2,17/09/00,Getafe,Tenerife,0,5,A,0,2,A,,,,2.2,2.9,2.7,1441.47,1455.18
SP2,17/09/00,Jaen,Ath Madrid,1,0,H,0,0,D,,,,2.4,2.9,2.4,1503.9,1492.35
SP2,17/09/00,Leganes,Murcia,3,2,H,2,1,H,,,,1.7,2.9,4.0,1494.27,1467.97
