Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
T1,11/08/00,Kocaelispor,Fenerbahce,0,4,A,0,2,A,,,,2.9,3.0,2.0,3.8,2.5,1.53,,,,1418.94,1602.6
T1,12/08/00,Besiktas,Yozgatspor,3,0,H,1,0,H,,,,1.2,4.7,9.0,1.17,4.0,10.0,1.14,5.5,11.0,1666.79,1400.0
T1,12/08/00,Bursaspor,Gaziantepspor,3,3,D,1,1,D,,,,2.2,3.0,2.6,2.5,2.25,2.0,2.3,3.1,2.6,1416.99,1546.61
T1,12/08/00,Erzurumspor,Trabzonspor,1,3,A,0,0,D,,,,2.8,3.0,2.1,2.5,3.0,1.75,3.1,3.1,2.0,1400.56,1516.65
T1,12/08/00,Genclerbirligi,Rizespor,0,0,D,0,0,D,,,,1.35,3.8,6.2,1.6,3.0,3.0,1.4,3.75,6.0,1516.58,1400.0
T1,13/08/00,Denizlispor,Galatasaray,0,1,A,0,1,A,,,,4.0,3.3,1.6,2.6,3.25,1.57,4.5,3.5,1.57,1427.87,1702.18
T1,13/08/00,Istanbulspor,Adanaspor,1,6,A,1,3,A,,,,1.9,3.0,3.1,1.5,3.25,3.0,1.9,3.0,3.5,1417.14,1432.63
T1,13/08/00,Samsunspor,Ankaragucu,3,0,H,3,0,H,,,,1.6,3.3,4.0,2.0,2.4,2.5,1.72,3.25,3.8,1470.05,1411.72
T1,13/08/00,Siirt Jet-PA,Antalyaspor,1,2,A,1,0,H,,,,2.2,3.0,2.6,2.5,3.0,1.75,,,,1400.0,1415.54
T1,18/08/00,Antalyaspor,Besiktas,1,2,A,0,0,D,,,,4.5,3.3,1.55,7.0,4.2,1.25,,,,1431.02,1669.49
T1,19/08/00,Ankaragucu,Kocaelispor,1,0,H,1,0,H,,,,1.75,3.1,3.6,,,,1.85,3.3,3.4,1404.55,1409.39
T1,19/08/00,Galatasaray,Erzurumspor,7,0,H,3,0,H,,,,1.15,5.5,11.0,1.08,5.5,13.0,1.15,5.5,11.0,1708.89,1388.64
T1,19/08/00,Siirt Jet-PA,Rizespor,2,3,A,2,1,H,,,,2.1,3.0,2.8,,,,2.0,3.15,3.1,1384.52,1406.92
T1,19/08/00,Yozgatspor,Denizlispor,2,0,H,0,0,D,,,,2.2,3.0,2.6,2.2,2.75,2.88,1.9,3.25,3.25,1397.3,1421.16
T1,20/08/00,Fenerbahce,Istanbulspor,2,0,H,0,0,D,,,,1.2,4.7,9.0,1.2,4.5,7.0,1.25,4.5,8.5,1612.15,1401.66
T1,20/08/00,Gaziantepspor,Samsunspor,4,0,H,2,0,H,,,,1.65,3.2,3.8,1.67,3.25,3.8,1.65,3.4,4.2,1545.55,1477.22
T1,20/08/00,Genclerbirligi,Adanaspor,1,0,H,0,0,D,,,,1.7,3.2,3.6,1.8,3.25,3.0,1.7,3.35,4.0,1509.66,1448.11
