Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Unnamed: 25,Unnamed: 26,EloHome,EloAway
B1,11/08/01,Gent,St Truiden,4,2,H,2,1,H,,,,1.4,3.6,5.5,,,,1.4,4.0,6.5,1.45,3.9,5.2,,,1620.7,1495.2
B1,11/08/01,Anderlecht,Antwerp,3,0,H,0,0,D,,,,1.2,4.7,9.0,,,,1.2,5.5,10.0,1.3,4.5,6.8,,,1803.77,1506.17
B1,11/08/01,Genk,Beveren,5,1,H,1,1,D,,,,1.55,3.3,4.5,,,,1.57,3.6,5.0,1.55,3.7,4.5,,,1550.88,1433.94
B1,11/08/01,Lierse,Lokeren,1,1,D,1,1,D,,,,1.9,2.9,3.2,,,,2.25,3.2,2.8,2.0,3.4,2.9,,,1505.06,1627.93
B1,11/08/01,Lommel,Molenbeek,1,0,H,0,0,D,,,,1.8,3.0,3.5,,,,1.62,3.6,4.5,1.7,3.55,3.75,,,1460.99,1500.0
B1,12/08/01,Aalst,Mouscron,1,0,H,1,0,H,,,,2.3,3.1,2.3,,,,2.38,3.4,2.5,2.4,3.4,2.35,,,1419.41,1604.34
B1,12/08/01,Charleroi,Standard,0,0,D,0,0,D,,,,2.3,3.1,2.3,,,,2.7,3.2,2.3,2.45,3.4,2.3,,,1487.73,1622.2
B1,12/08/01,Club Brugge,Westerlo,4,2,H,4,1,H,,,,1.3,4.0,7.0,,,,1.33,4.33,7.5,1.35,4.2,6.3,,,1748.26,1570.02
B1,12/08/01,Germinal,Louvieroise,8,2,H,3,1,H,,,,1.45,3.5,5.0,,,,1.44,4.0,6.0,,,,,,1580.38,1479.38
B1,17/08/01,Mouscron,Gent,0,1,A,0,1,A,,,,2.0,3.0,2.9,,,,2.1,3.3,2.88,2.15,3.4,2.65,,,1588.84,1626.06
B1,18/08/01,Antwerp,Genk,3,0,H,2,0,H,,,,2.0,3.0,2.9,,,,2.25,3.3,2.62,2.45,3.4,2.3,,,1503.87,1556.45
