Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
D1,28/07/01,Cottbus,Hamburg,1,0,H,0,0,D,17781,Franz-Xaver Wack ,11,6,2,1,0,0,6,3,24,23,0,1,2,2,0,0,20,20,2.35,3.15,2.65,2.4,2.9,2.4,2.4,3.25,2.5,2.4,3.1,2.6,2.5,3.0,2.6,2.37,3.25,2.5,1617.63,1675.67
D1,28/07/01,Dortmund,Nurnberg,2,0,H,1,0,H,68000,Michael Weiner ,16,4,10,1,0,0,5,4,15,17,10,1,2,2,0,0,20,20,1.33,4.1,7.4,1.4,3.6,5.5,1.33,4.33,7.0,1.33,4.2,7.5,,,,1.36,3.75,8.0,1732.61,1640.06
D1,28/07/01,Freiburg,Werder Bremen,3,0,H,0,0,D,25000,Hartmut Strampe ,11,13,5,3,0,0,9,5,11,12,2,2,1,4,0,1,10,65,2.2,3.1,2.85,2.1,2.9,2.9,2.2,3.25,2.75,2.1,3.2,3.0,2.25,3.0,3.0,2.1,3.2,3.0,1729.83,1718.94
D1,28/07/01,Leverkusen,Wolfsburg,2,1,H,1,0,H,22500,Hermann Albrecht ,13,4,7,2,1,0,11,0,6,15,3,1,2,1,0,0,20,10,1.47,3.8,5.8,1.55,3.3,4.5,1.5,3.4,6.0,1.5,3.4,6.0,1.57,3.6,5.0,1.5,3.6,5.5,1771.51,1698.75
D1,28/07/01,M'gladbach,Bayern Munich,1,0,H,1,0,H,34500,Edgar Steinborn ,15,10,4,3,0,0,5,7,19,25,5,1,0,4,0,0,0,40,3.55,3.3,1.9,3.0,2.9,2.0,3.5,3.2,1.91,3.4,3.3,1.91,3.5,3.25,1.91,3.7,3.3,1.8,1668.7,1824.42
D1,28/07/01,Munich 1860,Kaiserslautern,0,4,A,0,0,D,24000,Hellmut Krug ,8,7,2,5,1,0,7,4,17,20,1,0,2,3,0,0,20,30,2.2,3.2,2.85,2.1,2.9,2.9,2.0,3.4,3.0,2.1,3.2,3.0,2.25,3.0,3.0,2.0,3.3,3.1,1666.62,1683.87
D1,28/07/01,Stuttgart,FC Koln,0,0,D,0,0,D,30000,Markus Merk ,16,9,6,2,2,1,4,0,19,22,1,3,1,1,0,0,10,10,1.95,3.2,3.5,1.9,2.9,3.2,1.91,3.25,3.4,2.0,3.0,3.4,1.91,3.25,3.5,2.1,3.2,3.0,1650.16,1669.69
D1,29/07/01,St Pauli,Hertha,0,0,D,0,0,D,20515,Jürgen Aust ,9,12,4,4,0,1,1,1,20,24,2,3,1,2,0,0,10,20,3.7,3.2,1.85,3.5,3.0,1.8,3.5,3.5,1.8,3.6,3.3,1.8,3.25,3.5,1.91,3.75,3.25,1.8,1634.91,1724.73
D1,04/08/01,Bayern Munich,Schalke 04,3,0,H,3,0,H,63000,Herbert Fandel ,15,6,9,3,1,0,4,6,13,17,3,1,2,4,0,0,20,40,,,,1.7,3.1,3.8,1.5,3.4,6.0,1.57,3.5,5.0,1.67,3.4,4.5,1.61,3.5,4.5,1809.93,1739.17
D1,04/08/01,FC Koln,Munich 1860,2,0,H,0,0,D,32000,Alfons Berg ,12,4,7,2,1,1,5,3,10,8,1,1,1,1,0,0,10,10,,,,1.9,2.9,3.2,1.8,3.25,3.75,1.67,3.3,4.5,1.8,3.4,3.75,1.66,3.4,4.33,1672.53,1651.2
D1,04/08/01,Hamburg,Stuttgart,2,0,H,1,0,H,39036,Lutz Wagner ,17,13,6,4,1,0,5,4,21,17,2,4,1,0,0,0,10,0,,,,1.8,3.0,3.5,1.91,3.25,3.4,1.67,3.4,4.5,1.73,3.25,4.33,,,,1664.67,1647.32
D1,04/08/01,Hansa Rostock,Leverkusen,0,3,A,0,1,A,25000,Florian Meyer ,14,9,5,3,0,1,5,7,12,14,2,3,3,4,0,0,30,40,,,,2.9,2.9,2.1,2.8,3.2,2.2,2.9,3.3,2.1,3.25,3.0,2.1,2.8,3.2,2.2,1652.24,1778.26
D1,04/08/01,Hertha,Dortmund,0,2,A,0,0,D,55000,Helmut Fleischer ,16,11,3,7,1,0,10,4,14,20,0,3,2,1,0,0,20,10,,,,2.2,2.9,2.7,2.1,3.4,2.8,2.25,3.2,2.75,2.25,3.0,3.0,2.25,3.3,2.62,1725.1,1738.81
D1,04/08/01,Werder Bremen,Cottbus,3,2,H,1,2,A,25000,Jörg Kessler ,23,10,5,3,0,0,9,3,9,21,4,4,2,5,0,0,20,50,,,,1.5,3.4,4.7,1.5,3.4,6.0,1.53,3.4,5.75,1.62,3.4,5.0,1.53,3.4,5.5,1710.3,1628.63
D1,04/08/01,Wolfsburg,St Pauli,1,1,D,0,1,A,11000,Wolfgang Stark ,31,12,18,6,0,1,13,1,18,15,3,1,2,2,0,0,20,20,,,,1.5,3.4,4.7,1.57,3.25,5.5,1.45,3.6,6.5,,,,1.5,3.6,5.5,1692.0,1634.54
D1,05/08/01,Kaiserslautern,M'gladbach,3,2,H,0,0,D,41582,Peter Sippel ,18,8,8,4,0,1,7,0,16,18,1,4,1,2,0,0,10,20,,,,1.65,3.2,3.9,1.57,3.5,5.0,1.57,3.4,5.25,1.57,3.6,5.0,1.57,3.5,5.0,1699.29,1683.19
D1,05/08/01,Nurnberg,Freiburg,2,0,H,1,0,H,33000,Jürgen Jansen ,21,5,7,3,1,0,9,5,20,25,2,3,1,2,0,0,10,20,,,,2.2,2.9,2.7,2.4,3.25,2.5,2.38,3.1,2.62,2.38,3.2,2.62,2.25,3.2,2.75,1633.86,1738.47
D1,11/08/01,Cottbus,Nurnberg,1,0,H,1,0,H,15702,Peter Gagelmann ,7,10,2,4,1,1,4,7,25,17,2,4,3,3,0,0,30,30,,,,1.85,2.9,3.4,1.8,3.25,3.75,,,,1.91,3.2,3.6,2.0,3.2,3.2,1622.13,1646.53
D1,11/08/01,Dortmund,Wolfsburg,4,0,H,3,0,H,66000,Franz-Xaver Wack ,12,7,3,5,0,0,6,1,10,19,2,1,1,1,0,0,10,10,,,,1.4,3.6,5.5,1.4,3.75,7.0,,,,1.4,4.0,6.5,1.28,4.33,8.5,1754.35,1686.69
D1,11/08/01,Freiburg,Hertha,1,3,A,0,2,A,22000,Herbert Fandel ,18,14,4,10,1,0,3,1,13,24,1,0,1,3,0,1,10,55,,,,2.3,2.9,2.5,2.25,3.2,2.75,,,,2.38,3.0,2.75,2.3,3.1,2.75,1725.8,1709.56
D1,11/08/01,Kaiserslautern,FC Koln,2,1,H,2,0,H,41000,Uwe Kemmling ,18,9,6,4,1,0,8,3,23,18,2,3,1,3,0,0,10,30,,,,1.7,3.1,3.8,1.57,3.5,5.0,,,,1.67,3.4,4.5,1.61,3.3,5.0,1707.76,1680.83
D1,11/08/01,Leverkusen,Bayern Munich,1,1,D,0,0,D,22500,Hellmut Krug ,10,6,5,3,1,1,6,2,28,27,13,2,3,5,0,0,30,50,,,,2.3,2.9,2.5,2.37,3.2,2.6,,,,2.5,3.0,2.6,2.4,3.1,2.6,1789.83,1816.74
D1,11/08/01,Munich 1860,Hamburg,1,1,D,0,1,A,22000,Edgar Steinborn ,15,13,5,6,0,0,5,10,20,19,2,2,0,1,0,0,0,10,,,,2.2,2.9,2.7,2.37,3.2,2.6,,,,2.38,3.2,2.6,2.37,3.1,2.62,1642.9,1673.1
D1,11/08/01,Stuttgart,Werder Bremen,0,0,D,0,0,D,17500,Torsten Koop ,10,10,5,4,0,1,5,5,20,15,1,5,1,2,0,0,10,20,,,,2.1,2.9,2.9,2.0,3.2,3.2,,,,2.1,3.25,3.0,2.2,3.2,2.8,1638.89,1716.8
