Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
E2,11/08/01,Blackpool,Reading,0,2,A,0,1,A,5613.0,G. Laws ,8,11,2,6,0,0,4,6,16,23,3,10,0,4,0,0,0,40,,,,2.7,2.9,2.2,2.75,3.25,2.25,,,,2.75,3.25,2.25,,,,1279.3,1462.03
E2,11/08/01,Cambridge,Brighton,0,0,D,0,0,D,4509.0,C. J. Foy ,4,8,1,1,0,1,6,3,15,18,1,4,4,3,0,1,40,55,,,,2.4,2.9,2.4,2.5,3.2,2.5,,,,2.5,3.2,2.5,2.5,3.2,2.5,1290.62,1366.18
E2,11/08/01,Cardiff,Wycombe,1,0,H,1,0,H,17403.0,P. Dowd ,17,12,11,4,0,0,5,9,7,15,1,0,1,2,0,0,10,20,,,,1.7,3.1,3.8,1.8,3.25,4.0,,,,1.73,3.5,4.0,1.72,3.5,4.0,1317.48,1326.54
E2,11/08/01,Chesterfield,Colchester,3,6,A,1,3,A,3939.0,G. Cain ,11,12,9,9,0,0,5,7,14,9,3,3,0,1,0,0,0,10,,,,1.9,3.1,3.0,2.1,3.25,3.0,,,,2.0,3.5,3.0,1.9,3.5,3.25,1328.14,1316.2
E2,11/08/01,Huddersfield,Bournemouth,1,0,H,0,0,D,10137.0,A. R. Hall ,5,11,3,5,0,0,1,8,10,18,3,5,2,4,0,0,20,40,,,,1.6,3.2,4.2,1.73,3.25,4.33,,,,1.67,3.5,4.33,1.61,3.6,4.5,1406.22,1426.75
E2,11/08/01,Northampton,Bristol City,0,3,A,0,3,A,5528.0,P. E. Alcock ,10,14,5,5,0,3,6,10,11,10,3,2,1,1,1,0,35,10,,,,2.5,2.9,2.3,2.62,3.2,2.37,,,,2.6,3.25,2.38,2.62,3.2,2.37,1289.44,1374.09
E2,11/08/01,Port Vale,Notts County,4,2,H,1,1,D,6076.0,R. J. Beeby ,17,11,8,5,1,1,2,4,11,11,1,1,1,2,0,0,10,20,,,,2.1,2.9,2.9,2.1,3.25,3.0,,,,2.0,3.5,3.0,2.1,3.25,3.0,1357.16,1376.37
E2,11/08/01,QPR,Stoke,1,0,H,1,0,H,14357.0,E. K. Wolstenholme ,9,4,7,2,0,0,2,5,15,15,5,0,1,4,0,0,10,40,,,,2.0,3.0,2.9,2.1,3.25,3.0,,,,2.25,3.4,2.62,,,,1342.9,1435.84
E2,11/08/01,Swindon,Peterboro,0,0,D,0,0,D,7934.0,P. Walton ,6,8,4,5,0,0,7,5,17,18,2,5,3,1,1,0,55,10,,,,1.85,3.0,3.3,2.2,3.25,2.87,,,,2.1,3.25,3.0,1.83,3.4,3.6,1307.18,1341.12
E2,11/08/01,Tranmere,Bury,1,2,A,0,1,A,9114.0,G. B. Frankland ,16,16,7,10,2,1,3,5,18,10,3,6,3,4,1,0,55,40,,,,1.6,3.2,4.2,1.57,3.6,5.0,,,,1.62,3.6,4.5,1.61,3.6,4.5,1295.85,1315.51
E2,11/08/01,Wigan,Brentford,1,1,D,0,1,A,5952.0,P. J. Joslin ,14,5,9,5,0,0,4,4,17,16,0,4,4,1,0,0,40,10,,,,1.55,3.3,4.5,1.67,3.4,4.5,,,,1.62,3.6,4.5,1.57,3.6,5.0,1414.12,1312.47
E2,11/08/01,Wrexham,Oldham,3,3,D,0,1,A,4881.0,B. Curson ,10,6,6,5,0,0,5,5,10,16,4,1,0,3,0,0,0,30,,,,1.7,3.1,3.8,1.83,3.25,3.75,,,,1.8,3.4,3.75,1.72,3.5,4.0,1355.61,1336.55
E2,18/08/01,Bournemouth,Blackpool,0,1,A,0,1,A,3709.0,P. Armstrong,13,5,7,2,0,0,3,4,13,9,4,2,0,0,0,0,0,0,,,,1.7,3.1,3.8,1.73,3.25,4.33,,,,1.8,3.4,3.75,1.72,3.25,4.33,1417.06,1269.72
