Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
F1,27/07/01,Bordeaux,Nantes,2,0,H,2,0,H,2.03,3.05,3.3,2.0,2.9,3.0,2.1,3.2,3.0,2.1,3.2,3.0,2.1,3.1,3.2,2.0,3.2,3.2,1766.39,1792.95
F1,28/07/01,Bastia,Sedan,1,1,D,0,0,D,1.92,3.05,3.65,1.8,2.9,3.6,1.8,3.25,3.75,1.85,3.2,3.75,1.91,3.2,3.6,1.9,3.2,3.5,1632.83,1689.88
F1,28/07/01,Lens,Lyon,2,0,H,2,0,H,2.55,2.95,2.55,2.4,2.7,2.6,2.5,3.2,2.5,2.6,3.0,2.5,2.6,2.88,2.6,2.62,2.9,2.5,1647.38,1819.31
F1,28/07/01,Lorient,Metz,1,0,H,0,0,D,2.2,2.95,3.05,2.1,2.9,2.9,2.25,3.2,2.75,2.25,3.0,2.88,2.25,3.0,3.0,2.1,3.2,3.0,1668.03,1669.85
F1,28/07/01,Monaco,Sochaux,0,1,A,0,0,D,1.45,3.65,6.3,1.4,3.6,5.5,1.44,3.6,6.5,1.36,3.75,8.0,1.4,4.0,6.5,1.4,3.75,7.0,1675.84,1694.68
F1,28/07/01,Montpellier,Marseille,1,1,D,0,1,A,2.5,2.95,2.6,2.3,2.8,2.6,2.5,3.2,2.5,2.6,3.1,2.4,2.6,3.0,2.5,2.5,2.9,2.62,1628.6,1644.03
F1,28/07/01,Paris SG,Lille,0,0,D,0,0,D,1.65,3.3,4.65,1.6,3.2,4.2,1.61,3.25,5.0,1.53,3.4,5.5,1.67,3.4,4.5,1.66,3.3,4.5,1663.69,1763.08
F1,28/07/01,Rennes,Auxerre,0,5,A,0,1,A,1.85,3.1,3.85,1.85,2.9,3.4,1.91,3.2,3.5,1.85,3.2,3.75,1.8,3.25,4.0,1.72,3.2,4.33,1668.4,1616.86
F1,28/07/01,Troyes,Guingamp,3,0,H,1,0,H,1.89,3.1,3.7,1.8,2.9,3.6,1.8,3.2,4.0,1.85,3.2,3.75,1.91,3.2,3.6,1.8,3.3,3.75,1662.19,1645.56
F1,03/08/01,Marseille,Bordeaux,0,0,D,0,0,D,,,,2.2,2.8,2.8,2.5,3.2,2.5,2.2,3.1,2.88,2.25,3.0,3.0,2.1,3.2,3.0,1647.01,1776.29
F1,04/08/01,Auxerre,Paris SG,1,1,D,0,1,A,,,,2.2,2.8,2.8,2.37,3.2,2.6,2.38,3.1,2.62,2.38,3.0,2.75,2.37,3.1,2.62,1634.49,1663.67
F1,04/08/01,Guingamp,Bastia,1,0,H,0,0,D,,,,2.0,2.9,3.0,1.8,3.25,3.75,1.91,3.2,3.5,1.91,3.1,3.75,1.9,3.2,3.5,1637.11,1631.29
F1,04/08/01,Lille,Lorient,3,1,H,0,0,D,,,,1.55,3.3,4.5,1.57,3.25,5.5,1.57,3.4,5.2,1.57,3.4,5.5,1.61,3.5,4.5,1763.1,1677.09
F1,04/08/01,Lyon,Sedan,2,0,H,1,0,H,,,,1.55,3.3,4.5,1.5,3.4,6.0,1.53,3.4,5.5,1.57,3.4,5.5,1.5,3.6,5.5,1804.26,1691.42
