Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,EloHome,EloAway
F2,28/07/01,Ajaccio,Nancy,4,2,H,1,1,D,2.22,2.8,3.05,2.1,2.8,3.0,,,,1480.9,1512.3
F2,28/07/01,Amiens,Beauvais,0,1,A,0,0,D,2.07,2.8,3.4,2.1,2.9,2.9,,,,1437.67,1481.13
F2,28/07/01,Grenoble,Caen,4,3,H,1,2,A,2.08,2.85,3.3,2.0,2.9,3.0,,,,1480.0,1442.8
F2,28/07/01,Gueugnon,Nimes,4,3,H,3,1,H,1.95,2.9,3.6,1.9,2.7,3.5,,,,1500.57,1481.46
F2,28/07/01,Le Mans,Creteil,0,1,A,0,1,A,1.87,2.9,3.9,1.8,2.7,3.9,,,,1466.05,1436.52
F2,28/07/01,Nice,Laval,2,1,H,1,1,D,2.15,2.8,3.2,2.2,2.9,2.7,,,,1456.44,1459.22
F2,28/07/01,St Etienne,Istres,1,2,A,0,1,A,1.4,3.65,6.7,1.45,3.5,5.0,,,,1542.5,1480.0
F2,28/07/01,Wasquehal,Chateauroux,0,2,A,0,1,A,2.2,2.85,3.05,2.2,2.8,3.0,,,,1470.63,1518.56
F2,29/07/01,Le Havre,Strasbourg,1,1,D,0,1,A,2.4,2.85,2.75,,,,,,,1521.46,1504.86
F2,29/07/01,Martigues,Niort,1,1,D,1,1,D,2.5,2.8,2.65,2.5,2.7,2.5,,,,1425.01,1512.04
F2,04/08/01,Beauvais,Gueugnon,0,1,A,0,0,D,,,,2.2,2.8,2.8,,,,1495.65,1508.95
F2,04/08/01,Caen,Wasquehal,1,0,H,0,0,D,,,,1.85,2.8,3.5,,,,1434.99,1456.27
F2,04/08/01,Chateauroux,Ajaccio,0,2,A,0,1,A,,,,1.7,2.9,4.0,,,,1532.92,1490.96
F2,04/08/01,Grenoble,Le Mans,1,1,D,1,0,H,,,,1.85,2.8,3.5,,,,1487.81,1449.09
F2,04/08/01,Laval,Istres,2,0,H,0,0,D,,,,1.75,3.2,3.4,,,,1450.13,1497.95
F2,04/08/01,Nancy,Amiens,1,1,D,1,1,D,,,,1.6,3.2,4.2,,,,1502.24,1423.15
F2,04/08/01,Nimes,Martigues,0,0,D,0,0,D,,,,1.7,2.9,4.0,,,,1473.08,1424.54
F2,04/08/01,Niort,Le Havre,2,2,D,0,2,A,,,,1.8,2.9,3.6,,,,1512.51,1517.42
F2,04/08/01,Strasbourg,Nice,3,0,H,2,0,H,,,,1.45,3.5,5.0,,,,1508.9,1465.53
F2,05/08/01,Creteil,St Etienne,1,1,D,1,0,H,,,,2.5,2.7,2.5,,,,1453.48,1524.55
