Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,EloHome,EloAway
G1,22/09/01,Olympiakos,Iraklis,3.0,0.0,H,2.0,0.0,H,1.2,5.0,8.5,1.2,5.0,8.0,1832.65,1478.11
G1,23/09/01,Akratitos,Xanthi,2.0,0.0,H,1.0,0.0,H,2.35,3.0,2.55,2.2,3.1,2.5,1400.0,1431.55
G1,23/09/01,Ionikos,AEK,1.0,2.0,A,0.0,1.0,A,3.4,3.2,1.83,3.5,3.0,1.8,1490.37,1658.95
G1,23/09/01,OFI,Eth Asteras,2.0,0.0,H,2.0,0.0,H,1.6,3.4,4.1,1.7,3.1,3.8,1488.87,1411.17
G1,23/09/01,Panahaiki,Egaleo,5.0,3.0,H,3.0,0.0,H,,,,,,,1427.43,1400.0
G1,23/09/01,Panionios,Panathinaikos,2.0,2.0,D,1.0,1.0,D,4.9,3.55,1.5,4.0,3.1,1.65,1424.05,1730.88
G1,23/09/01,PAOK,Aris,1.0,1.0,D,0.0,0.0,D,1.7,3.25,3.9,1.7,3.3,3.5,1564.4,1492.27
G1,29/09/01,Xanthi,Panahaiki,2.0,0.0,H,1.0,0.0,H,1.65,3.3,4.4,1.5,3.4,4.7,1421.48,1435.54
G1,30/09/01,AEK,Egaleo,4.0,0.0,H,2.0,0.0,H,1.17,5.5,10.8,1.15,5.5,11.0,1669.01,1391.89
G1,30/09/01,Aris,Ionikos,1.0,0.0,H,0.0,0.0,D,1.63,3.35,4.35,1.55,3.3,4.5,1498.0,1480.31
G1,30/09/01,Eth Asteras,Akratitos,2.0,1.0,H,1.0,1.0,D,1.7,3.3,4.25,1.7,3.1,3.8,1404.56,1410.07
G1,30/09/01,Iraklis,PAOK,3.0,1.0,H,0.0,0.0,D,2.35,3.0,2.65,2.2,3.1,2.5,1476.41,1558.67
G1,30/09/01,Olympiakos,Panionios,2.0,0.0,H,1.0,0.0,H,1.17,5.4,10.5,1.15,5.5,11.0,1834.35,1430.72
G1,30/09/01,Panathinaikos,OFI,5.0,1.0,H,4.0,1.0,H,1.2,5.0,10.0,1.2,4.7,9.0,1724.21,1495.48
G1,13/10/01,Akratitos,Panathinaikos,0.0,0.0,D,0.0,0.0,D,7.0,4.5,1.2,6.0,4.4,1.3,1400.89,1727.48
G1,14/10/01,AEK,Xanthi,2.0,0.0,H,0.0,0.0,D,1.1,6.0,11.0,1.15,6.0,9.0,1671.57,1430.95
G1,14/10/01,Egaleo,Aris,0.0,0.0,D,0.0,0.0,D,3.1,3.2,1.9,2.6,3.0,2.2,1389.33,1506.42
G1,14/10/01,Ionikos,Iraklis,1.0,1.0,D,0.0,0.0,D,2.15,3.1,2.85,2.2,3.0,2.6,1471.89,1488.27
G1,14/10/01,Panahaiki,Eth Asteras,0.0,0.0,D,0.0,0.0,D,,,,,,,1426.07,1413.74
G1,14/10/01,Panionios,OFI,1.0,1.0,D,1.0,0.0,H,1.7,3.4,3.85,1.7,3.3,3.6,1429.42,1492.21
G1,14/10/01,PAOK,Olympiakos,1.0,1.0,D,0.0,0.0,D,3.2,3.15,1.95,2.6,3.0,2.2,1546.81,1835.65
G1,20/10/01,Olympiakos,Ionikos,5.0,0.0,H,1.0,0.0,H,1.1,6.1,11.5,1.15,6.0,9.0,1829.45,1468.94
G1,20/10/01,Panathinaikos,Panahaiki,8.0,0.0,H,5.0,0.0,H,1.1,6.0,11.5,1.15,6.0,9.0,1720.32,1422.16
G1,21/10/01,Aris,Xanthi,1.0,1.0,D,0.0,1.0,A,,,,,,,1505.81,1427.87
G1,21/10/01,Eth Asteras,AEK,2.0,0.0,H,0.0,0.0,D,5.7,3.4,1.45,5.3,3.7,1.4,1417.65,1674.65
G1,21/10/01,Iraklis,Egaleo,2.0,0.0,H,1.0,0.0,H,1.25,4.5,7.2,1.25,4.5,7.0,1491.22,1389.94
G1,21/10/01,OFI,Akratitos,1.0,0.0,H,0.0,0.0,D,1.4,3.6,6.0,1.45,3.6,4.8,1493.54,1408.05
G1,21/10/01,PAOK,Panionios,3.0,1.0,H,1.0,1.0,D,1.3,3.9,7.5,1.4,3.7,5.3,1553.01,1428.09
