Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I1,25/08/01,Bologna,Atalanta,1,0,H,1,0,H,,,,1.9,2.8,3.3,,,,,,,1.91,3.0,3.75,1.9,3.0,3.75,1651.55,1650.91
I1,26/08/01,Brescia,Milan,2,2,D,2,0,H,,,,3.0,2.8,2.1,,,,,,,3.2,3.0,2.1,3.3,2.87,2.1,1694.24,1748.29
I1,26/08/01,Fiorentina,Chievo,0,2,A,0,1,A,,,,1.45,3.5,5.0,,,,,,,1.4,3.75,7.0,1.44,3.75,6.0,1686.95,1651.18
I1,26/08/01,Inter,Perugia,4,1,H,2,0,H,,,,1.4,3.6,5.5,,,,,,,1.29,4.33,8.5,1.25,4.5,10.0,1736.5,1655.15
I1,26/08/01,Juventus,Venezia,4,0,H,3,0,H,,,,1.2,4.7,9.0,,,,,,,1.2,5.0,11.0,1.2,5.0,11.0,1888.87,1648.51
I1,26/08/01,Lazio,Piacenza,1,1,D,0,0,D,,,,1.2,4.7,9.0,,,,,,,1.22,5.0,9.0,1.25,4.5,10.0,1863.43,1653.3
I1,26/08/01,Lecce,Parma,1,1,D,1,0,H,,,,2.8,2.8,2.2,,,,,,,2.8,2.88,2.38,2.6,2.8,2.6,1632.74,1764.24
I1,26/08/01,Udinese,Torino,2,2,D,0,2,A,,,,1.75,3.1,3.6,,,,,,,1.8,3.2,4.0,1.9,3.0,3.75,1638.34,1695.47
I1,26/08/01,Verona,Roma,1,1,D,0,1,A,,,,3.8,2.9,1.75,,,,,,,4.33,3.0,1.8,4.5,3.1,1.72,1642.23,1842.19
I1,08/09/01,Perugia,Lazio,0,0,D,0,0,D,,,,3.2,2.9,1.9,,,,3.25,3.0,2.1,3.2,3.0,2.1,3.6,2.87,2.0,1648.64,1854.52
I1,08/09/01,Roma,Udinese,1,1,D,0,0,D,,,,1.35,3.8,6.2,,,,1.3,4.33,8.5,1.29,4.33,8.5,1.25,4.5,10.0,1838.69,1636.81
I1,09/09/01,Atalanta,Juventus,0,2,A,0,1,A,,,,3.6,2.9,1.8,,,,3.6,3.1,1.95,3.75,3.0,1.91,3.75,3.2,1.83,1641.93,1891.96
I1,09/09/01,Chievo,Bologna,2,0,H,1,0,H,,,,2.45,2.8,2.45,,,,2.4,2.9,2.8,2.38,2.8,2.88,2.37,2.9,2.8,1668.33,1660.53
I1,09/09/01,Milan,Fiorentina,5,2,H,3,1,H,,,,1.35,3.8,6.2,,,,1.4,3.75,7.0,1.4,3.75,7.0,1.36,3.75,8.0,1749.93,1669.8
I1,09/09/01,Parma,Inter,2,2,D,1,2,A,,,,2.3,2.7,2.7,,,,2.38,3.0,2.75,2.38,2.88,2.8,2.4,2.9,2.75,1763.11,1743.01
I1,09/09/01,Piacenza,Lecce,1,2,A,1,0,H,,,,1.9,2.7,3.4,,,,1.91,3.0,3.75,1.91,3.0,3.75,1.9,3.0,3.75,1662.21,1633.87
I1,09/09/01,Torino,Brescia,1,3,A,1,1,D,,,,1.9,2.7,3.4,,,,2.2,2.9,3.1,2.1,3.0,3.2,2.1,2.87,3.3,1697.0,1692.6
I1,09/09/01,Venezia,Verona,0,1,A,0,0,D,,,,2.1,2.8,3.0,,,,2.25,2.9,3.0,2.2,3.0,3.0,2.2,2.8,3.2,1645.42,1645.73
I1,15/09/01,Juventus,Chievo,3,2,H,2,2,D,,,,1.2,4.7,9.0,,,,1.22,5.0,10.0,1.2,5.5,9.0,1.2,5.0,11.0,1899.37,1677.07
I1,16/09/01,Bologna,Parma,1,0,H,0,0,D,,,,2.4,2.7,2.6,,,,2.5,3.0,2.6,2.5,2.88,2.62,2.4,2.87,2.8,1651.79,1758.95
I1,16/09/01,Brescia,Lecce,1,1,D,0,1,A,,,,1.7,3.1,3.8,,,,1.73,3.2,4.33,1.8,3.1,4.0,1.72,3.1,4.5,1708.75,1650.79
I1,16/09/01,Fiorentina,Atalanta,3,1,H,2,1,H,,,,1.9,2.7,3.4,,,,2.0,3.2,3.3,2.0,3.0,3.4,2.0,3.0,3.4,1663.26,1634.52
I1,16/09/01,Inter,Venezia,2,1,H,0,0,D,,,,1.2,4.7,9.0,,,,1.2,5.25,10.0,1.22,5.0,9.0,1.22,5.0,9.5,1747.17,1629.43
I1,16/09/01,Lazio,Torino,0,0,D,0,0,D,,,,1.3,4.0,7.0,,,,1.29,4.33,8.5,1.29,4.5,8.0,1.3,4.2,8.5,1850.82,1680.85
I1,16/09/01,Piacenza,Roma,2,0,H,1,0,H,,,,3.5,2.8,1.85,,,,4.0,3.0,1.85,4.0,3.0,1.83,4.0,2.87,1.9,1645.29,1829.93
I1,16/09/01,Udinese,Milan,1,2,A,0,1,A,,,,3.0,2.8,2.1,,,,3.25,3.0,2.1,3.0,3.0,2.2,3.25,2.9,2.1,1645.57,1756.47
I1,16/09/01,Verona,Perugia,1,1,D,0,1,A,,,,1.8,2.9,3.6,,,,1.91,3.0,3.75,1.91,3.0,3.75,1.9,2.87,4.0,1661.72,1652.34
I1,22/09/01,Lecce,Juventus,0,0,D,0,0,D,,,,3.3,2.8,1.9,,,,3.75,3.2,1.85,4.0,3.1,1.8,4.0,2.87,1.9,1656.11,1902.75
I1,23/09/01,Atalanta,Verona,1,0,H,1,0,H,,,,2.1,2.8,3.0,,,,2.0,3.0,3.5,2.0,3.0,3.4,2.0,2.9,3.6,1626.45,1657.91
I1,23/09/01,Chievo,Piacenza,4,2,H,2,1,H,,,,2.1,2.8,3.0,,,,2.0,3.0,3.5,2.0,3.0,3.4,1.9,3.0,3.75,1673.69,1660.78
I1,23/09/01,Milan,Lazio,2,0,H,1,0,H,,,,2.0,2.7,3.2,,,,1.85,3.2,3.75,1.83,3.2,3.75,1.83,3.2,3.75,1768.58,1842.68
I1,23/09/01,Parma,Brescia,1,0,H,0,0,D,,,,1.75,3.1,3.6,,,,1.7,3.2,4.5,1.62,3.25,5.0,1.61,3.1,5.5,1746.19,1703.43
I1,23/09/01,Perugia,Udinese,1,2,A,1,1,D,,,,2.0,2.8,3.1,,,,2.0,3.0,3.5,2.1,3.0,3.2,2.1,2.75,3.5,1656.15,1633.46
I1,23/09/01,Roma,Fiorentina,2,1,H,1,1,D,,,,1.45,3.5,5.0,,,,1.4,3.75,7.0,1.36,4.0,7.0,1.4,3.6,7.5,1814.44,1671.33
I1,23/09/01,Torino,Inter,0,1,A,0,0,D,,,,3.0,2.8,2.1,,,,3.4,3.1,2.0,3.2,3.0,2.1,3.4,2.8,2.1,1688.99,1752.72
I1,23/09/01,Venezia,Bologna,0,1,A,0,0,D,,,,2.4,2.7,2.6,,,,2.38,3.0,2.75,2.38,2.88,2.8,2.37,2.8,2.87,1623.88,1664.55
I1,29/09/01,Juventus,Roma,0,2,A,0,1,A,,,,1.9,2.8,3.3,,,,1.91,3.1,3.75,1.91,3.0,3.75,1.83,3.0,4.0,1897.77,1819.39
I1,30/09/01,Brescia,Atalanta,3,3,D,1,3,A,,,,1.7,2.9,4.2,1.8,3.2,4.0,1.85,3.0,4.0,1.91,3.0,3.75,1.83,3.0,4.0,1695.8,1636.52
I1,30/09/01,Fiorentina,Venezia,3,1,H,1,0,H,,,,1.5,3.2,5.0,1.44,3.6,6.5,1.44,3.6,6.5,1.44,3.6,6.5,1.5,3.6,5.5,1666.38,1609.27
I1,30/09/01,Inter,Bologna,1,0,H,1,0,H,,,,1.45,3.5,5.0,1.4,3.75,7.0,1.44,3.6,7.0,1.4,3.75,7.0,1.44,3.6,6.5,1766.52,1679.16
I1,30/09/01,Lazio,Parma,0,0,D,0,0,D,,,,1.7,3.0,4.0,1.8,3.2,4.0,2.0,3.1,3.4,1.83,3.0,4.0,1.9,3.1,3.6,1831.11,1753.82
I1,30/09/01,Perugia,Milan,3,1,H,0,0,D,,,,3.3,2.8,1.9,4.0,3.2,1.8,4.2,3.1,1.8,4.0,3.0,1.83,4.0,2.87,1.9,1639.41,1780.15
I1,30/09/01,Piacenza,Torino,3,1,H,2,0,H,,,,2.0,2.6,3.4,2.0,2.8,3.75,2.0,2.9,3.6,2.0,2.88,3.6,1.9,2.87,4.0,1652.21,1675.19
I1,30/09/01,Udinese,Chievo,1,2,A,1,2,A,,,,1.65,3.1,4.0,1.83,3.2,3.75,2.0,2.9,3.6,2.0,2.88,3.6,1.9,3.2,3.5,1650.2,1682.26
