Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I2,24/08/01,Genoa,Napoli,0,2,A,0,0,D,,,,2.0,2.6,3.3,,,,1.9,2.65,4.3,1518.56,1565.6
I2,26/08/01,Ancona,Reggina,1,0,H,1,0,H,,,,,,,2.3,2.5,3.4,2.3,2.6,3.15,1460.15,1580.71
I2,26/08/01,Cagliari,Messina,0,0,D,0,0,D,,,,1.5,3.0,5.5,1.44,3.4,7.0,1.35,3.5,9.0,1469.6,1480.0
I2,26/08/01,Como,Crotone,1,1,D,0,0,D,,,,1.9,2.7,3.5,1.91,2.62,4.5,2.0,2.5,4.2,1480.0,1477.34
I2,26/08/01,Cosenza,Cittadella,2,1,H,0,0,D,,,,1.65,2.7,4.5,1.67,2.8,6.0,1.7,2.8,5.2,1502.64,1462.33
I2,26/08/01,Empoli,Palermo,5,3,H,2,0,H,,,,1.6,2.8,4.6,1.62,2.9,6.0,1.6,2.9,6.0,1575.82,1480.0
I2,26/08/01,Modena,Bari,2,0,H,1,0,H,,,,2.6,2.6,2.5,2.7,2.5,2.8,2.65,2.6,2.65,1480.0,1443.8
I2,26/08/01,Salernitana,Sampdoria,2,0,H,0,0,D,,,,2.5,2.6,2.6,2.1,2.6,3.75,2.1,2.6,3.6,1450.54,1579.25
I2,26/08/01,Ternana,Siena,3,0,H,1,0,H,,,,1.6,2.8,4.6,1.44,3.25,8.0,1.55,3.0,6.5,1543.31,1477.97
I2,26/08/01,Vicenza,Pistoiese,1,1,D,0,0,D,,,,1.4,3.0,7.0,,,,1.35,3.7,8.0,1550.73,1440.08
I2,02/09/01,Bari,Empoli,2,2,D,1,1,D,,,,1.9,2.5,4.0,1.8,2.7,5.0,2.0,2.75,3.6,1435.96,1581.94
I2,02/09/01,Cittadella,Salernitana,4,4,D,3,2,H,,,,2.5,2.5,2.7,2.4,2.62,3.0,2.55,2.7,2.65,1454.62,1464.07
I2,02/09/01,Crotone,Modena,1,2,A,0,0,D,,,,1.8,2.6,4.4,1.8,2.7,5.0,1.8,2.75,4.6,1480.93,1487.84
I2,02/09/01,Messina,Ternana,1,1,D,0,0,D,,,,2.5,2.5,2.7,2.7,2.5,2.8,2.5,2.5,3.2,1483.15,1550.27
I2,02/09/01,Napoli,Ancona,1,2,A,1,1,D,,,,1.5,3.0,5.5,1.5,3.25,6.5,1.5,3.1,6.75,1579.99,1473.39
I2,02/09/01,Pistoiese,Genoa,0,1,A,0,0,D,,,,2.3,2.5,2.9,2.5,2.5,3.1,2.35,2.55,3.1,1446.85,1504.17
I2,02/09/01,Reggina,Como,4,1,H,1,0,H,,,,1.6,2.8,5.2,1.57,2.9,7.0,1.55,2.95,6.5,1567.47,1476.41
I2,02/09/01,Sampdoria,Cosenza,1,1,D,1,1,D,,,,1.6,2.8,5.2,1.5,3.25,6.5,1.6,2.95,5.75,1565.72,1510.35
I2,02/09/01,Siena,Vicenza,2,4,A,2,1,H,,,,2.5,2.5,2.7,2.7,2.5,2.8,2.6,2.6,2.7,1471.01,1543.96
I2,03/09/01,Palermo,Cagliari,0,0,D,0,0,D,,,,2.4,2.5,2.8,,,,2.35,2.55,3.1,1473.88,1466.45
I2,09/09/01,Ancona,Siena,0,0,D,0,0,D,,,,1.65,2.6,5.2,,,,1.65,2.85,5.5,1492.56,1457.54
I2,09/09/01,Cagliari,Bari,1,2,A,1,2,A,,,,1.9,2.6,3.7,,,,1.9,2.75,4.0,1470.2,1437.6
I2,09/09/01,Cosenza,Ternana,2,2,D,2,0,H,,,,2.3,2.4,3.1,,,,2.3,2.5,3.3,1515.59,1551.45
I2,09/09/01,Empoli,Messina,2,0,H,0,0,D,,,,1.55,2.8,5.5,,,,1.45,3.25,7.0,1580.3,1481.97
I2,09/09/01,Genoa,Como,2,1,H,1,1,D,,,,1.6,2.8,4.9,,,,1.55,3.0,6.5,1518.2,1470.17
I2,09/09/01,Palermo,Pistoiese,1,0,H,1,0,H,,,,1.8,2.6,4.0,,,,1.75,2.75,5.0,1470.13,1432.82
I2,09/09/01,Salernitana,Crotone,0,0,D,0,0,D,,,,1.6,2.8,4.9,,,,1.55,3.1,6.0,1467.26,1465.16
I2,09/09/01,Vicenza,Cittadella,2,1,H,1,0,H,,,,1.4,3.2,6.5,,,,1.35,3.75,7.5,1557.43,1451.43
I2,10/09/01,Modena,Napoli,4,1,H,2,1,H,,,,2.3,2.6,2.8,,,,2.3,2.65,3.1,1503.61,1560.82
I2,10/09/01,Reggina,Sampdoria,2,0,H,1,0,H,,,,2.0,2.5,3.6,,,,1.9,2.75,4.0,1573.71,1560.48
I2,16/09/01,Como,Salernitana,1,0,H,1,0,H,,,,2.3,2.5,2.9,,,,2.35,2.65,3.0,1462.7,1463.69
I2,16/09/01,Crotone,Cagliari,4,2,H,2,1,H,,,,2.4,2.4,2.9,,,,2.4,2.5,3.1,1468.73,1453.15
I2,16/09/01,Messina,Ancona,1,1,D,0,0,D,,,,2.2,2.4,3.3,,,,2.15,2.5,3.65,1475.92,1487.93
I2,16/09/01,Pistoiese,Cosenza,0,1,A,0,1,A,,,,2.3,2.4,3.0,,,,2.3,2.5,3.3,1425.02,1513.31
I2,16/09/01,Sampdoria,Empoli,0,2,A,0,2,A,,,,2.1,2.5,3.4,,,,2.0,2.7,3.7,1551.92,1586.35
I2,16/09/01,Siena,Genoa,0,1,A,0,1,A,,,,2.6,2.5,2.6,,,,2.5,2.5,2.95,1462.17,1525.67
I2,16/09/01,Ternana,Modena,0,0,D,0,0,D,,,,1.7,2.7,4.4,,,,1.7,2.85,5.0,1553.73,1514.58
I2,17/09/01,Bari,Palermo,2,0,H,1,0,H,,,,1.7,2.7,4.4,,,,1.6,2.9,6.0,1454.65,1477.93
I2,17/09/01,Cittadella,Reggina,0,2,A,0,0,D,,,,,,,,,,2.65,2.6,2.65,1445.58,1582.27
I2,23/09/01,Ancona,Crotone,1,0,H,1,0,H,,,,1.8,2.6,4.0,,,,1.8,2.65,4.75,1491.03,1477.22
I2,23/09/01,Cosenza,Como,1,4,A,0,0,D,,,,1.8,2.5,4.2,,,,1.75,2.7,5.0,1526.23,1471.73
I2,23/09/01,Empoli,Napoli,1,0,H,0,0,D,,,,1.8,2.5,4.2,,,,1.7,3.0,4.5,1601.18,1549.85
I2,23/09/01,Genoa,Messina,3,0,H,3,0,H,,,,1.45,3.0,6.0,,,,1.5,3.25,6.0,1539.48,1472.82
I2,23/09/01,Modena,Siena,2,2,D,1,2,A,,,,1.7,2.7,4.4,,,,1.65,2.8,5.5,1519.33,1448.36
I2,23/09/01,Palermo,Cittadella,3,1,H,1,0,H,,,,1.8,2.6,4.0,,,,1.7,3.0,4.5,1468.15,1434.4
I2,23/09/01,Reggina,Bari,0,0,D,0,0,D,,,,1.8,2.6,4.0,,,,1.85,2.6,4.6,1593.45,1464.43
I2,23/09/01,Salernitana,Pistoiese,2,1,H,1,0,H,,,,1.5,3.0,4.5,,,,1.45,3.3,6.75,1454.66,1412.1
I2,23/09/01,Vicenza,Ternana,1,1,D,0,0,D,,,,1.85,2.4,4.4,,,,1.75,2.65,5.2,1563.28,1548.98
I2,24/09/01,Cagliari,Sampdoria,0,2,A,0,0,D,,,,2.1,2.5,3.3,,,,2.0,2.65,3.8,1444.66,1537.09
I2,28/09/01,Ternana,Genoa,0,0,D,0,0,D,,,,2.1,2.5,3.3,,,,2.1,2.6,3.6,1552.95,1546.41
I2,30/09/01,Bari,Crotone,0,2,A,0,1,A,,,,1.6,2.8,4.8,1.5,3.2,7.0,1.6,3.0,5.7,1471.65,1468.67
I2,30/09/01,Cittadella,Empoli,2,1,H,1,0,H,,,,2.8,2.6,2.3,3.1,2.7,2.3,3.2,2.65,2.25,1426.49,1608.56
I2,30/09/01,Como,Ancona,1,0,H,1,0,H,,,,2.1,2.5,3.3,2.0,2.62,4.0,2.0,2.6,4.0,1489.45,1499.58
