Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
N1,17/08/01,Twente,Waalwijk,1,0,H,1,0,H,,,,1.8,3.0,3.5,,,,1.83,3.4,3.5,1.8,3.5,3.4,1552.22,1604.47
N1,18/08/01,Graafschap,AZ Alkmaar,3,0,H,2,0,H,,,,2.0,3.0,2.9,,,,2.2,3.25,2.75,2.25,3.3,2.55,1439.2,1482.51
N1,18/08/01,Den Bosch,Heerenveen,0,0,D,0,0,D,,,,2.8,3.0,2.1,,,,2.62,3.25,2.3,2.55,3.3,2.25,1465.63,1609.35
N1,18/08/01,Groningen,PSV Eindhoven,2,2,D,1,0,H,,,,5.0,3.5,1.45,,,,6.0,3.75,1.44,4.4,3.5,1.6,1461.27,1842.22
N1,18/08/01,NAC Breda,Utrecht,1,0,H,0,0,D,,,,2.2,2.9,2.7,,,,2.25,3.25,2.7,2.25,3.3,2.55,1556.11,1624.79
N1,19/08/01,Ajax,Roda JC,1,1,D,0,0,D,,,,1.6,3.3,4.0,,,,1.57,3.5,5.0,1.55,3.6,4.6,1650.67,1641.44
N1,19/08/01,Feyenoord,Sparta,5,0,H,2,0,H,,,,1.25,4.3,8.0,,,,1.25,5.0,8.0,1.3,4.2,7.5,1661.48,1399.51
N1,19/08/01,For Sittard,Vitesse,0,0,D,0,0,D,,,,3.3,3.0,1.85,,,,3.1,3.3,2.0,2.65,3.5,2.1,1482.3,1660.22
N1,19/08/01,Willem II,Nijmegen,3,1,H,3,0,H,,,,1.6,3.3,4.0,,,,1.67,3.4,4.33,1.55,3.6,4.6,1582.87,1466.55
N1,21/08/01,NAC Breda,Twente,3,3,D,1,0,H,,,,2.2,3.0,2.6,,,,,,,2.1,3.3,2.8,1567.49,1563.01
N1,22/08/01,For Sittard,Graafschap,2,1,H,2,0,H,,,,2.1,3.0,2.8,,,,,,,2.2,3.35,2.6,1485.06,1449.68
N1,22/08/01,Groningen,Willem II,1,0,H,0,0,D,,,,2.35,3.0,2.35,,,,,,,2.35,3.3,2.45,1469.63,1588.46
N1,22/08/01,Nijmegen,Waalwijk,1,0,H,1,0,H,,,,2.3,3.0,2.4,,,,,,,2.35,3.3,2.45,1460.96,1593.68
N1,22/08/01,PSV Eindhoven,Den Bosch,3,2,H,1,1,D,,,,1.1,7.0,14.0,,,,,,,1.15,5.5,12.0,1833.86,1467.19
N1,22/08/01,Roda JC,Feyenoord,0,2,A,0,1,A,,,,2.2,3.0,2.6,,,,,,,2.5,3.3,2.3,1645.25,1664.25
N1,22/08/01,Sparta,Utrecht,3,1,H,1,0,H,,,,2.35,3.0,2.35,,,,,,,2.6,3.35,2.2,1396.74,1613.41
N1,22/08/01,Vitesse,AZ Alkmaar,1,0,H,0,0,D,,,,1.4,3.6,5.5,,,,1.45,3.8,5.5,,,,1657.46,1472.03
N1,24/08/01,Heerenveen,NAC Breda,5,0,H,2,0,H,,,,1.7,3.1,3.8,,,,,,,1.7,3.5,3.8,1607.79,1563.84
N1,25/08/01,AZ Alkmaar,Sparta,3,0,H,1,0,H,,,,1.6,3.3,4.0,,,,1.73,3.4,4.0,1.65,3.5,4.1,1467.98,1413.29
N1,25/08/01,Graafschap,Nijmegen,1,1,D,1,0,H,,,,2.1,2.9,2.9,,,,2.1,3.2,3.0,1.85,3.45,3.25,1441.82,1474.63
N1,25/08/01,Twente,Roda JC,3,0,H,2,0,H,,,,2.3,2.9,2.5,,,,2.25,3.2,2.7,2.25,3.3,2.55,1566.66,1629.89
N1,25/08/01,Vitesse,Utrecht,1,0,H,0,0,D,,,,1.7,3.1,3.8,,,,1.73,3.4,4.0,1.7,3.5,3.8,1661.51,1596.86
N1,25/08/01,Willem II,PSV Eindhoven,3,1,H,1,0,H,,,,3.3,3.0,1.85,,,,3.5,3.5,1.8,3.6,3.4,1.8,1575.28,1835.45
N1,26/08/01,Den Bosch,For Sittard,4,0,H,2,0,H,,,,2.1,2.9,2.9,,,,2.0,3.2,3.2,1.9,3.4,3.15,1465.6,1492.92
N1,26/08/01,Feyenoord,Ajax,1,2,A,0,0,D,,,,1.9,2.9,3.2,,,,1.91,3.3,3.3,1.9,3.4,3.3,1679.61,1646.86
N1,26/08/01,Waalwijk,Groningen,4,0,H,4,0,H,,,,1.6,3.3,4.0,,,,1.67,3.4,4.33,1.7,3.5,3.8,1580.01,1482.81
N1,07/09/01,Heerenveen,Vitesse,1,1,D,1,0,H,,,,2.3,2.9,2.5,2.2,3.3,2.75,2.38,3.25,2.5,2.2,3.35,2.6,1615.39,1668.49
N1,08/09/01,AZ Alkmaar,NAC Breda,2,1,H,0,0,D,,,,1.9,2.9,3.2,2.1,3.25,2.9,2.1,3.3,2.88,1.95,3.4,3.0,1475.26,1556.24
N1,08/09/01,Nijmegen,Feyenoord,0,3,A,0,1,A,,,,3.5,3.0,1.8,3.6,3.4,1.8,3.6,3.4,1.8,3.9,3.4,1.7,1477.02,1662.55
N1,08/09/01,PSV Eindhoven,For Sittard,3,0,H,0,0,D,,,,1.2,4.7,9.0,1.22,5.0,9.0,1.2,5.5,9.0,1.2,5.2,9.0,1817.56,1483.0
N1,08/09/01,Roda JC,Graafschap,0,1,A,0,0,D,,,,1.55,3.3,4.5,1.44,3.75,6.0,1.44,3.75,6.0,1.45,3.75,5.5,1618.71,1439.43
N1,08/09/01,Twente,Ajax,0,2,A,0,1,A,,,,2.4,2.9,2.4,2.62,3.3,2.25,2.62,3.1,2.38,2.7,3.3,2.15,1577.84,1663.92
N1,09/09/01,Sparta,Waalwijk,0,0,D,0,0,D,,,,2.3,3.1,2.3,2.4,3.4,2.4,2.5,3.2,2.4,2.3,3.3,2.5,1406.01,1586.09
N1,09/09/01,Utrecht,Groningen,3,1,H,1,1,D,,,,1.6,3.3,4.0,1.7,3.4,4.2,1.73,3.4,4.0,1.55,3.85,4.25,1589.88,1476.73
N1,09/09/01,Willem II,Den Bosch,1,1,D,1,0,H,,,,1.4,3.6,5.5,1.5,3.6,5.5,1.5,3.6,5.5,1.55,3.75,4.4,1593.17,1475.52
N1,14/09/01,For Sittard,Willem II,1,2,A,0,0,D,,,,2.35,3.0,2.35,2.62,3.3,2.25,,,,2.4,3.3,2.35,1481.11,1586.22
N1,15/09/01,Feyenoord,Graafschap,2,0,H,2,0,H,,,,1.3,4.0,7.0,1.25,4.8,8.5,1.25,5.0,8.0,1.25,5.4,6.5,1672.03,1460.26
N1,15/09/01,NAC Breda,PSV Eindhoven,2,0,H,1,0,H,,,,3.9,3.2,1.65,4.0,3.25,1.75,4.0,3.4,1.73,3.75,3.55,1.7,1544.42,1819.45
N1,15/09/01,Vitesse,Sparta,1,1,D,1,0,H,,,,1.25,4.3,8.0,1.36,3.75,8.0,1.3,4.33,8.0,1.35,4.2,6.3,1670.17,1408.84
N1,16/09/01,Ajax,AZ Alkmaar,1,0,H,0,0,D,,,,1.25,4.3,8.0,1.25,4.75,8.5,1.3,4.33,8.0,1.35,4.2,6.3,1676.92,1487.08
N1,16/09/01,Den Bosch,Nijmegen,2,1,H,0,1,A,,,,1.8,3.0,3.5,2.0,3.2,3.2,2.1,3.2,3.0,1.9,3.4,3.15,1482.47,1467.54
N1,16/09/01,Groningen,Twente,3,0,H,2,0,H,,,,2.8,3.0,2.1,2.4,3.4,2.4,2.38,3.25,2.5,2.3,3.35,2.45,1471.06,1564.84
N1,16/09/01,Waalwijk,Heerenveen,2,1,H,1,1,D,,,,2.0,2.9,3.0,2.25,3.2,2.7,2.2,3.4,2.62,2.1,3.35,2.75,1583.26,1613.71
N1,16/09/01,Utrecht,Roda JC,4,1,H,4,1,H,,,,2.0,3.0,2.9,2.1,3.25,2.9,2.1,3.3,2.88,2.0,3.4,2.9,1595.55,1597.88
N1,21/09/01,Roda JC,Den Bosch,4,1,H,2,0,H,,,,1.6,3.3,4.0,1.8,3.5,3.5,,,,1.7,3.5,3.8,1588.8,1490.98
N1,22/09/01,Heerenveen,PSV Eindhoven,4,1,H,2,1,H,,,,2.8,3.0,2.1,2.75,3.25,2.2,,,,2.8,3.4,2.1,1603.68,1801.14
N1,22/09/01,Waalwijk,For Sittard,1,0,H,0,0,D,,,,1.45,3.5,5.0,1.5,3.6,5.5,,,,1.5,3.5,5.5,1593.29,1468.79
N1,23/09/01,Ajax,Sparta,3,0,H,3,0,H,,,,1.25,4.3,8.0,1.25,4.6,9.0,,,,1.25,4.5,9.0,1680.89,1418.56
N1,23/09/01,AZ Alkmaar,Utrecht,1,0,H,0,0,D,,,,2.1,2.9,2.9,1.91,3.4,3.25,,,,2.1,3.25,2.85,1483.11,1604.63
N1,23/09/01,Graafschap,Vitesse,0,2,A,0,1,A,,,,2.9,3.0,2.0,2.6,3.1,2.38,,,,2.5,3.25,2.35,1456.7,1660.45
N1,23/09/01,Nijmegen,Groningen,1,0,H,0,0,D,,,,2.0,2.9,3.0,2.0,3.25,3.2,,,,1.9,3.4,3.2,1459.03,1483.34
N1,28/09/01,Graafschap,NAC Breda,4,2,H,1,2,A,,,,1.9,3.0,3.1,2.1,3.3,2.9,,,,2.1,3.4,2.75,1447.83,1562.73
N1,29/09/01,For Sittard,Nijmegen,2,2,D,1,0,H,,,,2.2,2.9,2.7,2.2,3.2,2.8,,,,2.35,3.3,2.45,1463.4,1468.85
N1,29/09/01,PSV Eindhoven,Vitesse,0,2,A,0,2,A,,,,1.6,3.2,4.2,1.62,3.5,4.5,,,,1.57,3.5,5.0,1785.22,1669.32
N1,29/09/01,Willem II,AZ Alkmaar,2,2,D,0,1,A,,,,1.5,3.4,4.7,1.67,3.4,4.33,,,,1.75,3.5,3.6,1598.54,1496.38
N1,30/09/01,Den Bosch,Feyenoord,0,0,D,0,0,D,,,,4.0,3.3,1.6,4.0,3.5,1.7,4.33,3.4,1.67,3.5,3.4,1.8,1484.92,1675.59
N1,30/09/01,Groningen,Ajax,1,4,A,0,2,A,,,,3.2,3.1,1.85,3.75,3.3,1.8,3.6,3.4,1.8,3.5,3.4,1.8,1473.52,1683.65
N1,30/09/01,Roda JC,Heerenveen,0,2,A,0,1,A,,,,1.8,3.0,3.5,2.1,3.2,3.0,2.25,3.2,2.7,2.2,3.4,2.6,1594.86,1619.6
N1,30/09/01,Sparta,Twente,1,1,D,0,1,A,,,,2.7,3.1,2.1,2.4,3.4,2.4,2.4,3.4,2.4,2.35,3.25,2.5,1415.8,1552.56
N1,30/09/01,Utrecht,Waalwijk,2,1,H,1,0,H,,,,2.0,3.0,2.9,1.8,3.4,3.6,1.91,3.4,3.25,1.9,3.4,3.2,1591.36,1598.68
N1,07/10/01,Sparta,Den Bosch,1,1,D,0,1,A,,,,1.9,3.0,3.1,2.0,3.3,3.1,2.0,3.4,3.0,,,,1417.12,1488.11
N1,09/10/01,AZ Alkmaar,PSV Eindhoven,1,1,D,1,0,H,,,,3.1,3.0,1.9,,,,,,,2.8,3.3,2.1,1502.93,1765.82
N1,09/10/01,NAC Breda,Roda JC,2,1,H,2,1,H,,,,2.1,2.9,2.9,,,,,,,2.1,3.3,2.8,1549.69,1579.69
N1,09/10/01,Waalwijk,Graafschap,2,0,H,1,0,H,,,,1.65,3.2,3.9,,,,,,,1.7,3.5,3.8,1589.44,1460.87
N1,09/10/01,Twente,Willem II,0,0,D,0,0,D,,,,2.0,3.0,2.9,,,,,,,2.1,3.3,2.8,1551.24,1591.99
N1,10/10/01,Ajax,Nijmegen,5,0,H,4,0,H,,,,1.25,4.3,8.0,,,,,,,1.25,4.8,8.0,1692.32,1472.17
N1,10/10/01,Heerenveen,Utrecht,1,2,A,1,1,D,,,,1.6,3.3,4.0,,,,,,,1.75,3.4,3.75,1634.77,1600.6
