Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
P1,10/08/01,Boavista,Beira Mar,3,0,H,1,0,H,,,,1.25,4.3,8.0,,,,1.36,4.0,7.0,1.35,3.8,7.5,1650.04,1459.09
P1,11/08/01,Sp Braga,Leiria,0,0,D,0,0,D,,,,1.75,3.1,3.6,,,,1.73,3.2,4.33,1.75,3.2,3.9,1491.85,1539.58
P1,11/08/01,Varzim,Benfica,2,2,D,0,1,A,,,,3.8,3.1,1.7,,,,4.5,3.25,1.67,4.2,3.2,1.7,1400.0,1522.79
P1,12/08/01,Pacos Ferreira,Belenenses,3,1,H,1,0,H,,,,2.0,2.9,3.0,,,,2.2,2.88,3.1,2.1,3.1,2.95,1453.29,1453.0
P1,12/08/01,Salgueiros,Farense,0,2,A,0,1,A,,,,1.85,2.9,3.4,,,,1.8,3.2,3.8,1.75,3.15,4.0,1389.82,1381.66
P1,12/08/01,Sp Lisbon,Porto,1,0,H,0,0,D,,,,2.1,2.9,2.9,,,,2.3,3.0,2.8,2.35,3.0,2.65,1583.73,1688.8
P1,12/08/01,Guimaraes,Gil Vicente,0,2,A,0,1,A,,,,1.8,2.9,3.6,,,,1.8,3.25,3.75,1.7,3.15,4.3,1409.95,1452.31
P1,13/08/01,Maritimo,Setubal,3,1,H,2,0,H,,,,1.6,3.2,4.2,,,,1.62,3.25,5.0,1.6,3.3,4.75,1440.1,1400.01
P1,18/08/01,Belenenses,Sp Lisbon,3,0,H,2,0,H,,,,3.0,2.9,2.0,,,,3.2,3.0,2.1,2.55,3.2,2.3,1444.01,1596.41
P1,18/08/01,Gil Vicente,Sp Braga,2,1,H,2,1,H,,,,2.2,2.9,2.7,,,,2.38,3.1,2.62,2.3,3.1,2.6,1466.86,1489.98
P1,19/08/01,Alverca,Pacos Ferreira,1,0,H,1,0,H,,,,2.1,2.9,2.9,,,,2.1,3.1,3.1,2.0,3.25,3.0,1429.9,1462.28
P1,19/08/01,Beira Mar,Maritimo,2,0,H,2,0,H,,,,1.8,3.0,3.5,,,,1.91,3.2,3.5,1.8,3.25,3.6,1455.15,1447.82
P1,19/08/01,Porto,Boavista,4,1,H,1,0,H,,,,1.9,2.9,3.2,,,,1.83,3.2,3.75,1.72,3.25,4.2,1676.12,1653.98
P1,19/08/01,Benfica,Salgueiros,2,0,H,0,0,D,,,,1.2,4.7,9.0,,,,1.33,4.33,7.0,1.35,3.8,7.5,1521.97,1373.55
P1,19/08/01,Leiria,Santa Clara,2,2,D,2,1,H,,,,1.5,3.4,4.7,,,,1.5,3.4,6.0,1.45,3.75,5.5,1541.45,1380.29
P1,19/08/01,Setubal,Varzim,2,0,H,0,0,D,,,,1.7,3.1,3.8,,,,1.91,3.2,3.5,1.85,3.25,3.4,1392.29,1400.82
