Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SC2,04/08/01,Berwick,Alloa,0.0,4.0,A,0.0,1.0,A,649.0,C.Murray,14.0,10.0,7.0,8.0,0.0,0.0,6.0,4.0,22.0,22.0,0.0,1.0,1.0,2.0,0.0,0.0,10.0,20.0,,,,2.2,3.5,2.62,2.25,3.6,2.5,2.37,3.5,2.37,1245.65,1238.26
SC2,04/08/01,Forfar,Clydebank,1.0,2.0,A,1.0,1.0,D,460.0,I. G. Frickleton,5.0,5.0,3.0,3.0,0.0,0.0,6.0,9.0,13.0,15.0,3.0,3.0,2.0,2.0,0.0,0.0,20.0,20.0,,,,2.25,3.5,2.5,2.38,3.25,2.5,2.25,3.5,2.5,1179.85,1179.22
SC2,04/08/01,Hamilton,Queen of Sth,1.0,1.0,D,0.0,1.0,A,3192.0,E. D. Mack,14.0,4.0,4.0,2.0,0.0,0.0,6.0,4.0,12.0,13.0,0.0,6.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,1.73,3.5,3.75,1.8,3.6,3.4,1.9,3.4,3.25,1307.75,1173.92
SC2,04/08/01,Morton,Stenhousemuir,4.0,1.0,H,1.0,0.0,H,2034.0,Colin Hardie,11.0,10.0,6.0,6.0,1.0,1.0,7.0,3.0,6.0,18.0,4.0,7.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,1.91,3.5,3.2,1.73,3.75,3.6,2.0,3.75,2.8,1256.53,1144.35
SC2,04/08/01,Stranraer,Cowdenbeath,3.0,0.0,H,1.0,0.0,H,682.0,D.Branes,15.0,10.0,4.0,2.0,1.0,0.0,4.0,7.0,11.0,13.0,6.0,0.0,1.0,2.0,0.0,0.0,10.0,20.0,,,,1.91,3.5,3.2,1.8,3.6,3.4,1.8,3.6,3.4,1223.72,1266.16
SC2,11/08/01,Alloa,Morton,1.0,1.0,D,1.0,0.0,H,972.0,B. W. Cassidy,11.0,11.0,7.0,7.0,1.0,0.0,11.0,8.0,16.0,10.0,7.0,2.0,2.0,1.0,0.0,0.0,20.0,10.0,,,,2.0,3.6,2.87,1.8,3.6,3.4,1.83,3.6,3.3,1254.51,1262.22
SC2,11/08/01,Clydebank,Hamilton,3.0,2.0,H,1.0,2.0,A,353.0,C Thompson,7.0,8.0,6.0,5.0,0.0,0.0,6.0,9.0,13.0,19.0,5.0,2.0,0.0,3.0,0.0,1.0,0.0,55.0,,,,2.2,3.25,2.75,2.2,3.5,2.6,2.2,3.5,2.62,1195.24,1300.41
SC2,11/08/01,Cowdenbeath,Berwick,2.0,1.0,H,1.0,1.0,D,322.0,G. P. Mitchell,11.0,11.0,4.0,1.0,0.0,0.0,5.0,7.0,15.0,12.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,10.0,,,,2.25,3.5,2.5,2.5,3.6,2.25,2.5,3.3,2.37,1255.71,1229.4
SC2,11/08/01,Queen of Sth,Forfar,1.0,2.0,A,0.0,1.0,A,1149.0,C Thompson,15.0,6.0,6.0,4.0,0.0,1.0,10.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.91,3.5,3.2,1.8,3.6,3.4,1.8,3.4,3.6,1181.26,1163.83
SC2,11/08/01,Stenhousemuir,Stranraer,0.0,0.0,D,0.0,0.0,D,412.0,J Gilmar,10.0,8.0,4.0,2.0,1.0,0.0,8.0,6.0,22.0,24.0,3.0,5.0,2.0,2.0,0.0,0.0,20.0,20.0,,,,2.87,3.6,2.0,2.6,3.5,2.2,2.8,3.4,2.1,1138.66,1234.17
SC2,18/08/01,Berwick,Clydebank,0.0,2.0,A,0.0,1.0,A,420.0,T. Brown,13.0,17.0,5.0,9.0,0.0,1.0,7.0,0.0,17.0,18.0,5.0,3.0,1.0,2.0,0.0,0.0,10.0,20.0,,,,2.37,3.5,2.37,2.38,3.5,2.38,2.37,3.5,2.37,1221.25,1207.93
