Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SP1,25/08/01,Valencia,Real Madrid,1,0,H,1,0,H,,,,2.4,2.9,2.4,,,,,,,2.6,3.0,2.5,2.75,3.1,2.3,1732.73,1826.91
SP1,26/08/01,La Coruna,Valladolid,4,0,H,1,0,H,,,,1.35,3.8,6.2,1.25,4.5,10.0,,,,1.33,4.33,7.0,1.3,4.2,8.5,1788.25,1638.17
SP1,26/08/01,Espanol,Zaragoza,2,1,H,1,1,D,,,,1.85,2.9,3.4,1.73,3.4,4.0,,,,1.91,3.2,3.5,1.83,3.4,3.5,1661.29,1650.8
SP1,26/08/01,Malaga,Betis,3,2,H,1,1,D,,,,1.7,3.1,3.8,1.8,3.2,4.0,,,,1.83,3.2,3.75,1.8,3.4,3.6,1700.16,1654.04
SP1,26/08/01,Mallorca,Las Palmas,0,3,A,0,1,A,,,,1.45,3.5,5.0,1.5,3.4,6.0,,,,1.44,3.6,6.5,1.44,3.5,7.0,1791.63,1625.55
SP1,26/08/01,Osasuna,Celta,0,3,A,0,1,A,,,,2.4,2.9,2.4,2.6,3.2,2.37,,,,2.6,3.2,2.38,,,,1632.94,1737.22
SP1,26/08/01,Sociedad,Ath Bilbao,1,3,A,1,1,D,,,,2.1,2.9,2.9,2.1,3.2,3.0,,,,2.2,3.0,3.0,2.2,3.2,2.8,1653.52,1612.68
SP1,26/08/01,Vallecano,Villarreal,1,2,A,1,2,A,,,,2.1,2.9,2.9,2.2,3.25,2.75,,,,2.2,3.2,2.8,2.25,3.2,2.75,1606.23,1683.13
SP1,26/08/01,Sevilla,Barcelona,1,2,A,0,1,A,,,,3.2,2.9,1.9,3.4,3.25,1.91,,,,3.75,3.25,1.8,3.75,3.2,1.83,1651.81,1752.51
SP1,26/08/01,Tenerife,Alaves,0,2,A,0,1,A,,,,2.1,2.9,2.9,2.4,3.25,2.5,,,,2.38,3.2,2.6,2.25,3.2,2.75,1612.1,1645.18
SP1,08/09/01,Ath Bilbao,Mallorca,0,1,A,0,0,D,,,,1.9,2.9,3.2,2.1,3.2,3.0,2.1,3.1,3.1,2.1,3.2,3.0,2.0,3.2,3.2,1629.99,1771.07
SP1,08/09/01,Las Palmas,La Coruna,0,1,A,0,0,D,,,,2.4,2.9,2.4,3.0,3.0,2.2,2.9,3.0,2.25,2.88,3.0,2.25,2.8,3.0,2.3,1646.11,1793.04
SP1,08/09/01,Real Madrid,Malaga,1,1,D,1,0,H,,,,1.25,4.3,8.0,1.3,4.0,9.0,1.3,4.33,8.0,1.33,4.33,7.0,1.25,4.5,10.0,1814.62,1707.69
SP1,08/09/01,Villarreal,Osasuna,3,0,H,1,0,H,,,,1.55,3.3,4.5,1.5,3.4,6.0,1.5,3.4,6.0,1.5,3.4,6.0,,,,1696.46,1620.59
SP1,09/09/01,Alaves,Sociedad,2,0,H,1,0,H,,,,1.8,3.0,3.5,1.73,3.2,4.33,1.7,3.25,4.33,1.8,3.0,4.33,1.8,3.3,3.75,1660.06,1636.21
SP1,09/09/01,Barcelona,Vallecano,1,1,D,0,0,D,,,,1.2,4.7,9.0,1.25,4.5,10.0,1.3,4.33,8.0,1.29,4.5,8.0,1.28,4.5,8.0,1764.98,1592.9
SP1,09/09/01,Betis,Espanol,2,0,H,2,0,H,,,,2.0,2.9,3.0,2.37,3.2,2.6,2.2,3.0,3.0,2.38,3.2,2.62,2.2,3.0,3.0,1646.51,1669.94
SP1,09/09/01,Celta,Tenerife,3,0,H,2,0,H,,,,1.4,3.6,5.5,1.36,3.75,8.0,1.36,3.8,7.5,1.4,3.75,7.0,1.36,3.75,8.0,1749.57,1597.22
SP1,09/09/01,Valladolid,Valencia,1,1,D,1,0,H,,,,2.4,2.9,2.4,2.8,3.2,2.2,3.0,3.0,2.2,2.8,3.2,2.2,2.8,3.1,2.25,1633.38,1745.02
SP1,09/09/01,Zaragoza,Sevilla,1,1,D,0,0,D,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.7,3.25,4.33,1.67,3.25,4.5,1.61,3.3,5.0,1642.15,1639.34
SP1,15/09/01,Betis,Real Madrid,3,1,H,1,1,D,,,,3.0,2.9,2.0,4.0,3.2,1.8,3.5,3.2,1.91,3.75,3.2,1.83,3.4,3.25,1.9,1656.3,1807.95
SP1,15/09/01,La Coruna,Ath Bilbao,1,2,A,0,1,A,,,,1.45,3.5,5.0,1.3,4.0,9.0,1.36,3.75,8.0,1.4,3.75,7.0,1.36,3.75,8.0,1803.86,1618.96
SP1,15/09/01,Mallorca,Alaves,0,0,D,0,0,D,,,,1.85,2.9,3.4,1.8,3.2,4.0,1.73,3.2,4.33,1.67,3.25,4.5,1.72,3.2,4.33,1782.1,1668.28
SP1,15/09/01,Osasuna,Barcelona,0,0,D,0,0,D,,,,3.6,3.1,1.75,4.5,3.25,1.67,4.0,3.4,1.73,3.75,3.25,1.8,,,,1613.93,1756.8
SP1,16/09/01,Espanol,Sevilla,2,3,A,1,1,D,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.67,3.25,4.6,1.67,3.25,4.5,1.61,3.3,5.0,1660.15,1642.93
SP1,16/09/01,Malaga,Valladolid,1,2,A,0,1,A,,,,1.7,3.1,3.8,1.57,3.25,5.5,1.62,3.3,5.0,1.67,3.25,4.5,1.61,3.3,5.0,1714.36,1633.8
SP1,16/09/01,Sociedad,Celta,0,0,D,0,0,D,,,,2.4,2.9,2.4,2.75,3.2,2.25,3.0,3.2,2.1,2.8,3.2,2.2,2.7,3.1,2.3,1627.99,1754.31
