Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SP2,25/08/01,Ath Madrid,Jaen,2,0,H,0,0,D,,,,1.3,4.0,7.0,1.44,3.5,7.0,1.4,3.6,7.0,1594.73,1501.09
SP2,25/08/01,Poli Ejido,Burgos,0,1,A,0,0,D,,,,2.0,2.9,3.0,,,,2.1,3.3,2.8,1480.0,1480.0
SP2,25/08/01,Elche,Ferrol,0,0,D,0,0,D,,,,2.1,2.8,3.0,2.2,3.0,3.0,2.2,2.75,3.15,1441.29,1475.23
SP2,25/08/01,Gimnastic,Santander,0,0,D,0,0,D,,,,2.7,2.9,2.2,,,,,,,1480.0,1544.82
SP2,26/08/01,Albacete,Levante,3,0,H,0,0,D,,,,1.65,2.8,4.4,1.8,3.1,4.0,2.0,2.8,3.6,1520.43,1510.35
SP2,26/08/01,Badajoz,Recreativo,1,0,H,0,0,D,,,,2.3,2.6,2.8,2.2,2.88,3.1,2.5,2.7,2.75,1446.52,1503.55
SP2,26/08/01,Cordoba,Leganes,1,1,D,0,1,A,,,,1.75,2.9,3.8,1.8,3.1,4.0,1.9,3.0,3.6,1468.14,1440.24
SP2,26/08/01,Murcia,Eibar,0,0,D,0,0,D,,,,1.8,2.8,3.7,1.91,3.0,3.75,2.0,2.85,3.5,1443.52,1439.36
SP2,26/08/01,Numancia,Salamanca,2,2,D,2,0,H,,,,1.7,2.9,4.0,1.73,3.2,4.33,1.7,3.1,4.5,1529.54,1460.25
SP2,26/08/01,Oviedo,Extremadura,1,1,D,0,0,D,,,,1.65,2.9,4.2,1.67,3.25,4.5,1.65,3.2,4.6,1534.33,1490.56
SP2,26/08/01,Xerez,Sp Gijon,1,0,H,0,0,D,,,,2.6,2.8,2.3,,,,2.55,2.85,2.55,1480.0,1511.5
SP2,01/09/01,Eibar,Ath Madrid,0,3,A,0,2,A,,,,3.0,2.8,2.1,3.25,2.9,2.1,,,,1443.0,1600.9
SP2,01/09/01,Ferrol,Murcia,2,0,H,1,0,H,,,,2.1,2.8,3.0,2.0,3.0,3.4,2.1,2.75,3.4,1477.58,1439.88
SP2,02/09/01,Burgos,Gimnastic,1,0,H,1,0,H,,,,1.8,2.9,3.6,1.91,3.1,3.6,1.8,2.9,4.2,1496.0,1478.74
SP2,02/09/01,Extremadura,Xerez,0,1,A,0,1,A,,,,1.6,3.0,4.4,1.62,3.25,5.0,1.75,2.95,4.5,1495.46,1490.07
SP2,02/09/01,Jaen,Poli Ejido,3,1,H,1,0,H,,,,1.6,3.0,4.4,,,,1.7,3.1,4.4,1494.92,1464.0
SP2,02/09/01,Leganes,Elche,0,0,D,0,0,D,,,,1.9,2.8,3.3,1.91,3.0,3.75,2.1,2.75,3.4,1444.64,1438.94
SP2,02/09/01,Levante,Cordoba,3,1,H,2,1,H,,,,1.9,2.8,3.3,1.91,3.0,3.75,2.0,2.85,3.5,1501.68,1463.74
SP2,02/09/01,Santander,Oviedo,1,1,D,1,0,H,,,,1.85,2.9,3.4,1.91,3.1,3.6,1.9,2.9,3.75,1546.08,1529.43
SP2,02/09/01,Recreativo,Numancia,1,0,H,0,0,D,,,,2.3,2.7,2.7,2.25,2.8,3.1,2.35,2.7,2.95,1492.59,1523.89
SP2,02/09/01,Salamanca,Albacete,2,0,H,2,0,H,,,,2.0,2.8,3.1,2.0,2.9,3.5,2.0,2.85,3.5,1465.9,1529.1
SP2,02/09/01,Sp Gijon,Badajoz,3,0,H,0,0,D,,,,1.75,2.9,3.8,1.73,3.2,4.33,1.8,2.9,4.2,1501.43,1457.48
SP2,08/09/01,Albacete,Recreativo,0,0,D,0,0,D,,,,1.8,2.9,3.7,1.91,3.2,3.5,1.9,2.9,3.75,1517.92,1502.65
SP2,08/09/01,Ath Madrid,Ferrol,1,1,D,0,1,A,,,,1.4,3.4,5.8,1.4,3.75,7.0,1.35,3.75,7.5,1611.34,1485.37
SP2,08/09/01,Elche,Levante,2,2,D,1,1,D,,,,2.2,2.8,2.8,2.25,3.0,2.88,2.25,2.8,3.0,1442.63,1509.46
SP2,08/09/01,Gimnastic,Jaen,0,2,A,0,0,D,,,,2.1,2.8,3.0,,,,2.4,2.8,2.75,1470.31,1502.92
SP2,08/09/01,Xerez,Badajoz,2,0,H,0,0,D,,,,,,,,,,,,,1506.25,1449.88
SP2,09/09/01,Cordoba,Salamanca,4,2,H,0,0,D,,,,2.3,2.8,2.6,2.25,2.88,3.0,2.2,2.9,2.95,1455.96,1477.08
