Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Unnamed: 25,Unnamed: 26,EloHome,EloAway
T1,10/08/01,Besiktas,Trabzonspor,1,2,A,0,1,A,,,,1.6,3.2,4.2,,,,1.67,3.4,4.33,1.6,3.5,4.4,,,1614.95,1545.47
T1,11/08/01,Fenerbahce,Samsunspor,3,0,H,2,0,H,,,,1.15,5.5,11.0,,,,1.25,4.5,10.0,1.25,4.5,8.5,,,1662.06,1454.22
T1,11/08/01,Genclerbirligi,Diyarbakirspor,4,4,D,1,3,A,,,,1.5,3.4,4.7,,,,1.5,3.6,5.5,1.5,3.6,5.1,,,1457.87,1400.0
T1,11/08/01,Goztep,Bursaspor,2,0,H,2,0,H,,,,2.1,3.0,2.6,,,,2.25,3.2,2.75,2.0,3.2,3.05,,,1355.48,1423.31
T1,11/08/01,Rizespor,Kocaelispor,0,0,D,0,0,D,,,,1.8,3.0,3.5,,,,1.8,3.25,3.75,2.0,3.2,3.05,,,1449.51,1463.7
T1,12/08/01,Antalyaspor,Ankaragucu,1,8,A,1,2,A,,,,2.2,3.0,2.6,,,,2.38,3.0,2.7,2.3,3.2,2.55,,,1382.39,1517.27
T1,12/08/01,Denizlispor,Yozgatspor,5,0,H,2,0,H,,,,1.8,3.0,3.5,,,,1.91,3.2,3.5,1.65,3.4,4.2,,,1457.86,1489.23
T1,12/08/01,Gaziantepspor,Galatasaray,1,1,D,1,1,D,,,,2.35,3.0,2.35,,,,2.7,3.0,2.38,2.45,3.1,2.45,,,1602.47,1678.59
T1,12/08/01,Istanbulspor,Malatyaspor,1,0,H,0,0,D,,,,1.6,3.3,4.0,,,,1.62,3.5,4.5,1.7,3.4,3.9,,,1429.59,1400.0
T1,17/08/01,Bursaspor,Besiktas,2,2,D,1,0,H,,,,3.1,3.0,1.9,,,,3.75,3.2,1.83,3.45,3.4,1.8,,,1411.96,1596.79
T1,18/08/01,Diyarbakirspor,Goztep,1,2,A,0,1,A,,,,2.0,3.0,2.9,,,,2.3,3.1,2.7,2.35,3.25,2.45,,,1405.32,1366.83
T1,18/08/01,Galatasaray,Denizlispor,1,0,H,0,0,D,,,,1.25,4.3,8.0,,,,1.29,4.5,8.0,1.3,4.0,8.5,,,1679.45,1467.92
T1,18/08/01,Kocaelispor,Antalyaspor,3,1,H,1,0,H,,,,1.45,3.5,5.0,,,,1.57,3.5,5.0,1.45,3.8,5.3,,,1466.73,1371.14
T1,18/08/01,Samsunspor,Genclerbirligi,2,2,D,1,1,D,,,,1.7,3.2,3.6,,,,1.83,3.2,3.75,,,,,,1450.59,1452.55
T1,19/08/01,Ankaragucu,Malatyaspor,6,0,H,1,0,H,,,,1.4,3.6,5.5,,,,1.4,3.75,7.0,1.45,3.75,5.5,,,1528.52,1391.96
