Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
D1,09/08/02,Dortmund,Hertha,2.0,2.0,D,2.0,1.0,H,,,,,,,,,,,,,,,,,,,1.72,3.2,4.33,1.75,1.98,,,1817.05,1781.81
D1,10/08/02,Cottbus,Leverkusen,1.0,1.0,D,0.0,0.0,D,3.0,3.2,2.1,3.29,3.21,2.2,3.1,3.0,2.1,3.0,3.4,2.0,2.88,3.2,2.2,3.0,3.1,2.2,3.3,3.1,2.0,1.7,1.96,,,1609.22,1810.42
D1,10/08/02,M'gladbach,Bayern Munich,0.0,0.0,D,0.0,0.0,D,4.0,3.5,1.727,4.2,3.5,1.86,4.0,3.2,1.75,3.5,3.4,1.833,3.6,3.2,1.91,4.333,3.25,1.727,3.8,3.2,1.83,1.82,1.94,,,1653.86,1848.48
D1,10/08/02,Nurnberg,Bochum,1.0,3.0,A,0.0,2.0,A,1.909,3.25,3.4,1.95,3.23,3.7,1.9,3.1,3.5,2.0,3.4,3.0,1.91,3.2,3.6,1.909,3.25,3.6,1.83,3.0,4.0,1.72,1.92,,,1614.63,1675.12
D1,10/08/02,Schalke 04,Wolfsburg,1.0,0.0,H,0.0,0.0,D,1.571,3.5,5.0,1.68,3.46,5.37,1.6,3.4,4.6,1.571,3.5,5.0,1.53,3.5,5.5,1.571,3.5,5.5,1.57,3.25,5.5,1.65,1.95,,,1770.64,1700.4
D1,10/08/02,Stuttgart,Kaiserslautern,1.0,1.0,D,1.0,0.0,H,2.1,3.2,3.0,2.05,3.21,3.21,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.25,3.0,2.05,3.2,3.2,2.1,3.0,3.2,1.8,1.91,,,1710.62,1703.91
D1,11/08/02,Bielefeld,Werder Bremen,3.0,0.0,H,1.0,0.0,H,2.625,3.2,2.3,2.63,3.16,2.6,2.5,3.0,2.5,2.6,3.2,2.375,,,,2.6,3.1,2.5,2.5,3.1,2.5,1.82,1.95,,,1668.95,1744.14
D1,11/08/02,Hamburg,Hannover,2.0,1.0,H,0.0,1.0,A,1.667,3.4,4.333,1.92,3.3,3.8,1.8,3.1,3.8,1.727,3.4,4.0,1.73,3.25,4.33,1.727,3.3,4.5,1.66,3.3,4.5,1.7,2.1,,,1661.82,1701.07
D1,14/08/02,Munich 1860,Hansa Rostock,0.0,2.0,A,0.0,1.0,A,1.727,3.2,4.333,1.76,3.31,4.61,1.75,3.2,4.0,1.727,3.4,4.0,1.66,3.4,4.5,1.727,3.3,4.5,1.66,3.3,4.5,1.69,1.95,,,1701.22,1608.85
D1,17/08/02,Bayern Munich,Bielefeld,6.0,2.0,H,3.0,0.0,H,1.222,5.0,9.0,1.24,5.15,10.75,1.25,4.5,9.0,1.25,4.5,10.0,1.22,5.0,10.0,1.222,5.0,11.0,1.22,5.0,9.5,1.57,2.12,,,1845.16,1680.56
