Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E2,10/08/02,Bristol City,Blackpool,2,0,H,0,0,D,M Fletcher,18.0,4.0,12.0,1.0,14.0,8.0,10.0,0.0,3,1,0,2,1.667,3.4,4.5,1.73,3.33,4.44,1.65,3.2,3.9,1.727,3.2,4.333,,,,1.667,3.4,4.5,1.66,3.4,4.33,1367.52,1298.9
E2,10/08/02,Cheltenham,Wigan,0,2,A,0,2,A,R Beeby,10.0,15.0,4.0,6.0,17.0,10.0,8.0,6.0,0,0,0,0,2.8,3.25,2.2,2.75,3.25,2.3,2.6,3.0,2.2,2.75,3.25,2.2,,,,2.75,3.2,2.3,2.8,3.2,2.2,1321.23,1396.41
E2,10/08/02,Colchester,Stockport,1,0,H,0,0,D,P Danson,17.0,10.0,8.0,4.0,15.0,17.0,11.0,2.0,0,2,0,1,2.625,3.2,2.375,2.45,3.3,2.5,2.35,3.0,2.35,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.5,3.1,2.5,1306.41,1267.5
E2,10/08/02,Huddersfield,Brentford,0,2,A,0,2,A,C Foy,11.0,5.0,6.0,2.0,13.0,18.0,7.0,5.0,2,1,0,0,1.8,3.25,4.0,1.8,3.25,4.0,1.75,3.2,3.5,1.8,3.2,4.0,,,,1.833,3.25,3.8,1.72,3.25,4.2,1438.37,1427.27
E2,10/08/02,Luton,Peterboro,2,3,A,0,2,A,B Curson,13.0,10.0,6.0,6.0,15.0,10.0,5.0,3.0,2,1,0,0,1.727,3.25,4.333,1.73,3.45,4.5,1.65,3.2,3.9,1.667,3.4,4.333,,,,1.667,3.4,4.5,1.66,3.4,4.33,1395.59,1301.11
E2,10/08/02,Mansfield,Plymouth,4,3,H,1,1,D,G Frankland,20.0,11.0,13.0,6.0,14.0,17.0,4.0,4.0,2,2,0,0,2.5,3.2,2.5,2.45,3.3,2.5,2.35,3.0,2.35,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.5,3.1,2.5,1270.11,1404.18
E2,10/08/02,Northampton,Crewe,1,1,D,0,1,A,T Parkes,10.0,10.0,6.0,5.0,8.0,10.0,2.0,4.0,0,0,0,0,2.625,3.2,2.375,2.5,3.3,2.45,2.4,3.0,2.3,2.5,3.25,2.4,,,,2.6,3.2,2.4,2.62,3.1,2.37,1292.57,1367.56
E2,10/08/02,Notts County,Wycombe,1,1,D,0,0,D,M Warren,11.0,10.0,4.0,5.0,16.0,15.0,7.0,9.0,1,0,0,0,2.1,3.25,3.0,2.15,3.3,3.15,2.1,3.0,2.8,2.1,3.2,3.0,,,,2.1,3.25,3.0,2.0,3.3,3.1,1318.35,1335.43
E2,10/08/02,Oldham,Cardiff,1,2,A,0,1,A,E Wolstenholme,15.0,12.0,5.0,5.0,19.0,10.0,7.0,9.0,3,1,0,0,2.8,3.25,2.2,2.7,3.3,2.3,2.4,3.0,2.3,2.4,3.25,2.5,,,,2.75,3.25,2.25,2.75,3.2,2.25,1383.33,1461.35
E2,10/08/02,Port Vale,Tranmere,1,4,A,1,2,A,S Baines,12.0,8.0,6.0,4.0,6.0,8.0,1.0,1.0,1,0,0,0,2.1,3.25,3.0,2.15,3.25,3.0,2.0,3.0,2.9,2.0,3.4,3.0,,,,2.1,3.25,3.0,2.0,3.2,3.2,1322.22,1321.89
E2,10/08/02,QPR,Chesterfield,3,1,H,0,0,D,R Oliver,13.0,8.0,5.0,2.0,11.0,16.0,6.0,3.0,1,4,0,0,1.533,3.5,5.5,1.62,3.25,5.5,1.55,3.3,4.5,1.571,3.25,5.5,,,,1.6,3.25,5.5,1.57,3.25,5.5,1392.3,1292.73
E2,10/08/02,Swindon,Barnsley,3,1,H,1,1,D,P Rejer,9.0,11.0,5.0,2.0,13.0,17.0,6.0,5.0,1,2,0,0,2.6,3.2,2.4,2.5,3.3,2.45,2.35,3.0,2.35,2.5,3.25,2.4,,,,2.6,3.2,2.4,2.5,3.1,2.5,1331.2,1382.44
E2,13/08/02,Barnsley,Cheltenham,1,1,D,0,0,D,D Pugh,13.0,8.0,8.0,5.0,15.0,14.0,8.0,5.0,1,0,0,0,1.571,3.4,5.5,1.57,3.5,5.15,1.55,3.4,4.3,1.5,3.4,6.0,1.57,3.4,5.5,1.571,3.4,5.5,1.57,3.5,5.0,1371.68,1307.84
E2,13/08/02,Blackpool,Luton,5,2,H,2,1,H,M Clattenburg,13.0,6.0,7.0,4.0,19.0,14.0,5.0,3.0,2,2,0,0,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.0,2.6,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,1292.03,1376.74
E2,13/08/02,Brentford,Bristol City,1,0,H,0,0,D,P Danson,9.0,15.0,5.0,8.0,17.0,19.0,5.0,7.0,1,0,0,1,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.0,2.6,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.8,2.25,3.2,2.75,1443.64,1374.39
E2,13/08/02,Cardiff,Port Vale,3,1,H,2,1,H,P Rejer,16.0,10.0,12.0,5.0,18.0,14.0,6.0,0.0,1,2,0,1,1.364,3.75,9.0,1.4,3.8,7.1,1.4,3.7,5.3,1.444,3.6,6.5,1.36,3.75,8.5,1.444,3.75,6.5,1.4,3.75,7.0,1474.64,1306.21
E2,13/08/02,Chesterfield,Swindon,2,4,A,0,3,A,M Cooper,7.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,2,2,0,0,2.25,3.25,2.75,2.3,3.25,2.67,2.35,3.0,2.35,2.5,3.25,2.4,2.25,3.25,2.75,2.25,3.25,2.75,2.3,3.25,2.62,1286.71,1341.96
E2,13/08/02,Crewe,Notts County,0,3,A,0,2,A,G Frankland,13.0,11.0,5.0,8.0,10.0,17.0,5.0,5.0,0,0,0,0,1.8,3.25,4.0,1.77,3.35,3.95,1.8,3.1,3.4,1.667,3.4,4.333,1.8,3.25,4.0,1.8,3.25,4.0,1.8,3.3,3.75,1368.46,1315.42
E2,13/08/02,Peterboro,Oldham,0,1,A,0,0,D,R Olivier,7.0,12.0,3.0,5.0,13.0,14.0,9.0,9.0,0,1,0,0,2.2,3.25,2.8,2.2,3.25,2.8,2.1,3.0,2.8,2.2,3.25,2.75,2.2,3.25,2.8,2.1,3.2,3.1,2.25,3.2,2.75,1319.96,1370.04
E2,13/08/02,Plymouth,Huddersfield,2,1,H,0,0,D,B Curson,7.0,12.0,4.0,6.0,14.0,12.0,3.0,11.0,2,3,1,0,2.1,3.25,3.0,2.0,3.25,3.25,2.0,3.1,2.8,1.909,3.25,3.4,2.1,3.25,3.0,2.1,3.2,3.1,2.0,3.2,3.2,1390.46,1422.0
E2,13/08/02,Stockport,QPR,1,1,D,0,0,D,F Stretton,5.0,12.0,2.0,4.0,9.0,14.0,1.0,8.0,0,4,0,0,2.25,3.25,2.75,2.3,3.3,2.65,2.3,3.0,2.4,2.25,3.4,2.625,2.5,3.2,2.5,2.3,3.2,2.7,2.3,3.25,2.62,1259.75,1398.32
E2,13/08/02,Tranmere,Colchester,1,1,D,1,0,H,M Pike,11.0,12.0,4.0,7.0,8.0,10.0,8.0,0.0,0,0,0,0,1.667,3.4,4.5,1.61,3.5,4.75,1.6,3.3,4.0,1.667,3.4,4.333,1.67,3.4,4.5,1.667,3.4,4.5,1.61,3.5,4.5,1337.9,1314.16
E2,13/08/02,Wigan,Mansfield,3,2,H,2,1,H,J P Robinson,28.0,6.0,16.0,5.0,11.0,12.0,9.0,1.0,2,2,0,1,1.5,3.5,6.0,1.45,3.65,6.5,1.5,3.5,4.5,1.533,3.5,5.5,1.5,3.5,6.0,1.533,3.4,6.0,1.44,3.6,6.5,1409.8,1283.83
E2,13/08/02,Wycombe,Northampton,1,1,D,0,0,D,C Wilkes,14.0,12.0,8.0,3.0,12.0,19.0,8.0,7.0,2,2,0,0,1.727,3.5,4.0,1.73,3.4,4.1,1.75,3.1,3.6,1.833,3.0,4.0,1.83,3.25,3.75,1.833,3.25,3.8,1.72,3.4,4.0,1338.36,1291.67
E2,17/08/02,Barnsley,QPR,1,0,H,0,0,D,M Pike,8.0,15.0,4.0,7.0,11.0,7.0,4.0,6.0,2,1,0,0,2.2,3.25,2.8,2.15,3.25,3.0,2.2,2.9,2.7,2.2,3.2,2.8,2.2,3.25,2.8,2.2,3.2,2.875,2.1,3.2,3.0,1366.19,1396.94
E2,17/08/02,Blackpool,Swindon,0,0,D,0,0,D,M Dean,7.0,7.0,4.0,2.0,11.0,13.0,12.0,6.0,1,2,0,0,1.909,3.25,3.5,2.0,3.25,3.3,2.0,3.0,2.9,2.1,3.2,3.0,1.91,3.25,3.5,2.0,3.25,3.25,2.0,3.2,3.2,1303.98,1356.06
