Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,EloHome,EloAway
G1,24/08/02,Egaleo,AEK,1,1,D,1,1,D,6.75,4.2,1.4,,,,6.0,3.6,1.444,,,,1.6,2.05,,,,,,,,1416.44,1692.71
G1,24/08/02,Panahaiki,Aris,0,1,A,0,0,D,2.4,3.15,2.57,2.3,2.9,2.5,2.375,3.1,2.625,,,,1.9,1.7,,,,,,,,1390.24,1453.91
G1,25/08/02,Akratitos,Xanthi,0,1,A,0,0,D,2.33,3.05,2.75,2.3,2.9,2.5,2.3,3.1,2.7,,,,1.9,1.7,,,,,,,,1391.47,1506.67
G1,25/08/02,Iraklis,OFI,3,0,H,1,0,H,1.65,3.35,4.55,1.6,3.2,4.2,1.667,3.3,4.5,1.65,3.25,4.5,1.8,1.8,,,,,,,,1501.53,1479.07
G1,25/08/02,Olympiakos,Kalithea,1,0,H,0,0,D,1.12,6.5,15.0,1.1,6.5,13.0,1.154,5.5,13.0,,,,,,,,,,,,,1804.56,1400.0
G1,25/08/02,Panionios,Ionikos,2,0,H,1,0,H,1.62,3.4,5.25,1.65,3.1,4.0,1.6,3.3,5.0,,,,1.8,1.8,,,,,,,,1489.01,1423.98
G1,25/08/02,PAOK,Panathinaikos,4,1,H,3,1,H,2.6,3.0,2.45,2.4,2.9,2.4,2.5,3.1,2.5,2.55,2.9,2.5,1.9,1.72,,,,,,,,1601.97,1733.81
G1,25/08/02,Proodeftiki,Giannina,1,0,H,0,0,D,1.75,3.25,4.0,1.75,3.1,3.6,1.833,3.2,3.75,,,,1.85,1.75,,,,,,,,1400.0,1400.0
G1,31/08/02,Aris,Panionios,1,0,H,1,0,H,1.55,3.4,5.1,1.55,3.3,4.5,1.615,3.3,5.0,1.6,3.35,4.8,1.85,1.75,,,,,,,,1467.71,1495.98
G1,01/09/02,AEK,Giannina,3,1,H,2,0,H,1.13,7.0,15.0,1.1,7.0,11.0,1.1,6.5,15.0,,,,,,,,,,,,,1686.86,1391.0
G1,01/09/02,Ionikos,Egaleo,0,0,D,0,0,D,2.0,3.2,3.6,1.85,3.0,3.3,2.0,3.1,3.3,,,,1.95,1.65,,,,,,,,1417.01,1422.29
G1,01/09/02,Kalithea,Akratitos,0,2,A,0,1,A,1.85,3.2,3.75,1.85,3.0,3.3,1.909,3.2,3.5,,,,1.85,1.75,,,,,,,,1398.7,1379.52
G1,01/09/02,OFI,Olympiakos,0,1,A,0,0,D,3.85,3.3,1.8,3.5,3.0,1.8,4.0,3.3,1.75,3.5,3.1,1.9,1.7,1.9,,,,,,,,1470.8,1805.86
G1,01/09/02,Panahaiki,Iraklis,0,2,A,0,2,A,2.55,3.0,2.55,2.4,2.9,2.4,2.5,3.1,2.5,,,,1.9,1.7,,,,,,,,1376.44,1509.8
G1,01/09/02,Panathinaikos,Proodeftiki,0,1,A,0,1,A,1.11,7.0,15.0,1.1,7.0,11.0,1.1,6.5,15.0,,,,,,,,,,,,,1720.17,1409.0
G1,01/09/02,Xanthi,PAOK,1,1,D,1,0,H,2.75,3.0,2.35,2.5,2.9,2.3,2.7,3.1,2.3,2.6,2.95,2.45,1.85,1.75,,,,,,,,1518.62,1615.61
G1,14/09/02,AEK,Panathinaikos,1,0,H,1,0,H,2.05,3.05,3.12,2.2,2.9,2.7,2.1,3.0,3.2,2.0,3.0,3.4,1.95,1.65,,,,,,,,1689.18,1697.31
G1,14/09/02,Iraklis,Olympiakos,2,2,D,1,1,D,3.25,3.05,2.18,3.1,3.0,1.9,3.25,3.1,2.0,3.0,2.9,2.2,1.75,1.85,,,,,,,,1521.1,1810.99
G1,14/09/02,PAOK,Kalithea,2,3,A,1,1,D,1.13,6.4,14.0,1.15,5.55,11.0,1.111,6.5,13.0,,,,,,,,,,,,,1615.72,1382.07
G1,15/09/02,Akratitos,OFI,1,1,D,0,1,A,2.32,3.1,2.8,2.3,2.9,2.5,2.25,3.1,2.8,,,,1.95,1.75,,,,,,,,1396.15,1465.67
G1,15/09/02,Egaleo,Aris,3,0,H,1,0,H,2.45,3.0,2.55,2.4,2.9,2.4,2.4,3.0,2.625,,,,1.95,1.65,,,,,,,,1425.62,1477.67
G1,15/09/02,Panionios,Panahaiki,2,0,H,0,0,D,1.45,3.65,6.75,1.4,3.6,5.5,1.364,3.75,8.0,,,,1.75,1.85,,,,,,,,1486.02,1365.14
G1,15/09/02,Proodeftiki,Xanthi,1,1,D,1,0,H,2.33,3.1,2.8,2.3,2.9,2.5,2.3,3.0,2.75,,,,2.0,1.65,,,,,,,,1431.86,1518.51
G1,15/09/02,Giannina,Ionikos,2,3,A,1,1,D,1.77,3.25,3.9,1.8,3.0,3.5,1.85,3.2,3.6,,,,1.95,1.65,,,,,,,,1388.68,1413.68
G1,21/09/02,Kalithea,Proodeftiki,1,1,D,0,1,A,2.02,3.1,3.3,2.1,3.0,2.8,2.2,3.1,2.875,,,,1.9,1.7,,,,,,,,1403.88,1431.38
G1,21/09/02,Olympiakos,Akratitos,4,0,H,2,0,H,1.11,6.75,16.0,1.1,6.5,13.0,1.071,7.5,17.0,,,,,,,,,,,,,1804.77,1395.06
G1,22/09/02,Aris,Giannina,2,0,H,1,0,H,1.33,4.0,8.55,1.3,4.0,7.0,1.333,4.0,8.0,,,,1.6,2.0,,,,,,,,1466.88,1373.52
G1,22/09/02,Ionikos,Panathinaikos,0,1,A,0,0,D,6.25,3.5,1.45,5.5,3.6,1.4,6.5,3.6,1.444,,,,1.71,2.0,,,,,,,,1428.84,1688.04
G1,22/09/02,OFI,PAOK,2,3,A,0,2,A,2.25,3.0,2.87,2.2,3.0,2.6,2.1,3.1,2.9,2.15,3.1,2.9,1.75,1.95,,,,,,,,1466.76,1593.91
G1,22/09/02,Panahaiki,Egaleo,0,2,A,0,0,D,2.25,3.0,2.8,2.2,3.0,2.6,2.4,3.1,2.625,,,,2.0,1.7,,,,,,,,1359.66,1436.41
G1,22/09/02,Panionios,Iraklis,3,1,H,2,0,H,2.25,3.0,2.8,2.2,3.0,2.6,2.0,3.1,3.1,2.15,3.1,2.9,1.85,1.75,,,,,,,,1491.5,1527.32
G1,22/09/02,Xanthi,AEK,0,1,A,0,1,A,3.12,3.05,2.07,2.9,3.0,2.0,3.4,3.25,1.909,2.75,3.05,2.25,1.85,1.75,,,,,,,,1518.99,1698.45
G1,26/10/02,AEK,Kalithea,1,0,H,1,0,H,1.16,6.5,15.0,1.1,6.0,14.0,1.1,6.5,13.0,,,,1.5,2.4,,,,,,,,1708.14,1401.31
G1,26/10/02,PAOK,Olympiakos,1,1,D,0,1,A,2.4,3.0,2.65,2.4,2.9,2.4,2.4,3.0,2.6,2.4,2.8,2.75,1.9,1.8,,,,,,,,1605.44,1806.03
G1,27/10/02,Egaleo,Panionios,0,0,D,0,0,D,2.15,3.0,2.95,2.1,2.8,3.0,2.2,3.0,2.9,,,,1.9,1.7,,,,,,,,1449.75,1501.72
G1,27/10/02,Ionikos,Xanthi,0,0,D,0,0,D,2.15,3.05,3.0,2.0,2.9,3.0,2.0,3.1,3.2,,,,1.9,1.7,,,,,,,,1421.7,1509.3
G1,27/10/02,Iraklis,Akratitos,1,0,H,1,0,H,1.32,4.25,8.33,1.35,3.6,6.5,1.364,3.75,7.5,,,,1.5,2.25,,,,,,,,1517.1,1393.8
G1,27/10/02,Panathinaikos,Aris,3,2,H,3,1,H,1.3,4.25,8.33,1.4,3.6,5.5,1.364,3.75,7.5,1.45,3.6,6.0,1.7,1.9,,,,,,,,1695.18,1473.06
G1,27/10/02,Proodeftiki,OFI,0,0,D,0,0,D,2.08,3.15,3.25,2.0,2.9,3.0,2.0,3.1,3.2,,,,1.85,1.75,,,,,,,,1433.95,1455.23
G1,27/10/02,Giannina,Panahaiki,3,0,H,2,0,H,1.78,3.25,4.33,1.65,3.0,4.2,1.667,3.2,4.5,,,,1.8,1.8,,,,,,,,1367.34,1346.32
G1,02/11/02,Kalithea,Ionikos,0,1,A,0,1,A,2.0,3.2,3.1,1.9,3.0,3.1,1.909,3.2,3.25,,,,,,,,,,,,,1399.12,1421.25
G1,03/11/02,Akratitos,PAOK,1,3,A,1,0,H,2.95,3.2,2.1,2.9,2.9,2.1,3.1,3.2,2.0,,,,,,,,,,,,,1388.38,1608.96
G1,03/11/02,Aris,Xanthi,1,1,D,0,1,A,1.55,3.4,5.1,1.55,3.3,4.5,1.615,3.4,4.5,1.5,3.4,5.8,,,,,,,,,,1469.68,1509.75
G1,03/11/02,Egaleo,Iraklis,0,2,A,0,2,A,2.2,3.1,2.8,2.1,2.9,2.9,2.2,3.1,2.8,,,,,,,,,,,,,1448.03,1522.52
G1,03/11/02,OFI,AEK,1,0,H,0,0,D,3.5,3.1,1.9,3.0,2.9,2.0,4.0,3.2,1.75,3.3,3.0,2.0,,,,,,,,,,1458.01,1710.33
G1,03/11/02,Olympiakos,Proodeftiki,0,0,D,0,0,D,1.15,6.0,11.0,1.15,5.5,9.0,1.143,6.0,11.0,,,,,,,,,,,,,1802.51,1431.17
G1,03/11/02,Panahaiki,Panathinaikos,0,3,A,0,2,A,8.5,4.6,1.25,,,,8.0,4.333,1.286,,,,,,,,,,,,,1338.01,1698.56
G1,03/11/02,Panionios,Giannina,2,0,H,1,0,H,1.4,3.6,7.0,,,,1.364,3.75,7.5,,,,,,,,,,,,,1503.44,1375.65
G1,09/11/02,AEK,Olympiakos,1,1,D,1,1,D,2.25,3.0,2.9,2.2,2.9,2.7,2.25,3.0,2.875,2.25,2.9,2.9,1.85,1.75,,,,,,,,1692.68,1791.56
G1,10/11/02,Aris,Kalithea,1,1,D,0,1,A,1.4,3.7,6.6,1.4,3.5,5.6,1.4,3.75,7.0,,,,1.83,1.83,,,,,,,,1467.54,1383.86
G1,10/11/02,Ionikos,OFI,1,1,D,0,0,D,2.05,3.05,3.4,2.0,2.9,3.0,2.0,3.1,3.3,,,,1.95,1.65,,,,,,,,1436.51,1475.66
G1,10/11/02,Iraklis,PAOK,1,1,D,1,0,H,2.25,2.95,2.85,2.0,2.9,3.0,2.3,3.0,2.8,2.25,2.9,2.9,1.83,1.83,,,,,,,,1535.94,1617.29
G1,10/11/02,Panathinaikos,Panionios,1,0,H,1,0,H,1.37,4.1,6.6,1.4,3.6,5.5,1.333,4.0,8.0,1.4,4.0,6.0,1.65,1.95,,,,,,,,1703.12,1508.75
G1,10/11/02,Proodeftiki,Akratitos,5,1,H,2,1,H,1.6,3.45,5.0,1.55,3.2,4.6,1.571,3.5,5.0,,,,2.0,1.78,,,,,,,,1442.12,1380.05
G1,10/11/02,Xanthi,Panahaiki,1,1,D,1,0,H,1.25,4.7,9.75,,,,1.2,5.0,11.0,,,,1.73,1.93,,,,,,,,1511.89,1333.45
G1,10/11/02,Giannina,Egaleo,1,1,D,0,1,A,1.96,3.1,3.5,,,,2.0,3.1,3.25,,,,1.95,1.65,,,,,,,,1370.34,1434.61
G1,23/11/02,OFI,Aris,1,2,A,1,0,H,1.85,3.25,3.5,1.8,3.0,3.5,1.8,3.25,3.8,1.85,3.2,3.6,1.9,1.7,,,,,,,,1477.83,1461.49
G1,24/11/02,Akratitos,AEK,3,2,H,2,0,H,7.75,4.25,1.33,7.7,3.7,1.3,8.0,4.333,1.3,,,,1.65,1.95,,,,,,,,1372.99,1692.64
G1,24/11/02,Egaleo,Panathinaikos,0,0,D,0,0,D,7.0,3.7,1.4,6.0,3.4,1.4,7.5,3.75,1.364,,,,1.7,1.9,,,,,,,,1435.89,1707.0
G1,24/11/02,Olympiakos,Ionikos,6,0,H,3,0,H,1.17,6.66,11.11,1.15,5.0,12.0,1.143,6.0,12.0,,,,1.55,2.15,,,,,,,,1791.6,1434.34
G1,24/11/02,Panahaiki,Kalithea,1,2,A,0,2,A,2.0,3.2,3.1,2.0,2.9,3.0,2.0,3.2,3.2,,,,1.9,1.7,,,,,,,,1341.76,1389.91
G1,24/11/02,Panionios,Xanthi,0,3,A,0,2,A,1.68,3.2,4.78,1.65,3.0,4.2,1.727,3.25,4.2,1.7,3.1,4.5,1.8,1.8,,,,,,,,1504.87,1503.58
G1,24/11/02,PAOK,Proodeftiki,4,1,H,1,0,H,1.35,4.25,7.5,1.35,3.6,6.5,1.333,4.0,8.0,,,,1.7,1.9,,,,,,,,1617.96,1449.18
G1,24/11/02,Giannina,Iraklis,0,0,D,0,0,D,2.52,3.0,2.47,2.5,2.8,2.4,2.6,3.1,2.4,,,,1.85,1.75,,,,,,,,1369.06,1535.27
G1,30/11/02,Iraklis,Proodeftiki,1,0,H,1,0,H,1.65,3.25,4.52,1.65,2.9,4.4,1.571,3.5,5.0,,,,,,,,,,,,,1532.92,1444.79
G1,01/12/02,AEK,PAOK,3,4,A,2,3,A,,,,,,,,,,,,,,,,,,,,,,1673.15,1622.35
G1,01/12/02,Aris,Olympiakos,0,0,D,0,0,D,3.2,3.1,2.0,3.0,2.9,2.0,4.2,3.25,1.727,3.0,3.0,2.15,,,,,,,,,,1478.03,1793.28
G1,01/12/02,Ionikos,Akratitos,1,1,D,0,0,D,1.7,3.25,4.2,1.7,2.9,4.0,1.85,3.25,3.6,,,,,,,,,,,,,1432.66,1392.48
G1,01/12/02,Kalithea,Panionios,1,1,D,1,1,D,2.4,3.05,2.55,2.4,2.9,2.4,2.3,3.2,2.625,,,,,,,,,,,,,1404.26,1488.83
G1,01/12/02,OFI,Panahaiki,3,0,H,2,0,H,1.4,3.8,6.3,1.3,4.0,7.0,1.4,3.75,7.0,,,,,,,,,,,,,1461.29,1327.41
G1,01/12/02,Panathinaikos,Giannina,1,0,H,1,0,H,1.15,6.0,13.0,1.15,5.5,11.0,1.143,6.0,12.0,,,,,,,,,,,,,1701.3,1371.41
G1,01/12/02,Xanthi,Egaleo,5,0,H,3,0,H,1.75,3.2,4.0,1.75,2.9,3.8,1.727,3.25,4.2,,,,,,,,,,,,,1519.62,1441.59
G1,07/12/02,Akratitos,Aris,0,2,A,0,1,A,2.4,3.0,2.73,2.4,2.9,2.4,2.5,3.1,2.5,,,,1.85,1.75,,,,,,,,1397.27,1484.92
G1,08/12/02,Egaleo,Kalithea,0,0,D,0,0,D,1.81,3.2,3.75,1.8,3.0,3.5,1.85,3.25,3.6,,,,1.8,1.8,,,,,,,,1434.99,1403.71
G1,08/12/02,Olympiakos,Panahaiki,7,0,H,3,0,H,1.06,7.5,20.0,1.05,7.0,15.0,1.063,7.5,21.0,,,,1.4,2.5,,,,,,,,1786.39,1322.25
G1,08/12/02,Panathinaikos,Iraklis,2,0,H,2,0,H,1.4,3.6,7.77,1.4,3.5,5.6,1.364,3.8,7.5,1.45,3.3,7.0,1.6,2.05,,,,,,,,1703.24,1539.24
G1,08/12/02,Panionios,OFI,0,0,D,0,0,D,1.7,3.2,4.25,1.7,3.1,3.8,1.667,3.3,4.5,1.7,3.2,4.3,1.75,1.85,,,,,,,,1489.38,1466.45
G1,08/12/02,PAOK,Ionikos,3,0,H,1,0,H,1.2,4.95,10.0,1.2,4.7,9.0,1.222,5.0,9.0,,,,1.55,2.15,,,,,,,,1639.96,1427.87
G1,08/12/02,Proodeftiki,AEK,1,1,D,1,1,D,4.5,3.25,1.66,4.0,3.1,1.65,4.5,3.3,1.667,,,,1.75,1.85,,,,,,,,1438.47,1655.54
