Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
N1,16/08/02,Roosendaal,Zwolle,1,1,D,1,0,H,2.0,3.4,3.0,1.95,3.25,3.3,2.0,3.2,3.1,2.0,3.3,3.1,1.9,3.3,3.3,1.55,2.2,1418.48,1500.0
N1,17/08/02,AZ Alkmaar,Heerenveen,3,3,D,1,2,A,2.4,3.25,2.5,2.42,3.3,2.45,2.5,3.0,2.5,2.4,3.1,2.6,2.45,3.15,2.45,1.55,2.1,1519.18,1648.09
N1,17/08/02,Excelsior,PSV Eindhoven,0,2,A,0,2,A,5.0,3.5,1.571,5.45,3.55,1.52,4.8,3.5,1.55,5.5,3.5,1.533,5.0,3.7,1.5,1.45,2.35,1500.0,1787.38
N1,17/08/02,NAC Breda,Roda JC,2,2,D,1,0,H,2.0,3.4,3.0,2.0,3.3,3.25,1.85,3.2,3.5,2.1,3.2,3.0,1.9,3.2,3.35,1.6,2.05,1596.64,1570.76
N1,17/08/02,Twente,Willem II,0,2,A,0,0,D,2.0,3.4,3.0,2.05,3.25,3.18,1.9,3.2,3.4,2.1,3.2,3.0,1.85,3.35,3.35,1.6,2.05,1552.74,1560.04
N1,18/08/02,Ajax,Utrecht,3,1,H,1,1,D,1.333,4.0,8.0,1.33,4.4,7.8,1.25,4.5,9.0,1.333,4.0,8.0,1.3,4.4,7.25,1.42,2.45,1730.9,1602.48
N1,18/08/02,Feyenoord,Nijmegen,2,0,H,0,0,D,1.364,3.75,8.0,1.36,4.4,7.8,1.25,4.5,9.0,1.364,3.75,8.0,1.35,4.0,7.0,1.42,2.45,1669.5,1522.23
N1,18/08/02,Groningen,Vitesse,1,2,A,1,1,D,2.7,3.25,2.25,2.82,3.25,2.28,2.9,3.0,2.2,2.7,3.25,2.25,2.5,3.2,2.35,1.65,1.95,1481.21,1675.68
N1,18/08/02,Waalwijk,Graafschap,4,2,H,1,0,H,1.571,3.5,5.0,1.6,3.55,5.0,1.55,3.5,4.8,1.615,3.5,4.5,1.6,3.5,4.4,1.55,2.1,1584.06,1473.52
N1,23/08/02,Nijmegen,AZ Alkmaar,2,0,H,1,0,H,1.833,3.2,3.75,1.9,3.35,3.95,1.9,3.1,3.5,1.85,3.25,3.6,1.7,3.4,3.9,1.6,2.05,1517.38,1520.22
N1,24/08/02,Graafschap,Roosendaal,2,0,H,1,0,H,1.8,3.25,3.75,1.71,3.5,4.25,1.75,3.3,3.8,1.8,3.25,3.8,1.7,3.4,3.9,1.55,2.15,1467.79,1417.82
N1,24/08/02,Heerenveen,Waalwijk,1,2,A,1,0,H,1.615,3.25,5.0,1.57,3.65,5.25,1.65,3.3,4.4,1.615,3.5,4.5,1.5,3.5,5.4,1.6,2.05,1647.05,1589.79
N1,24/08/02,PSV Eindhoven,Groningen,1,0,H,0,0,D,1.167,5.5,11.0,1.17,6.0,13.0,1.15,6.0,12.0,1.167,5.5,10.0,,,,1.6,2.05,1793.72,1472.03
N1,24/08/02,Roda JC,Feyenoord,2,2,D,1,1,D,3.0,3.2,2.1,3.1,3.25,2.1,2.8,3.1,2.2,3.1,3.3,2.0,3.1,3.2,2.0,1.65,1.95,1575.1,1674.35
N1,24/08/02,Zwolle,Excelsior,1,1,D,1,0,H,1.909,3.25,3.4,1.91,3.3,3.6,1.9,3.1,3.5,1.909,3.25,3.4,1.85,3.25,3.5,1.55,2.15,1500.66,1493.66
N1,25/08/02,Twente,Utrecht,1,1,D,1,1,D,2.1,3.2,3.0,2.12,3.25,3.1,2.2,3.0,2.9,2.2,3.1,2.9,2.0,3.2,3.1,1.6,2.05,1536.98,1597.19
N1,25/08/02,Vitesse,Ajax,1,2,A,1,0,H,3.2,3.2,2.0,3.05,3.25,2.12,2.7,3.0,2.3,3.0,3.2,2.1,3.0,3.2,2.1,1.6,2.05,1684.86,1736.19
N1,25/08/02,Willem II,NAC Breda,1,1,D,1,1,D,1.833,3.4,3.5,1.85,3.35,3.85,2.0,3.1,3.2,1.85,3.3,3.6,1.75,3.3,3.8,1.6,2.05,1575.8,1592.3
N1,30/08/02,Waalwijk,Twente,3,2,H,1,1,D,1.727,3.4,4.0,1.7,3.5,4.2,1.65,3.3,4.4,1.75,3.2,4.2,1.75,3.25,3.9,1.6,2.0,1607.59,1535.55
N1,31/08/02,NAC Breda,Nijmegen,0,0,D,0,0,D,1.833,3.2,3.75,1.85,3.3,3.65,1.9,3.1,3.5,1.85,3.25,3.6,1.8,3.3,3.6,1.55,2.1,1595.25,1526.47
N1,31/08/02,Roda JC,Willem II,1,0,H,0,0,D,1.833,3.2,3.75,1.85,3.3,3.65,1.9,3.1,3.5,1.85,3.25,3.6,1.7,3.35,4.0,1.6,2.0,1575.07,1572.85
N1,31/08/02,Zwolle,Vitesse,1,0,H,0,0,D,3.0,3.2,2.1,3.1,3.3,2.05,3.2,3.1,2.0,2.875,3.3,2.1,2.65,3.3,2.2,1.55,2.1,1496.93,1670.62
N1,01/09/02,Groningen,Ajax,1,3,A,0,2,A,4.5,3.75,1.571,4.75,3.65,1.58,5.0,3.7,1.5,5.0,3.5,1.571,4.5,3.45,1.6,1.6,2.05,1470.0,1750.43
N1,01/09/02,Roosendaal,Heerenveen,3,0,H,2,0,H,3.0,3.2,2.1,3.02,3.25,2.1,3.2,3.1,2.0,2.9,3.3,2.1,2.6,3.1,2.35,1.6,2.0,1410.4,1629.25
N1,10/09/02,AZ Alkmaar,PSV Eindhoven,0,4,A,0,3,A,4.5,3.5,1.615,5.05,3.65,1.57,4.6,3.4,1.6,5.0,3.5,1.571,,,,1.75,1.9,1511.13,1795.75
N1,10/09/02,Feyenoord,Excelsior,4,1,H,2,1,H,,,,1.17,5.85,13.0,1.2,5.0,10.0,1.167,5.5,11.0,,,,1.6,2.05,1674.38,1497.39
N1,10/09/02,Utrecht,Graafschap,4,0,H,2,0,H,1.5,3.4,6.0,1.5,3.8,6.1,1.45,3.8,5.4,1.533,3.5,5.5,,,,1.65,1.95,1598.62,1475.21
