Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
P1,22/08/02,Setubal,Boavista,1,1,D,1,1,D,3.75,3.2,1.83,3.8,3.29,1.85,3.5,3.1,1.9,3.75,3.25,1.85,3.5,3.25,1.85,,,1419.85,1645.75
P1,23/08/02,Academica,Sp Lisbon,0,2,A,0,1,A,4.5,3.5,1.615,4.6,3.5,1.68,4.0,3.2,1.75,4.5,3.5,1.615,4.0,3.4,1.7,1.7,1.9,1400.0,1668.56
P1,24/08/02,Benfica,Maritimo,3,0,H,2,0,H,1.4,3.75,7.0,1.44,3.85,6.85,1.4,3.7,6.5,1.4,3.75,7.0,1.4,3.75,6.5,1.65,1.95,1581.68,1516.53
P1,24/08/02,Leiria,Guimaraes,1,2,A,0,1,A,1.833,3.2,3.75,1.86,3.3,3.75,1.75,3.2,4.0,1.8,3.25,3.8,1.7,3.4,4.0,1.75,1.85,1539.18,1413.9
P1,24/08/02,Santa Clara,Sp Braga,0,0,D,0,0,D,2.1,3.2,3.0,2.15,3.1,3.1,2.2,2.9,3.0,2.2,3.1,2.875,1.95,3.1,3.3,1.95,1.65,1386.88,1464.07
P1,25/08/02,Moreirense,Beira Mar,1,2,A,0,0,D,2.1,3.2,3.0,2.16,3.15,3.15,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,2.9,1.9,1.7,1400.0,1424.86
P1,25/08/02,Nacional,Gil Vicente,0,1,A,0,0,D,2.0,3.2,3.0,2.06,3.25,3.25,2.1,3.0,3.1,2.05,3.25,3.0,2.0,3.1,3.2,1.85,1.75,1400.0,1416.22
P1,25/08/02,Pacos Ferreira,Varzim,3,1,H,2,0,H,1.7,3.2,4.5,1.7,3.35,4.5,1.65,3.2,4.6,1.7,3.3,4.333,1.55,3.5,5.0,1.7,1.9,1476.86,1383.37
P1,25/08/02,Porto,Belenenses,2,2,D,0,1,A,1.4,3.75,7.0,1.42,4.0,7.0,1.4,3.7,6.5,1.4,3.75,7.0,1.35,4.0,7.0,1.7,1.95,1652.76,1515.1
P1,30/08/02,Sp Braga,Pacos Ferreira,1,0,H,1,0,H,2.0,3.2,3.2,1.94,3.3,3.85,1.9,3.1,3.5,1.909,3.2,3.5,1.8,3.2,3.75,1.9,1.7,1464.89,1483.04
P1,31/08/02,Beira Mar,Benfica,0,2,A,0,1,A,3.2,3.2,2.0,3.7,3.3,1.9,3.1,3.0,2.1,3.4,3.25,1.909,3.4,3.2,1.9,1.65,1.97,1440.02,1588.65
P1,31/08/02,Belenenses,Academica,2,0,H,1,0,H,1.444,3.75,6.0,1.41,3.95,7.35,1.45,3.8,5.4,1.444,3.75,6.0,1.45,3.75,5.5,1.7,1.9,1522.53,1393.13
