Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SC0,03/08/02,Celtic,Dunfermline,2,1,H,1,0,H,H Dallas,19.0,4.0,8.0,2.0,7.0,14.0,13.0,2.0,1,2,0,0,1.143,6.0,13.0,1.17,5.6,12.0,1.15,5.5,11.0,1.143,5.5,15.0,1.17,6.0,11.0,1.167,6.0,13.0,1.12,6.5,12.0,1.75,1.85,1936.89,1569.46
SC0,03/08/02,Dundee,Hearts,1,1,D,0,1,A,D McDonald,16.0,11.0,5.0,4.0,15.0,16.0,9.0,6.0,0,2,0,0,2.375,3.2,2.625,2.37,3.2,2.62,2.3,2.9,2.5,2.25,3.4,2.625,2.25,3.25,2.75,2.3,3.25,2.75,2.25,3.2,2.75,1.95,1.65,1540.23,1593.43
SC0,03/08/02,Hibernian,Aberdeen,1,2,A,1,0,H,K Toner,12.0,8.0,4.0,2.0,17.0,11.0,7.0,3.0,3,0,0,0,2.375,3.2,2.625,2.37,3.2,2.62,2.2,3.0,2.6,2.4,3.25,2.5,2.25,3.25,2.75,2.375,3.2,2.7,2.25,3.2,2.75,1.95,1.65,1558.97,1606.46
SC0,03/08/02,Kilmarnock,Rangers,1,1,D,0,1,A,K Clark,6.0,16.0,4.0,9.0,17.0,15.0,2.0,10.0,1,0,0,0,7.5,3.75,1.4,6.4,3.7,1.45,5.5,3.6,1.4,6.5,4.0,1.4,6.5,3.75,1.44,7.0,3.75,1.444,7.0,3.75,1.4,1.6,2.0,1577.57,1845.29
SC0,03/08/02,Livingston,Motherwell,3,2,H,2,0,H,J Rowbotham,10.0,7.0,5.0,5.0,8.0,16.0,3.0,4.0,3,4,0,0,1.571,3.6,5.0,1.6,3.6,4.75,1.6,3.2,4.2,1.571,3.5,5.0,1.57,3.5,5.0,1.667,3.3,5.0,1.5,3.4,6.0,1.75,1.85,1641.54,1522.48
SC0,03/08/02,Partick,Dundee United,0,0,D,0,0,D,J Underhill,9.0,9.0,2.0,3.0,11.0,18.0,6.0,2.0,1,2,0,0,2.25,3.25,2.75,2.37,3.2,2.62,2.2,2.9,2.7,2.5,3.25,2.4,2.38,3.2,2.63,2.3,3.25,2.75,2.2,3.25,2.75,1.75,1.85,1543.5,1554.71
SC0,10/08/02,Aberdeen,Celtic,0,4,A,0,2,A,S Dougal,5.0,14.0,2.0,8.0,13.0,14.0,6.0,10.0,0,0,0,0,6.5,3.75,1.444,6.23,3.8,1.46,5.0,3.7,1.5,6.0,3.75,1.444,7.0,3.6,1.44,6.5,3.6,1.5,6.5,3.6,1.44,1.6,1.94,1620.83,1938.48
SC0,10/08/02,Dundee United,Kilmarnock,1,2,A,0,0,D,D McDonald,18.0,12.0,8.0,7.0,14.0,12.0,7.0,11.0,0,3,0,0,2.2,3.25,2.8,2.3,3.25,2.72,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.8,2.25,3.2,2.75,1.75,1.85,1557.84,1583.18
SC0,10/08/02,Dunfermline,Livingston,2,1,H,1,0,H,W Young,18.0,11.0,10.0,5.0,11.0,16.0,5.0,4.0,0,0,0,0,2.6,3.2,2.4,2.6,3.25,2.38,2.5,3.0,2.5,2.5,3.25,2.4,2.63,3.2,2.38,2.7,3.1,2.4,2.75,3.1,2.3,1.75,1.85,1567.87,1647.06
SC0,10/08/02,Motherwell,Partick,1,1,D,0,0,D,C Thomson,4.0,11.0,3.0,4.0,27.0,14.0,5.0,3.0,3,1,0,0,2.2,3.25,2.8,2.25,3.3,2.8,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.2,3.2,3.0,2.2,3.2,2.8,1.7,1.9,1516.96,1540.37
SC0,10/08/02,Rangers,Dundee,3,0,H,1,0,H,A Freeland,19.0,6.0,14.0,1.0,15.0,10.0,9.0,2.0,2,3,0,0,1.222,5.0,10.0,1.22,5.25,11.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.5,10.0,1.222,5.0,11.0,1.2,5.0,11.0,1.8,1.8,1839.68,1538.56
