Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC1,03/08/02,Arbroath,Ross County,0.0,3.0,A,0.0,1.0,A,2.375,3.5,2.375,2.57,3.2,2.35,2.3,2.9,2.5,2.375,3.5,2.375,2.4,3.4,2.375,2.4,3.4,2.4,1387.83,1443.15
SC1,03/08/02,Ayr,Falkirk,1.0,3.0,A,0.0,2.0,A,2.1,3.5,2.75,1.95,3.3,3.2,1.9,3.0,3.1,2.0,3.4,3.0,1.909,3.4,3.2,1.9,3.5,3.2,1467.1,1360.0
SC1,03/08/02,Inverness C,Alloa,0.0,0.0,D,0.0,0.0,D,1.833,3.5,3.4,1.8,3.4,3.6,1.8,3.0,3.5,1.8,3.5,3.5,1.7,3.6,3.75,1.72,3.6,3.75,1419.62,1352.86
SC1,03/08/02,Queen of Sth,Clyde,2.0,1.0,H,1.0,0.0,H,2.2,3.5,2.6,,,,2.2,2.9,2.7,2.2,3.5,2.625,2.2,3.4,2.6,2.2,3.3,2.7,1378.89,1418.82
SC1,03/08/02,St Mirren,St Johnstone,0.0,2.0,A,0.0,1.0,A,2.375,3.5,2.375,2.57,3.2,2.35,2.5,2.9,2.3,2.5,3.5,2.25,2.5,3.4,2.3,2.6,3.3,2.3,1383.96,1340.28
SC1,10/08/02,Alloa,Arbroath,0.0,3.0,A,0.0,1.0,A,1.909,3.5,3.2,2.0,3.4,3.2,1.9,3.2,2.9,1.833,3.4,3.5,1.85,3.5,3.25,1.9,3.5,3.2,1358.44,1373.73
SC1,10/08/02,Clyde,Ayr,1.0,0.0,H,0.0,0.0,D,2.375,3.5,2.375,,,,2.3,3.1,2.3,2.375,3.5,2.375,2.5,3.5,2.25,2.37,3.5,2.37,1408.46,1447.92
SC1,10/08/02,Falkirk,St Mirren,2.0,0.0,H,2.0,0.0,H,1.615,3.6,4.333,1.73,3.45,4.2,1.6,3.4,3.9,1.667,3.6,4.0,1.667,3.4,4.2,1.66,3.5,4.2,1379.18,1366.57
SC1,10/08/02,Ross County,Queen of Sth,2.0,0.0,H,1.0,0.0,H,1.8,3.5,3.5,1.83,3.5,3.65,1.75,3.3,3.4,1.727,3.5,3.75,1.8,3.5,3.5,1.8,3.4,3.6,1457.25,1389.25
SC1,10/08/02,St Johnstone,Inverness C,1.0,0.0,H,0.0,0.0,D,1.571,3.75,4.5,1.62,3.65,4.65,1.6,3.4,3.9,1.571,3.5,5.0,1.533,3.6,5.0,1.66,3.4,4.33,1357.67,1414.04
SC1,17/08/02,Arbroath,Clyde,1.0,1.0,D,0.0,1.0,A,2.2,3.5,2.6,,,,2.3,3.1,2.3,2.25,3.5,2.5,2.4,3.4,2.4,2.4,3.4,2.4,1389.22,1418.8
SC1,17/08/02,Ayr,Ross County,2.0,1.0,H,2.0,0.0,H,2.375,3.5,2.375,2.35,3.4,2.37,2.3,3.1,2.3,2.375,3.5,2.375,2.3,3.4,2.5,2.5,3.3,2.37,1437.58,1464.14
SC1,17/08/02,Inverness C,Falkirk,1.0,2.0,A,1.0,0.0,H,2.75,3.5,2.1,2.6,3.35,2.25,2.5,3.1,2.2,2.625,3.5,2.2,2.625,3.4,2.2,2.62,3.3,2.25,1403.1,1387.76
SC1,17/08/02,Queen of Sth,St Johnstone,0.0,0.0,D,0.0,0.0,D,2.75,3.5,2.1,3.0,3.4,2.0,2.8,3.1,2.0,2.75,3.5,2.1,3.1,3.5,1.909,3.0,3.4,2.0,1382.36,1368.61
SC1,17/08/02,St Mirren,Alloa,3.0,1.0,H,1.0,1.0,D,1.727,3.6,3.75,1.75,3.55,3.85,1.75,3.3,3.4,1.909,3.4,3.25,1.727,3.5,3.75,1.72,3.5,3.8,1357.99,1342.95
SC1,24/08/02,Alloa,Falkirk,1.0,6.0,A,1.0,2.0,A,3.75,3.6,1.727,3.75,3.45,1.86,3.6,3.3,1.7,3.5,3.5,1.8,3.75,3.5,1.75,3.5,3.4,1.83,1334.44,1404.26
SC1,24/08/02,Arbroath,St Johnstone,0.0,1.0,A,0.0,1.0,A,3.2,3.5,1.909,3.25,3.4,1.91,2.9,3.2,1.9,3.5,3.5,1.8,3.25,3.4,1.909,3.25,3.4,1.9,1386.72,1372.56
SC1,24/08/02,Clyde,St Mirren,2.0,3.0,A,0.0,2.0,A,2.2,3.5,2.6,2.2,3.45,2.6,2.2,3.1,2.5,2.25,3.4,2.625,2.2,3.5,2.6,2.2,3.5,2.62,1421.3,1366.5
SC1,24/08/02,Inverness C,Ross County,2.0,0.0,H,2.0,0.0,H,2.5,3.4,2.3,2.35,3.3,2.5,2.3,3.1,2.3,2.625,3.4,2.25,2.6,3.4,2.25,2.37,3.3,2.5,1386.6,1454.24
SC1,24/08/02,Queen of Sth,Ayr,1.0,2.0,A,0.0,1.0,A,2.375,3.5,2.375,2.3,3.4,2.5,2.3,3.1,2.3,2.25,3.5,2.5,2.4,3.4,2.4,2.3,3.4,2.5,1378.41,1447.48
SC1,31/08/02,Ayr,Arbroath,1.0,0.0,H,1.0,0.0,H,1.615,3.6,4.333,1.6,3.6,4.44,1.6,3.4,3.9,1.667,3.6,4.0,1.615,3.5,4.5,1.61,3.5,4.5,1461.09,1370.25
SC1,31/08/02,Falkirk,Queen of Sth,3.0,0.0,H,1.0,0.0,H,1.444,3.75,6.0,1.5,3.75,5.1,1.5,3.6,4.4,1.444,4.0,5.5,1.444,3.75,6.0,1.57,3.75,4.5,1417.84,1364.8
SC1,31/08/02,Ross County,Clyde,1.0,1.0,D,0.0,0.0,D,1.833,3.5,3.4,,,,1.8,3.2,3.3,1.833,3.4,3.5,1.85,3.5,3.3,1.9,3.4,3.25,1442.9,1403.57
