Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC2,03/08/02,Airdrie Utd,Forfar,1.0,0.0,H,0.0,0.0,D,2.2,3.5,2.6,2.15,3.25,2.8,2.1,3.5,2.75,2.0,3.4,2.8,,,,1260.0,1226.12
SC2,03/08/02,Brechin,Berwick,2.0,4.0,A,2.0,2.0,D,2.25,3.5,2.5,2.25,3.25,2.65,2.2,3.5,2.625,2.2,3.4,2.6,2.3,3.3,2.6,1236.74,1245.48
SC2,03/08/02,Cowdenbeath,Hamilton,1.0,3.0,A,1.0,1.0,D,2.375,3.5,2.375,2.35,3.25,2.53,2.25,3.5,2.5,2.375,3.4,2.375,2.25,3.3,2.62,1219.4,1242.46
SC2,03/08/02,Raith Rvs,Stranraer,1.0,1.0,D,1.0,0.0,H,1.615,3.6,4.333,1.65,3.6,4.1,1.615,4.0,4.0,1.571,3.6,4.5,1.66,3.6,4.0,1248.34,1206.18
SC2,03/08/02,Stenhousemuir,Dumbarton,2.0,2.0,D,0.0,0.0,D,2.0,3.4,3.0,2.0,3.3,3.1,2.2,3.5,2.625,1.95,3.5,3.0,1.83,3.5,3.4,1120.45,1189.1
SC2,10/08/02,Berwick,Raith Rvs,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,2.37,3.5,2.37,1261.19,1243.49
SC2,10/08/02,Dumbarton,Brechin,1.0,0.0,H,1.0,0.0,H,2.25,3.5,2.5,2.38,3.45,2.5,2.25,3.4,2.625,2.375,3.4,2.375,2.37,3.5,2.37,1190.22,1221.03
SC2,10/08/02,Forfar,Stenhousemuir,1.0,0.0,H,0.0,0.0,D,1.909,3.5,3.2,1.88,3.45,3.5,1.727,3.5,3.75,1.727,3.5,3.75,1.9,3.2,3.5,1218.21,1119.33
SC2,10/08/02,Hamilton,Airdrie Utd,1.0,0.0,H,0.0,0.0,D,2.375,3.5,2.375,2.43,3.45,2.45,2.25,3.5,2.5,2.375,3.4,2.375,2.5,3.5,2.25,1257.68,1267.91
SC2,10/08/02,Stranraer,Cowdenbeath,2.0,3.0,A,1.0,2.0,A,1.833,3.5,3.4,1.88,3.45,3.5,1.909,3.5,3.2,1.833,3.4,3.4,1.83,3.4,3.5,1211.03,1204.18
SC2,17/08/02,Airdrie Utd,Stranraer,2.0,1.0,H,0.0,1.0,A,1.833,3.5,3.4,1.8,3.5,3.5,1.727,3.5,3.75,1.727,3.5,3.75,1.72,3.5,3.8,1258.57,1194.8
SC2,17/08/02,Brechin,Hamilton,1.0,0.0,H,1.0,0.0,H,2.375,3.5,2.375,2.4,3.4,2.4,2.375,3.5,2.375,2.5,3.4,2.3,2.4,3.4,2.4,1210.99,1267.02
SC2,17/08/02,Cowdenbeath,Forfar,1.0,1.0,D,1.0,0.0,H,2.5,3.5,2.25,2.55,3.45,2.25,2.5,3.5,2.25,2.625,3.4,2.2,2.62,3.3,2.25,1220.41,1224.25
SC2,17/08/02,Raith Rvs,Dumbarton,1.0,0.0,H,0.0,0.0,D,1.667,3.6,4.0,1.7,3.61,3.8,1.833,3.5,3.4,1.667,3.5,4.0,1.83,3.5,3.4,1247.57,1200.26
SC2,17/08/02,Stenhousemuir,Berwick,2.0,0.0,H,1.0,0.0,H,2.5,3.4,2.3,2.55,3.4,2.25,2.5,3.5,2.25,2.6,3.4,2.2,2.7,3.3,2.2,1113.29,1257.11
SC2,24/08/02,Brechin,Forfar,1.0,0.0,H,0.0,0.0,D,2.375,3.5,2.375,2.5,3.3,2.4,2.5,3.5,2.25,2.4,3.5,2.3,2.5,3.3,2.37,1221.92,1227.62
SC2,24/08/02,Cowdenbeath,Raith Rvs,3.0,1.0,H,2.0,1.0,H,2.75,3.5,2.1,2.7,3.4,2.2,2.625,3.5,2.2,2.875,3.5,2.0,2.62,3.5,2.2,1217.04,1255.07
SC2,24/08/02,Dumbarton,Airdrie Utd,3.0,1.0,H,1.0,0.0,H,2.375,3.5,2.375,2.55,3.4,2.3,2.2,3.5,2.625,2.4,3.5,2.3,2.6,3.4,2.25,1192.76,1265.58
SC2,24/08/02,Hamilton,Berwick,1.0,2.0,A,1.0,1.0,D,2.2,3.5,2.6,2.25,3.4,2.6,2.1,3.5,2.75,2.25,3.4,2.5,2.3,3.4,2.5,1256.09,1243.04
SC2,24/08/02,Stenhousemuir,Stranraer,2.0,0.0,H,1.0,0.0,H,2.1,3.5,2.75,2.02,3.4,3.05,2.1,3.5,2.75,1.909,3.5,3.1,1.83,3.4,3.5,1127.36,1187.79
SC2,31/08/02,Airdrie Utd,Cowdenbeath,0.0,0.0,D,0.0,0.0,D,2.0,3.4,3.0,1.9,3.5,3.15,1.833,3.5,3.4,1.9,3.4,3.2,2.0,3.4,3.0,1254.06,1227.33
SC2,31/08/02,Berwick,Dumbarton,1.0,2.0,A,0.0,2.0,A,2.0,3.4,3.0,1.9,3.5,3.15,2.1,3.25,2.875,2.0,3.5,2.875,1.8,3.5,3.5,1259.47,1204.28
SC2,31/08/02,Forfar,Hamilton,1.0,1.0,D,1.0,1.0,D,2.1,3.5,2.75,2.05,3.5,2.85,2.1,3.5,2.75,2.05,3.5,2.75,2.0,3.4,3.0,1218.43,1239.66
SC2,31/08/02,Raith Rvs,Stenhousemuir,1.0,0.0,H,0.0,0.0,D,1.8,3.5,3.5,1.9,3.5,3.15,1.8,3.5,3.5,1.9,3.4,3.2,2.1,3.4,2.8,1244.78,1138.44
SC2,31/08/02,Stranraer,Brechin,3.0,1.0,H,1.0,0.0,H,2.5,3.4,2.3,2.5,3.5,2.25,2.5,3.5,2.25,2.5,3.4,2.25,2.5,3.4,2.3,1176.71,1231.11
SC2,14/09/02,Berwick,Stranraer,3.0,4.0,A,2.0,3.0,A,1.833,3.5,3.4,1.81,3.6,3.25,1.909,3.4,3.25,1.8,3.4,3.5,1.8,3.6,3.4,1241.73,1187.58
SC2,14/09/02,Brechin,Cowdenbeath,0.0,0.0,D,0.0,0.0,D,2.25,3.5,2.5,2.25,3.5,2.45,2.25,3.5,2.5,2.2,3.6,2.5,2.2,3.5,2.62,1220.24,1231.7
