Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
SP1,31/08/02,Santander,Valladolid,0,1,A,0,0,D,1.909,3.25,3.4,2.05,3.2,3.4,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.2,3.4,2.0,3.1,3.3,1.75,1.85,,,1657.96,1635.65
SP1,01/09/02,Barcelona,Ath Madrid,2,2,D,1,1,D,1.5,3.4,6.0,1.5,3.65,6.5,1.55,3.5,4.8,1.571,3.25,5.5,1.5,3.5,6.0,1.571,3.3,6.0,1.53,3.4,5.5,1.7,1.9,,,1760.56,1665.39
SP1,01/09/02,La Coruna,Betis,2,4,A,1,3,A,1.5,3.4,6.0,1.46,3.65,7.5,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.5,6.5,1.53,3.4,5.5,1.9,1.7,,,1795.0,1710.33
SP1,01/09/02,Mallorca,Valencia,0,2,A,0,1,A,2.875,3.0,2.25,2.8,3.15,2.34,2.5,3.0,2.5,2.875,3.0,2.25,2.75,3.0,2.38,2.875,3.0,2.375,2.62,3.1,2.37,2.05,1.6,,,1678.86,1829.72
SP1,01/09/02,Recreativo,Malaga,2,3,A,2,1,H,2.5,3.1,2.5,2.45,3.2,2.6,2.3,3.0,2.7,2.625,2.875,2.5,2.5,3.0,2.6,2.5,3.1,2.6,2.3,3.1,2.75,1.9,1.7,,,1626.83,1715.38
SP1,01/09/02,Sevilla,Celta,0,1,A,0,1,A,2.375,3.1,2.625,2.3,3.2,2.83,2.4,3.0,2.6,2.25,3.0,2.875,2.25,3.1,2.8,2.3,3.1,2.875,2.25,3.1,2.8,1.85,1.75,,,1689.33,1727.7
SP1,01/09/02,Sociedad,Ath Bilbao,4,2,H,2,1,H,2.2,3.0,3.0,2.22,3.25,2.92,2.1,3.0,3.1,2.1,3.2,3.0,2.25,3.0,3.0,2.25,3.1,3.0,2.25,3.1,2.8,1.75,1.85,,,1674.6,1648.9
SP1,01/09/02,Vallecano,Alaves,2,2,D,1,1,D,2.2,3.0,3.0,2.2,3.2,2.95,2.3,3.0,2.7,2.1,3.2,3.0,2.25,3.1,2.8,2.3,3.1,2.875,2.2,3.1,2.87,2.05,1.6,,,1689.36,1647.57
SP1,01/09/02,Villarreal,Osasuna,2,2,D,2,0,H,1.727,3.2,4.333,1.75,3.25,4.42,1.65,3.3,4.4,1.667,3.25,4.5,1.8,3.2,4.0,1.8,3.2,4.2,1.66,3.3,4.5,,,,,1629.94,1618.07
SP1,02/09/02,Real Madrid,Espanol,2,0,H,1,0,H,1.25,4.5,10.0,1.25,4.81,10.5,1.2,5.0,10.0,1.25,4.5,10.0,,,,1.286,4.333,10.0,1.25,4.5,10.0,1.6,2.1,,,1783.38,1642.52
SP1,14/09/02,Ath Bilbao,Barcelona,0,2,A,0,2,A,3.0,3.0,2.2,3.0,3.15,2.43,3.1,3.0,2.1,2.8,3.2,2.2,2.8,3.2,2.25,2.9,3.2,2.25,2.75,3.1,2.3,1.65,1.95,,,1640.73,1754.19
SP1,14/09/02,Malaga,Vallecano,2,1,H,0,1,A,1.727,3.2,4.333,1.7,3.35,4.6,1.7,3.2,4.2,1.667,3.25,4.5,1.67,3.2,5.0,1.7,3.2,5.0,1.61,3.3,5.0,1.8,1.8,,,1728.29,1684.52
SP1,14/09/02,Osasuna,La Coruna,1,2,A,1,0,H,2.875,3.0,2.25,2.92,3.21,2.4,3.1,3.0,2.1,2.8,3.2,2.2,2.88,3.2,2.2,3.0,3.2,2.2,2.8,3.1,2.25,1.8,1.85,,,1621.96,1776.42
SP1,14/09/02,Valencia,Recreativo,3,0,H,1,0,H,1.25,4.5,10.0,1.31,4.65,10.0,1.25,4.5,9.0,1.25,4.5,10.0,1.29,4.5,8.5,1.286,4.5,10.0,1.28,4.5,8.0,1.65,1.95,,,1840.4,1613.92
SP1,15/09/02,Alaves,Santander,0,1,A,0,1,A,1.667,3.25,4.5,1.73,3.35,4.85,1.65,3.3,4.4,1.615,3.25,5.0,1.62,3.4,5.0,1.667,3.3,5.0,1.66,3.3,4.5,1.9,1.7,,,1652.41,1641.23
SP1,15/09/02,Ath Madrid,Sevilla,1,1,D,0,1,A,1.615,3.25,5.0,1.67,3.35,4.85,1.75,3.2,4.0,1.667,3.25,4.5,1.62,3.4,5.0,1.615,3.4,5.0,1.61,3.3,5.0,1.7,1.9,,,1671.76,1674.64
SP1,15/09/02,Celta,Mallorca,3,1,H,2,0,H,1.571,3.5,5.0,1.57,3.5,5.6,1.55,3.5,4.8,1.571,3.25,5.5,1.57,3.4,5.5,1.6,3.4,5.5,1.53,3.4,5.5,1.8,1.85,,,1742.39,1668.18
SP1,15/09/02,Espanol,Sociedad,1,3,A,0,1,A,1.909,3.2,3.5,2.1,3.2,3.45,2.1,3.0,3.1,2.1,3.2,3.0,1.91,3.25,3.5,1.95,3.25,3.5,1.83,3.2,3.75,1.7,1.9,,,1637.52,1682.77
SP1,15/09/02,Valladolid,Villarreal,1,0,H,1,0,H,1.909,3.2,3.5,1.95,3.2,3.6,1.9,3.1,3.5,1.8,3.2,4.0,2.0,3.0,3.5,1.95,3.1,3.6,2.0,3.1,3.3,1.85,1.75,,,1652.38,1626.05
