Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
B1,08/08/03,Club Brugge,Genk,1,0,H,0,0,D,1.4,3.75,7.0,1.4,3.8,6.85,1.45,3.8,5.4,1.44,3.75,6.5,,,,1.4,2.5,,,,,,,,,,,,,,,,,,,,,,,1789.58,1662.14
B1,09/08/03,Anderlecht,Antwerp,3,1,H,2,1,H,1.167,6.0,10.0,1.2,5.5,9.25,1.3,4.2,8.0,1.2,5.5,10.0,1.22,5.0,9.5,1.4,2.5,,,,,,,,,,,,,,,,,,,,,,,1776.09,1472.29
B1,09/08/03,Charleroi,Lierse,0,1,A,0,0,D,2.5,3.5,2.25,2.5,3.35,2.35,2.9,3.2,2.1,2.62,3.4,2.25,2.5,3.4,2.3,1.55,2.1,,,,,,,,,,,,,,,,,,,,,,,1466.59,1590.52
B1,09/08/03,Germinal,Bergen,1,0,H,0,0,D,1.909,3.5,3.2,1.85,3.35,3.5,1.9,3.4,3.2,1.9,3.4,3.4,1.9,3.5,3.2,1.65,1.95,,,,,,,,,,,,,,,,,,,,,,,1504.57,1510.54
B1,09/08/03,Lokeren,St Truiden,0,0,D,0,0,D,1.727,3.6,3.75,1.8,3.4,3.65,1.9,3.4,3.2,1.72,3.5,4.0,1.66,3.6,4.0,1.6,2.05,,,,,,,,,,,,,,,,,,,,,,,1643.18,1621.03
B1,09/08/03,Westerlo,Louvieroise,0,0,D,0,0,D,1.8,3.5,3.5,1.85,3.45,3.5,1.85,3.3,3.4,1.8,3.5,3.6,1.72,3.5,3.8,1.6,2.05,,,,,,,,,,,,,,,,,,,,,,,1520.55,1481.03
B1,10/08/03,Beveren,Gent,2,4,A,2,2,D,2.25,3.5,2.5,2.35,3.35,2.5,2.3,3.4,2.3,2.25,3.5,2.6,2.3,3.4,2.5,1.55,2.15,,,,,,,,,,,,,,,,,,,,,,,1440.27,1585.71
B1,10/08/03,Heusden Zolder,Cercle Brugge,0,0,D,0,0,D,2.1,3.5,2.75,2.05,3.45,2.9,2.1,3.3,2.8,2.1,3.4,2.87,2.0,3.4,3.0,1.65,1.95,,,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
B1,10/08/03,Mouscron,Standard,2,2,D,1,2,A,2.5,3.5,2.25,2.55,3.5,2.25,2.5,3.3,2.2,2.62,3.4,2.25,2.62,3.5,2.2,1.55,2.15,,,,,,,,,,,,,,,,,,,,,,,1494.73,1623.96
B1,16/08/03,Antwerp,Westerlo,2,1,H,1,0,H,2.1,3.5,2.75,2.0,3.2,3.2,2.3,3.1,2.6,2.1,3.25,3.0,1.85,3.4,3.3,1.4,2.45,,,,,,,,,,,,,,,,,,,,,,,1470.06,1515.78
B1,16/08/03,Beveren,St Truiden,1,4,A,1,1,D,2.5,3.4,2.3,2.55,3.2,2.4,2.2,3.1,2.8,2.5,3.3,2.4,2.35,3.4,2.4,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1429.4,1625.25
B1,16/08/03,Genk,Charleroi,2,0,H,0,0,D,1.333,4.333,7.0,1.33,4.2,7.25,1.4,3.9,6.0,1.36,4.0,7.5,1.3,4.4,7.0,1.35,2.75,,,,,,,,,,,,,,,,,,,,,,,1656.82,1454.95
B1,16/08/03,Gent,Anderlecht,1,3,A,1,1,D,3.5,3.5,1.8,3.35,3.3,1.9,2.9,3.2,2.1,3.5,3.5,1.83,3.5,3.5,1.8,1.5,2.3,,,,,,,,,,,,,,,,,,,,,,,1596.58,1778.32
B1,16/08/03,Louvieroise,Heusden Zolder,2,0,H,2,0,H,1.8,3.5,3.5,1.75,3.4,3.85,1.75,3.3,3.8,1.75,3.6,3.75,1.7,3.5,3.8,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1485.8,1496.5
B1,17/08/03,Bergen,Mouscron,3,3,D,2,1,H,2.1,3.5,2.75,2.1,3.2,3.0,2.0,3.2,3.1,2.1,3.4,2.87,2.05,3.45,2.8,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1501.34,1495.78
