Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,EloHome,EloAway
E3,09/08/03,Carlisle,York,1,2,A,1,2,A,Alan Butler,16,6,9,5,10,10,11,1,2,2,1,1,2.1,3.25,3.0,2.12,3.2,3.12,2.1,3.1,2.7,2.2,3.25,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2,,,,,,,,,1101.06,1154.84
E3,09/08/03,Huddersfield,Cambridge,2,2,D,1,1,D,Nigel Miller,7,10,5,4,12,5,0,6,2,1,0,0,1.727,3.5,4.0,1.75,3.4,4.2,1.8,3.2,3.3,1.727,3.5,3.75,1.7,3.4,4.33,1.7,3.4,4.33,1.72,3.4,4.0,,,,,,,,,1220.51,1130.73
E3,09/08/03,Hull,Darlington,4,1,H,1,1,D,M Cooper,16,8,13,5,14,12,8,7,0,3,0,0,1.615,3.4,5.0,1.68,3.45,4.65,1.7,3.3,3.6,1.571,3.5,5.0,1.62,3.4,5.0,1.61,3.4,5.0,1.66,3.4,4.33,,,,,,,,,1137.68,1118.09
E3,09/08/03,Kidderminster,Mansfield,2,1,H,1,0,H,Steve Tanner,6,15,2,8,14,14,5,11,1,4,0,0,2.25,3.25,2.75,2.3,3.2,2.8,2.1,3.1,2.7,2.25,3.4,2.625,2.1,3.25,3.0,2.1,3.25,3.0,2.25,3.2,2.75,,,,,,,,,1146.66,1165.11
E3,09/08/03,Leyton Orient,Doncaster,1,3,A,0,1,A,Ray Olivier,14,11,8,6,8,6,8,3,1,1,0,0,1.909,3.25,3.5,1.95,3.2,3.6,1.9,3.2,2.9,2.0,3.2,3.2,1.83,3.25,3.75,1.83,3.3,3.75,2.0,3.2,3.2,,,,,,,,,1101.13,1240.0
E3,09/08/03,Lincoln,Oxford,0,1,A,0,1,A,Andre Marriner,5,13,1,3,6,18,3,4,2,2,1,0,2.25,3.25,2.75,2.4,3.2,2.65,2.2,3.1,2.5,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.37,3.1,2.62,,,,,,,,,1183.56,1150.51
E3,09/08/03,Macclesfield,Boston,0,0,D,0,0,D,Martin Atkinson,7,13,3,4,7,10,2,3,2,2,0,0,2.2,3.25,2.8,2.1,3.2,3.2,2.0,3.1,2.8,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.0,2.0,3.2,3.2,,,,,,,,,1137.6,1172.91
E3,09/08/03,Northampton,Torquay,0,1,A,0,0,D,Lee Probert,8,12,6,3,14,15,4,4,1,1,0,0,1.667,3.4,4.5,1.66,3.35,4.9,1.75,3.3,3.4,1.615,3.5,4.5,1.7,3.4,4.33,1.7,3.4,4.33,1.61,3.3,5.0,,,,,,,,,1129.63,1156.59
E3,09/08/03,Rochdale,Yeovil,1,3,A,1,1,D,Mark Warren,16,11,5,4,11,8,7,3,5,2,0,0,2.5,3.2,2.5,2.52,3.2,2.52,2.3,3.1,2.3,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,,,,,,,,,1112.35,1240.0
E3,09/08/03,Scunthorpe,Bristol Rvs,1,2,A,0,1,A,Kevin Friend,11,6,4,3,16,19,12,4,1,0,0,0,1.833,3.25,3.75,1.95,3.25,3.55,1.9,3.2,2.9,1.8,3.25,3.75,1.8,3.25,4.0,1.8,3.25,4.0,2.0,3.2,3.2,,,,,,,,,1220.57,1123.61
E3,09/08/03,Southend,Cheltenham,2,0,H,1,0,H,Kevin Wright,20,6,13,5,14,15,4,4,1,2,0,0,2.375,3.2,2.625,2.4,3.3,2.6,2.2,3.1,2.5,2.25,3.4,2.625,2.38,3.2,2.62,2.37,3.2,2.62,2.37,3.1,2.62,,,,,,,,,1077.65,1231.94
E3,09/08/03,Swansea,Bury,4,2,H,1,1,D,Trevor Kettle,18,10,13,3,8,16,8,2,1,3,0,0,2.3,3.2,2.7,2.3,3.3,2.75,2.1,3.1,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.0,3.2,3.2,,,,,,,,,1106.73,1195.08
E3,16/08/03,Boston,Huddersfield,2,2,D,1,0,H,David Crick,10,13,5,7,13,8,4,6,1,0,0,0,2.5,3.2,2.5,2.4,3.2,2.6,2.3,3.0,2.4,2.4,3.25,2.5,2.38,3.2,2.62,2.37,3.2,2.62,2.37,3.1,2.62,,,,,,,,,1175.21,1214.29
E3,16/08/03,Bristol Rvs,Rochdale,0,0,D,0,0,D,P Taylor,13,11,5,6,17,8,6,5,2,2,1,0,1.727,3.5,4.0,1.65,3.4,4.65,1.6,3.3,4.0,1.727,3.4,4.0,1.67,3.4,4.33,1.7,3.4,4.33,1.57,3.5,5.0,,,,,,,,,1142.52,1100.84
E3,16/08/03,Bury,Scunthorpe,2,3,A,1,1,D,Alan Butler,13,12,6,7,17,10,7,7,2,4,0,0,2.25,3.25,2.75,2.25,3.2,2.8,2.2,3.0,2.6,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.37,3.1,2.62,,,,,,,,,1183.0,1201.66
E3,16/08/03,Cambridge,Macclesfield,3,1,H,1,0,H,Trevor Kettle,16,18,9,11,21,16,5,5,1,1,0,0,1.8,3.4,3.75,1.8,3.3,3.9,1.85,3.1,3.2,1.8,3.25,3.75,1.8,3.25,4.0,1.8,3.25,4.0,1.9,3.25,3.4,,,,,,,,,1136.95,1135.3
E3,16/08/03,Cheltenham,Swansea,3,4,A,2,1,H,A Bates,17,17,7,12,14,11,8,6,2,3,0,0,2.0,3.25,3.25,1.85,3.3,3.7,2.0,3.0,2.9,2.1,3.2,3.0,1.83,3.25,3.75,1.83,3.25,3.75,2.2,3.2,2.8,,,,,,,,,1217.5,1118.81
