Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,EloHome,EloAway
I1,30/08/03,Reggina,Sampdoria,2,2,D,2,0,H,2.25,3.0,3.1,2.3,2.9,3.1,2.2,2.7,3.2,2.2,3.0,3.0,2.25,3.0,3.0,2.25,3.0,3.0,2.2,2.87,3.1,1.9,1.79,1.83,1.83,2.0,1.8,-0.25,2.05,1.8,-0.25,2.075,1.825,-0.25,,1681.85,1656.87
I1,31/08/03,Bologna,Parma,2,2,D,1,1,D,2.3,3.0,3.0,2.35,2.9,3.0,2.2,2.8,3.1,2.25,3.0,2.875,2.25,3.0,3.0,2.25,3.0,3.0,2.25,2.87,3.0,1.9,1.79,1.9,1.8,2.1,1.75,-0.25,2.1,1.75,-0.25,1.75,2.15,0.0,,1676.59,1785.02
I1,31/08/03,Brescia,Chievo,1,1,D,0,1,A,2.375,3.0,2.875,2.35,2.9,3.0,2.3,2.7,3.0,2.25,3.0,2.875,2.3,3.0,2.88,2.3,3.0,2.87,2.25,3.0,2.87,1.9,1.79,2.0,1.72,2.05,1.77,-0.25,2.1,1.75,-0.25,1.75,2.15,0.0,,1713.86,1756.97
I1,31/08/03,Inter,Modena,2,0,H,0,0,D,1.25,5.0,10.0,1.25,4.5,11.0,1.3,4.2,8.0,1.25,4.5,10.0,1.22,5.0,10.0,1.22,4.8,11.0,1.25,4.5,10.0,1.65,2.05,1.8,1.9,1.85,1.95,-1.5,1.9,1.95,-1.5,1.925,1.975,-1.5,,1836.63,1662.9
I1,31/08/03,Juventus,Empoli,5,1,H,1,0,H,1.222,5.0,13.0,1.25,4.5,11.0,1.25,4.5,9.0,1.25,4.5,10.0,1.22,5.0,10.0,1.22,4.8,11.0,1.2,5.0,11.0,1.55,2.25,1.72,2.0,1.85,1.95,-1.5,1.85,2.0,-1.5,1.875,2.025,-1.5,,1917.93,1654.4
I1,31/08/03,Lazio,Lecce,4,1,H,3,0,H,1.333,4.0,10.0,1.4,3.75,7.7,1.35,4.0,7.0,1.333,3.75,9.0,1.33,4.0,8.5,1.33,4.0,8.5,1.36,3.6,9.0,1.6,2.15,1.8,1.9,1.8,2.0,-1.25,2.05,1.8,-1.5,1.9,2.0,-1.25,,1834.41,1646.52
I1,31/08/03,Perugia,Siena,2,2,D,2,1,H,1.667,3.2,5.5,1.67,3.2,5.25,1.7,3.1,4.4,1.667,2.875,5.5,1.67,3.2,5.0,1.66,3.2,5.0,1.66,3.1,5.0,1.9,1.79,1.9,1.8,1.8,2.0,-0.75,1.85,2.0,-0.75,1.9,2.0,-0.75,,1697.0,1669.51
I1,31/08/03,Udinese,Roma,1,2,A,1,1,D,2.6,3.2,2.5,2.55,3.0,2.65,2.5,3.0,2.5,2.4,3.0,2.625,2.6,2.88,2.6,2.6,2.87,2.6,2.5,2.9,2.62,1.75,1.95,1.9,1.8,1.8,2.0,0.0,1.9,1.95,0.0,1.9,2.0,0.0,,1759.48,1795.8
I1,01/09/03,Ancona,Milan,0,2,A,0,1,A,5.0,3.1,1.727,5.25,3.2,1.67,4.2,3.2,1.7,4.5,3.25,1.667,5.0,3.2,1.67,5.0,3.2,1.66,4.5,3.1,1.72,1.79,1.9,1.83,1.83,1.7,2.1,1.0,2.0,1.85,0.75,2.0,1.9,0.75,,1609.44,1786.6
I1,13/09/03,Milan,Bologna,2,1,H,1,1,D,1.33,4.33,8.5,1.36,4.0,8.5,1.35,3.8,7.5,1.364,3.75,8.0,1.36,4.0,7.5,1.36,4.0,7.5,1.36,3.75,8.0,1.75,1.95,1.8,1.9,2.0,1.8,-1.25,2.0,1.85,-1.25,1.8,2.1,-1.0,,1796.37,1676.89
I1,13/09/03,Sampdoria,Lazio,1,2,A,0,1,A,3.1,3.0,2.25,3.0,3.0,2.3,3.1,2.8,2.2,2.875,3.0,2.25,3.0,3.0,2.25,3.0,3.0,2.25,2.8,2.9,2.37,1.9,1.79,2.0,1.72,1.8,2.0,0.25,1.85,2.0,0.25,1.9,2.0,0.25,,1661.18,1838.41
I1,14/09/03,Chievo,Juventus,1,2,A,1,1,D,4.0,3.25,1.83,4.2,3.1,1.85,3.6,3.0,1.9,4.0,3.0,1.833,4.0,3.25,1.8,4.0,3.1,1.85,4.0,2.87,1.9,1.75,1.95,1.83,1.83,1.95,1.85,0.5,2.0,1.85,0.5,1.975,1.925,0.5,,1759.0,1920.68
I1,14/09/03,Empoli,Reggina,1,1,D,1,1,D,2.0,3.0,3.75,2.05,2.9,3.7,1.9,2.8,4.0,2.1,3.0,3.2,2.0,3.0,3.5,2.0,3.0,3.5,2.0,2.87,3.6,2.05,1.65,2.0,1.72,2.05,1.77,-0.5,2.1,1.75,-0.5,2.05,1.85,-0.5,,1651.65,1677.54
I1,14/09/03,Lecce,Ancona,3,1,H,1,0,H,1.8,3.2,4.33,1.85,3.0,4.35,1.8,2.9,4.2,1.8,3.0,4.333,1.83,3.0,4.33,1.83,2.9,4.33,1.9,2.87,4.0,2.05,1.65,2.0,1.72,1.85,1.95,-0.5,1.75,2.1,-0.5,1.875,2.025,-0.5,,1642.52,1599.67
I1,14/09/03,Modena,Udinese,0,1,A,0,0,D,2.4,3.1,2.75,2.5,2.85,2.85,2.4,2.8,2.8,2.375,3.0,2.75,2.5,3.0,2.62,2.5,3.0,2.6,2.37,3.0,2.7,2.0,1.71,2.1,1.66,1.77,2.05,0.0,1.75,2.1,0.0,1.875,2.025,-0.5,,1658.61,1744.71
I1,14/09/03,Parma,Perugia,3,0,H,1,0,H,1.66,3.4,5.0,1.65,3.25,5.3,1.6,3.2,5.0,1.533,3.25,6.0,1.67,3.2,5.0,1.66,3.2,5.0,1.53,3.25,6.0,1.85,1.85,1.8,1.9,1.85,1.95,-0.75,1.85,2.0,-0.75,1.825,2.075,-0.75,,1784.72,1692.61
I1,14/09/03,Roma,Brescia,5,0,H,3,0,H,1.4,3.75,8.5,1.4,3.8,8.0,1.4,3.7,6.5,1.4,3.5,8.0,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8.0,1.71,2.0,1.8,1.9,1.9,1.9,-1.25,1.9,1.95,-1.25,2.0,1.9,-1.25,,1810.57,1711.83
I1,14/09/03,Siena,Inter,0,1,A,0,1,A,4.33,3.2,1.8,4.5,3.1,1.8,4.0,3.0,1.8,4.333,3.2,1.727,4.33,3.0,1.8,4.2,3.1,1.8,5.0,2.9,1.72,1.85,1.85,1.83,1.83,2.0,1.8,0.5,1.95,1.9,0.5,2.025,1.875,0.5,,1673.9,1840.92
I1,20/09/03,Ancona,Modena,1,1,D,0,0,D,2.2,3.0,3.2,2.2,2.9,3.2,2.2,2.8,3.1,2.1,3.0,3.2,2.2,2.88,3.2,2.2,2.87,3.2,2.1,2.87,3.3,2.05,1.65,2.0,1.72,2.0,1.8,-0.25,,,,2.025,1.875,-0.25,,1592.04,1645.61
I1,20/09/03,Siena,Empoli,4,0,H,2,0,H,2.1,3.0,3.5,2.0,2.95,3.65,2.0,2.9,3.4,2.0,3.0,3.4,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.75,3.5,2.05,1.65,2.0,1.72,1.75,2.05,-0.25,2.05,1.8,-0.5,2.1,1.8,-0.5,,1663.78,1649.02
I1,21/09/03,Bologna,Udinese,2,0,H,0,0,D,2.1,3.0,3.5,2.1,2.95,3.35,2.1,2.8,3.3,2.1,3.0,3.2,2.0,3.0,3.5,2.0,3.0,3.5,2.0,2.87,3.6,1.85,1.85,2.0,1.72,1.85,1.95,-0.25,1.85,2.0,-0.25,1.9,2.0,-0.25,,1671.38,1757.71
I1,21/09/03,Brescia,Reggina,4,4,D,1,2,A,1.9,3.1,4.0,1.95,3.0,3.75,1.9,2.9,3.8,1.833,3.0,4.0,1.83,3.1,4.0,1.83,3.1,4.0,1.83,3.0,4.0,2.0,1.71,1.9,1.8,1.9,1.9,-0.5,1.95,1.9,-0.5,2.1,1.8,-0.5,,1705.79,1680.17
I1,21/09/03,Inter,Sampdoria,0,0,D,0,0,D,1.4,4.0,7.5,1.4,3.75,7.6,1.35,4.0,7.0,1.364,3.6,9.0,1.33,4.0,8.5,1.33,4.2,8.0,1.33,4.0,8.0,1.65,2.05,1.8,1.9,2.15,1.7,-1.5,1.85,2.0,-1.25,1.9,2.0,-1.25,,1851.04,1651.41
I1,21/09/03,Juventus,Roma,2,2,D,2,1,H,1.9,3.1,4.0,1.85,3.1,4.0,1.9,2.9,3.8,1.8,3.2,4.0,1.8,3.1,4.2,1.8,3.1,4.2,,,,1.75,1.95,1.9,1.8,2.15,1.7,-0.75,1.95,1.9,-0.5,2.0,1.9,-0.5,,1930.98,1816.61
I1,21/09/03,Lazio,Parma,2,3,A,1,1,D,1.72,3.1,5.0,1.7,3.15,4.85,1.7,3.1,4.4,1.667,3.25,4.5,1.73,3.2,4.5,1.72,3.2,4.5,1.72,3.2,4.33,1.71,2.0,1.8,1.9,2.0,1.8,-0.75,1.8,2.05,-0.5,1.85,2.05,-0.5,,1848.18,1790.94
I1,21/09/03,Lecce,Chievo,1,2,A,0,0,D,2.37,3.0,2.87,2.37,2.95,2.85,2.3,2.8,2.9,2.375,3.0,2.75,2.38,3.0,2.75,2.4,3.0,2.75,2.4,2.9,2.75,1.9,1.79,1.9,1.8,2.05,1.75,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,,1650.15,1748.7
I1,21/09/03,Perugia,Milan,1,1,D,1,1,D,4.0,3.1,1.9,4.0,3.1,1.85,3.4,2.9,2.0,3.75,3.0,1.909,3.75,3.1,1.91,3.75,3.1,1.9,4.0,3.1,1.8,1.85,1.85,1.9,1.8,1.7,2.15,0.75,1.9,1.95,0.5,1.95,1.95,0.5,,1686.39,1801.88
I1,27/09/03,Reggina,Juventus,0,2,A,0,1,A,4.5,3.2,1.72,4.5,3.15,1.75,4.0,3.2,1.75,4.333,3.2,1.727,4.5,3.5,1.67,4.5,3.2,1.72,4.5,3.1,1.72,1.75,1.95,1.83,1.83,2.08,1.75,0.5,2.05,1.8,0.5,2.05,1.85,0.5,,1684.5,1924.12
I1,27/09/03,Udinese,Inter,0,0,D,0,0,D,3.25,3.0,2.1,3.2,3.1,2.1,2.8,2.9,2.3,3.0,3.0,2.2,3.25,3.0,2.1,3.25,3.0,2.1,3.4,3.0,2.0,1.79,1.85,1.83,1.83,1.9,1.9,0.25,1.95,1.9,0.25,1.975,1.925,0.25,,1745.7,1842.32
I1,28/09/03,Chievo,Perugia,4,1,H,1,0,H,1.8,3.0,4.33,1.8,3.0,4.5,1.8,3.0,4.0,1.667,3.25,4.5,1.8,3.0,4.33,1.83,3.0,4.2,1.8,3.1,4.0,1.71,2.0,1.8,1.9,2.3,1.55,-1.0,1.75,2.1,-0.5,1.85,2.05,-0.5,,1761.25,1686.95
I1,28/09/03,Empoli,Lazio,2,2,D,0,1,A,4.5,3.2,1.72,4.75,3.2,1.7,4.2,3.2,1.7,4.0,3.2,1.8,4.5,3.0,1.8,4.5,3.0,1.8,4.5,3.1,1.72,1.71,2.0,1.8,1.9,1.8,2.0,0.75,1.85,2.0,0.75,2.1,1.8,0.5,,1640.5,1830.38
I1,28/09/03,Milan,Lecce,3,0,H,1,0,H,1.22,5.0,10.0,1.22,5.0,11.0,1.25,4.5,9.0,1.222,5.0,10.0,1.22,5.0,10.0,1.22,5.0,10.0,1.2,5.0,11.0,1.5,2.35,1.72,2.0,1.9,1.9,-1.5,2.0,1.85,-1.5,1.95,1.95,-1.5,,1801.32,1637.6
I1,28/09/03,Modena,Bologna,2,0,H,2,0,H,2.4,2.9,2.8,2.5,2.95,2.7,2.5,2.8,2.7,2.375,3.0,2.75,2.5,2.88,2.75,2.5,2.87,2.75,2.37,2.9,2.8,2.0,1.71,1.9,1.8,1.8,2.0,0.0,1.75,2.1,0.0,1.8,2.1,0.0,,1647.27,1683.39
I1,28/09/03,Parma,Siena,1,1,D,0,1,A,1.5,3.4,6.5,1.51,3.3,6.75,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.5,7.0,1.44,3.6,7.0,1.44,3.5,7.0,1.65,2.05,1.8,1.9,1.9,1.9,-1.0,1.85,2.0,-1.0,1.925,1.975,-1.0,,1808.74,1672.3
I1,28/09/03,Roma,Ancona,3,0,H,0,0,D,1.16,5.5,13.0,1.2,5.0,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.17,5.5,13.0,1.16,5.5,13.0,1.16,5.5,12.0,1.4,2.65,1.66,2.1,1.8,2.0,-1.75,1.9,1.95,-2.0,1.775,2.125,-1.75,,1823.47,1590.38
I1,28/09/03,Sampdoria,Brescia,2,1,H,0,0,D,1.8,3.0,4.33,1.77,3.05,4.6,1.9,3.0,3.6,1.833,3.2,3.75,1.8,3.0,4.33,1.8,3.1,4.2,1.83,3.0,4.0,1.95,1.75,1.9,1.8,1.78,2.03,-0.5,2.05,1.8,-0.75,1.8,2.1,-0.5,,1660.13,1701.46
I1,05/10/03,Ancona,Udinese,0,3,A,0,2,A,3.0,3.0,2.25,3.1,3.0,2.25,3.0,2.9,2.2,2.8,2.875,2.375,3.0,2.88,2.3,3.0,2.87,2.3,2.7,3.0,2.37,2.0,1.71,2.0,1.72,1.9,1.9,0.25,1.9,1.95,0.25,1.95,1.95,0.25,,1587.18,1745.58
I1,05/10/03,Empoli,Modena,0,3,A,0,0,D,2.1,3.0,3.25,2.15,3.0,3.3,2.1,2.8,3.3,2.1,3.0,3.2,2.1,2.88,3.4,2.1,2.87,3.4,2.1,2.87,3.3,2.15,1.6,2.0,1.72,1.9,1.9,-0.25,1.9,1.95,-0.25,1.85,2.05,-0.25,,1643.66,1657.5
I1,05/10/03,Inter,Milan,1,3,A,0,1,A,2.62,2.8,2.62,2.65,2.8,2.7,2.6,2.8,2.6,2.5,2.875,2.625,2.6,2.88,2.6,2.6,2.87,2.6,2.6,2.8,2.6,2.0,1.71,1.9,1.8,1.9,1.9,0.0,1.95,1.9,0.0,1.975,1.925,0.0,,1842.44,1805.81
I1,05/10/03,Juventus,Bologna,2,1,H,1,1,D,1.3,4.33,9.0,1.35,4.0,9.0,1.3,4.0,8.5,1.364,3.6,9.0,1.3,4.33,8.5,1.3,4.33,8.5,1.3,4.2,8.5,1.85,1.85,1.72,2.0,1.8,2.0,-1.25,2.05,1.8,-1.5,1.8,2.1,-1.25,,1931.85,1673.16
I1,05/10/03,Lazio,Chievo,1,0,H,0,0,D,1.61,3.2,5.5,1.71,3.15,5.0,1.7,3.1,4.4,1.667,3.25,4.5,1.62,3.2,5.5,1.61,3.2,5.5,1.57,3.3,5.5,1.65,2.05,1.72,2.0,2.0,1.8,-0.75,2.0,1.85,-0.75,1.95,1.95,-0.75,,1827.22,1767.96
I1,05/10/03,Lecce,Brescia,1,4,A,1,1,D,2.1,3.0,3.25,2.1,3.0,3.4,2.1,2.8,3.3,2.0,3.0,3.4,2.0,3.0,3.5,2.0,3.0,3.5,2.2,2.87,3.1,2.0,1.71,1.9,1.8,1.85,1.95,-0.25,,,,2.125,1.775,-0.5,,1633.11,1691.05
I1,05/10/03,Parma,Sampdoria,1,0,H,1,0,H,1.61,3.2,5.5,1.71,3.15,5.0,1.65,3.2,4.6,1.727,3.2,4.333,1.67,3.2,5.0,1.66,3.2,5.0,1.66,3.1,5.0,1.85,1.85,1.8,1.9,1.85,1.95,-0.75,1.9,1.95,-0.75,1.85,2.05,-0.75,,1801.34,1670.54
I1,05/10/03,Perugia,Reggina,0,0,D,0,0,D,1.9,2.9,4.0,1.85,3.0,4.35,1.85,3.0,3.8,1.833,3.0,4.0,1.8,3.0,4.33,1.8,3.0,4.33,1.9,2.87,4.0,1.95,1.75,1.9,1.8,1.85,1.95,-0.5,1.85,2.0,-0.5,1.9,2.0,-0.5,,1680.24,1676.77
I1,05/10/03,Siena,Roma,0,0,D,0,0,D,4.33,3.0,1.8,4.0,3.2,1.85,3.6,3.1,1.85,4.0,3.0,1.833,4.33,3.25,1.73,4.33,3.2,1.75,4.2,3.0,1.8,1.75,1.95,1.83,1.83,1.95,1.85,0.5,1.95,1.9,0.5,1.95,1.95,0.5,,1679.7,1826.67
I1,18/10/03,Ancona,Juventus,2,3,A,0,2,A,7.0,3.6,1.44,8.0,3.8,1.4,5.4,3.8,1.45,6.5,3.6,1.444,7.0,3.5,1.44,7.0,3.6,1.44,7.0,3.5,1.44,1.75,1.95,1.72,2.0,1.9,1.9,1.25,1.9,1.95,1.25,1.9,2.0,1.25,,1576.76,1934.66
I1,18/10/03,Brescia,Inter,2,2,D,1,0,H,3.25,3.0,2.1,3.85,3.0,2.0,3.3,3.0,2.0,3.4,3.0,2.0,3.75,2.88,2.0,3.75,2.87,2.0,3.6,2.87,2.0,1.95,1.75,1.83,1.83,1.8,2.0,0.5,2.05,1.8,0.25,2.1,1.8,0.25,,1705.06,1825.26
I1,19/10/03,Bologna,Perugia,2,2,D,0,0,D,1.8,3.0,4.33,1.75,3.15,5.0,1.65,3.2,4.6,1.8,3.2,4.0,1.8,3.25,4.0,1.8,3.2,4.0,1.8,3.0,4.2,1.9,1.79,1.83,1.83,1.75,2.02,-0.5,1.8,2.05,-0.5,1.8,2.1,-0.5,,1670.35,1676.62
I1,19/10/03,Chievo,Sampdoria,1,1,D,1,0,H,1.83,3.25,3.75,1.9,3.0,4.1,1.9,3.1,3.5,1.909,3.0,3.75,1.83,3.0,4.33,1.85,3.0,4.2,1.9,3.0,3.75,1.85,1.85,1.8,1.9,1.9,1.9,-0.5,1.95,1.9,-0.5,1.975,1.925,-0.5,,1760.82,1665.31
I1,19/10/03,Milan,Lazio,1,0,H,1,0,H,1.83,3.0,4.2,1.9,3.0,4.1,1.75,3.1,4.2,1.727,3.2,4.333,1.8,3.25,4.0,1.83,3.0,4.2,1.72,3.1,4.5,1.79,1.9,1.83,1.83,1.9,1.9,-0.5,1.9,1.95,-0.5,1.9,2.0,-0.5,,1822.99,1834.36
