Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,EloHome,EloAway
P1,16/08/03,Academica,Sp Lisbon,1,2,A,0,0,D,3.4,3.25,1.9,3.75,3.25,1.85,3.4,3.2,1.9,3.75,3.3,1.83,3.6,3.3,1.83,1.71,1.95,2.0,1.8,0.25,,,,,,,,,,,,,,,,,,1432.57,1598.38
P1,17/08/03,Boavista,Benfica,0,0,D,0,0,D,2.75,3.2,2.25,2.7,3.15,2.4,2.3,3.0,2.7,2.75,3.25,2.25,2.87,3.3,2.1,1.9,1.75,2.05,1.75,-0.25,,,,,,,,,,,,,,,,,,1538.97,1660.49
P1,17/08/03,Gil Vicente,Alverca,0,1,A,0,0,D,1.667,3.4,4.333,1.7,3.4,4.5,1.8,3.3,3.6,1.72,3.4,4.2,1.65,3.5,4.1,1.79,1.85,2.0,1.8,-0.75,,,,,,,,,,,,,,,,,,1427.46,1368.15
P1,17/08/03,Maritimo,Beira Mar,1,0,H,0,0,D,1.571,3.5,5.0,1.6,3.5,5.25,1.65,3.3,4.4,1.53,3.5,5.5,1.55,3.6,4.65,1.79,1.85,2.05,1.75,-1.0,,,,,,,,,,,,,,,,,,1477.13,1443.95
P1,17/08/03,Moreirense,Rio Ave,1,0,H,0,0,D,1.8,3.3,3.75,1.85,3.25,3.9,1.8,3.3,3.6,1.75,3.4,4.0,1.65,3.5,4.1,1.75,1.9,1.8,2.0,-0.5,,,,,,,,,,,,,,,,,,1437.42,1400.0
P1,17/08/03,Nacional,Pacos Ferreira,2,0,H,1,0,H,2.0,3.2,3.2,2.0,3.2,3.45,2.1,3.0,3.1,2.0,3.25,3.25,1.95,3.25,3.15,1.95,1.71,1.95,1.85,-0.5,,,,,,,,,,,,,,,,,,1432.64,1484.15
P1,17/08/03,Porto,Sp Braga,2,0,H,1,0,H,1.167,5.5,11.0,1.2,5.5,11.0,1.2,5.0,10.0,1.2,5.5,10.0,1.2,5.0,11.0,1.6,2.1,1.9,1.9,-1.75,,,,,,,,,,,,,,,,,,1733.32,1442.17
P1,18/08/03,Guimaraes,Leiria,1,0,H,0,0,D,1.727,3.4,4.0,1.8,3.35,4.0,2.0,3.0,3.3,1.66,3.4,4.5,1.65,3.5,4.1,1.83,1.83,,,,,,,,,,,,,,,,,,,,,1457.12,1522.12
P1,22/08/03,Alverca,Maritimo,0,1,A,0,0,D,2.25,3.2,2.75,2.2,3.2,2.85,2.2,2.9,3.0,2.2,3.2,2.8,2.0,3.1,3.2,1.9,1.75,1.95,1.85,-0.25,,,,,,,,,,,,,,,,,,1386.01,1485.06
P1,23/08/03,Benfica,Guimaraes,2,0,H,1,0,H,1.4,3.75,7.0,1.4,3.7,7.0,1.45,3.8,5.4,1.4,3.75,7.0,1.36,4.0,7.0,1.6,2.1,1.85,1.95,-1.0,,,,,,,,,,,,,,,,,,1659.72,1468.37
