Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,EloHome,EloAway
SC1,09/08/03,Clyde,Ayr,3,0,H,0,0,D,1.533,3.6,5.0,1.65,3.6,4.05,1.6,3.4,3.8,1.667,3.4,4.333,,,,1.66,3.6,4.0,1.53,3.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1530.78,1384.93
SC1,09/08/03,Falkirk,Inverness C,2,1,H,1,1,D,2.2,3.5,2.6,1.95,3.55,3.0,2.0,3.3,2.7,2.1,3.5,2.75,,,,2.0,3.5,2.9,2.0,3.6,2.87,,,,,,,,,,,,,,,,,,,,,,,,,1526.01,1459.62
SC1,09/08/03,Raith Rvs,St Mirren,1,1,D,1,0,H,2.2,3.4,2.625,2.36,3.3,2.5,2.2,3.1,2.5,2.2,3.5,2.625,,,,2.2,3.5,2.6,2.37,3.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1321.99,1324.51
SC1,09/08/03,Ross County,Brechin,4,0,H,2,0,H,2.0,3.4,3.0,2.0,3.4,3.0,2.0,3.3,2.7,2.0,3.4,3.0,,,,2.0,3.4,3.0,2.0,3.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1325.98,1324.11
SC1,09/08/03,St Johnstone,Queen of Sth,4,1,H,2,0,H,1.5,3.6,5.5,1.5,3.6,5.5,1.5,3.6,4.4,1.533,3.6,5.0,,,,1.53,3.6,5.0,1.44,3.6,6.5,,,,,,,,,,,,,,,,,,,,,,,,,1460.72,1403.66
SC1,16/08/03,Ayr,Falkirk,1,1,D,0,1,A,3.0,3.4,2.0,2.75,3.55,2.05,2.7,3.3,2.0,2.75,3.5,2.1,,,,2.75,3.5,2.1,3.2,3.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,1380.04,1532.94
SC1,16/08/03,Brechin,Raith Rvs,0,3,A,0,1,A,2.375,3.5,2.375,2.3,3.4,2.5,2.2,3.3,2.4,2.25,3.5,2.5,,,,2.3,3.4,2.5,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1315.17,1318.57
SC1,16/08/03,Inverness C,Clyde,0,0,D,0,0,D,2.2,3.5,2.6,2.2,3.5,2.6,2.1,3.3,2.5,2.25,3.5,2.5,,,,2.2,3.5,2.6,2.25,3.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1452.69,1535.67
SC1,16/08/03,Queen of Sth,Ross County,1,0,H,1,0,H,2.5,3.4,2.3,2.5,3.4,2.3,2.2,3.3,2.4,2.375,3.5,2.375,,,,2.5,3.4,2.3,2.5,3.6,2.25,,,,,,,,,,,,,,,,,,,,,,,,,1396.45,1334.92
SC1,16/08/03,St Mirren,St Johnstone,1,1,D,0,0,D,3.0,3.4,2.0,2.7,3.55,2.1,2.5,3.3,2.1,2.625,3.5,2.2,,,,2.62,3.4,2.2,2.62,3.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,1327.93,1467.93
SC1,23/08/03,Clyde,Brechin,2,1,H,1,1,D,1.5,3.8,5.0,1.5,3.75,5.1,1.45,3.6,4.8,1.5,3.6,5.5,,,,1.5,3.6,5.5,1.44,3.75,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1536.28,1299.28
SC1,23/08/03,Falkirk,Queen of Sth,0,0,D,0,0,D,1.615,3.6,4.333,1.53,3.65,5.0,1.55,3.5,4.2,1.571,3.75,4.5,,,,1.5,3.75,5.25,1.5,3.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,1531.05,1403.52
SC1,23/08/03,Raith Rvs,Ayr,1,1,D,0,1,A,1.727,3.6,3.75,1.9,3.4,3.3,1.85,3.3,3.0,1.8,3.5,3.5,,,,1.9,3.5,3.2,1.9,3.4,3.25,,,,,,,,,,,,,,,,,,,,,,,,,1334.46,1381.93
SC1,23/08/03,Ross County,St Mirren,2,0,H,0,0,D,2.1,3.5,2.75,2.2,3.4,2.65,2.2,3.1,2.5,2.1,3.5,2.75,,,,2.25,3.4,2.6,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,1327.85,1329.36
SC1,23/08/03,St Johnstone,Inverness C,1,2,A,0,0,D,1.727,3.6,3.75,1.8,3.45,3.6,1.8,3.3,3.2,1.909,3.4,3.25,,,,1.8,3.5,3.5,1.83,3.4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,1466.5,1452.08
SC1,30/08/03,Ayr,Queen of Sth,1,4,A,0,1,A,2.1,3.5,2.75,2.1,3.35,2.85,2.1,3.3,2.5,2.1,3.5,2.75,,,,2.05,3.4,2.9,2.1,3.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,1383.81,1410.71
SC1,30/08/03,Raith Rvs,Falkirk,0,1,A,0,0,D,2.375,3.5,2.375,2.55,3.4,2.3,2.5,3.1,2.2,2.375,3.5,2.375,,,,2.6,3.4,2.25,2.6,3.4,2.25,,,,,,,,,,,,,,,,,,,,,,,,,1332.58,1523.86
SC1,30/08/03,Ross County,Inverness C,1,1,D,1,1,D,2.5,3.4,2.3,2.4,3.3,2.45,2.3,3.1,2.3,2.5,3.5,2.25,,,,2.37,3.5,2.37,2.4,3.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,1336.9,1468.55
SC1,30/08/03,St Johnstone,Brechin,3,1,H,0,0,D,1.444,3.75,6.0,1.4,4.15,5.8,1.45,3.7,4.6,1.533,3.75,5.0,,,,1.4,4.0,6.5,1.44,4.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,1450.03,1296.14
SC1,30/08/03,St Mirren,Clyde,2,1,H,0,0,D,2.5,3.5,2.25,2.6,3.25,2.3,2.5,3.1,2.2,2.625,3.5,2.2,,,,2.6,3.4,2.25,2.6,3.4,2.25,,,,,,,,,,,,,,,,,,,,,,,,,1320.31,1539.42
SC1,13/09/03,Brechin,St Mirren,1,1,D,1,1,D,2.5,3.5,2.25,2.55,3.4,2.25,2.4,3.3,2.2,2.5,3.5,2.25,,,,2.6,3.5,2.2,2.5,3.3,2.37,,,,,,,,,,,,,,,,,,,,,,,,,1291.43,1336.93
