Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
SC2,09/08/03,Alloa,Dumbarton,1.0,2.0,A,1.0,1.0,D,1.8,3.5,3.5,1.9,3.55,3.1,,,,1.833,3.5,3.4,,,,1.8,3.5,3.5,1.9,3.6,3.1,,,,,,,,,,,,,,,,,,,,,1259.82,1217.79
SC2,09/08/03,Arbroath,Berwick,1.0,0.0,H,1.0,0.0,H,2.1,3.5,2.75,2.1,3.4,2.8,,,,2.25,3.5,2.5,,,,2.2,3.4,2.62,2.1,3.4,2.8,,,,,,,,,,,,,,,,,,,,,1132.48,1217.27
SC2,09/08/03,East Fife,Stenhousemuir,3.0,2.0,H,2.0,0.0,H,2.3,3.4,2.5,2.4,3.35,2.4,,,,2.1,3.5,2.75,,,,2.25,3.4,2.6,2.4,3.4,2.4,,,,,,,,,,,,,,,,,,,,,1213.58,1190.1
SC2,09/08/03,Hamilton,Forfar,1.0,2.0,A,0.0,0.0,D,2.1,3.5,2.75,1.95,3.5,3.0,,,,2.1,3.5,2.75,,,,2.0,3.4,3.0,1.9,3.75,3.0,,,,,,,,,,,,,,,,,,,,,1223.9,1234.41
SC2,09/08/03,Morton,Airdrie Utd,3.0,1.0,H,0.0,1.0,A,2.3,3.4,2.5,2.2,3.45,2.6,,,,2.25,3.5,2.5,,,,2.2,3.5,2.6,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,1262.77,1283.79
SC2,16/08/03,Airdrie Utd,Alloa,1.0,0.0,H,0.0,0.0,D,1.833,3.5,3.4,1.9,3.45,3.2,,,,1.8,3.5,3.5,,,,1.9,3.5,3.2,1.83,3.6,3.3,,,,,,,,,,,,,,,,,,,,,1274.08,1242.48
SC2,16/08/03,Berwick,Hamilton,3.0,1.0,H,1.0,0.0,H,2.25,3.5,2.5,2.25,3.5,2.5,,,,2.25,3.5,2.5,,,,2.3,3.4,2.5,2.4,3.4,2.4,,,,,,,,,,,,,,,,,,,,,1205.32,1208.25
SC2,16/08/03,Dumbarton,Arbroath,1.0,1.0,D,0.0,0.0,D,2.375,3.5,2.375,2.37,3.5,2.37,,,,2.1,3.5,2.75,,,,2.37,3.4,2.37,2.4,3.4,2.4,,,,,,,,,,,,,,,,,,,,,1235.13,1144.43
SC2,16/08/03,Forfar,East Fife,0.0,1.0,A,0.0,0.0,D,1.727,3.6,3.75,1.8,3.5,3.45,,,,1.833,3.5,3.4,,,,1.83,3.5,3.4,1.72,3.6,3.75,,,,,,,,,,,,,,,,,,,,,1250.06,1221.82
SC2,16/08/03,Stenhousemuir,Morton,0.0,2.0,A,0.0,0.0,D,2.6,3.5,2.2,2.62,3.5,2.15,,,,2.75,3.5,2.1,,,,2.75,3.5,2.1,2.62,3.5,2.2,,,,,,,,,,,,,,,,,,,,,1181.86,1272.48
SC2,23/08/03,Alloa,Stenhousemuir,2.0,2.0,D,0.0,0.0,D,1.909,3.5,3.2,1.95,3.5,3.0,,,,1.8,3.5,3.5,,,,1.9,3.5,3.2,2.0,3.4,3.0,,,,,,,,,,,,,,,,,,,,,1234.5,1169.02
SC2,23/08/03,Arbroath,Forfar,0.0,0.0,D,0.0,0.0,D,2.1,3.5,2.75,2.15,3.4,2.7,,,,2.2,3.5,2.625,,,,2.1,3.5,2.75,2.2,3.5,2.62,,,,,,,,,,,,,,,,,,,,,1150.68,1233.14
SC2,23/08/03,East Fife,Berwick,3.0,1.0,H,0.0,1.0,A,2.25,3.5,2.5,2.25,3.4,2.55,,,,2.0,3.4,3.0,,,,2.25,3.4,2.6,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,1238.74,1214.42
SC2,23/08/03,Hamilton,Airdrie Utd,2.0,1.0,H,1.0,0.0,H,2.5,3.4,2.3,2.5,3.4,2.3,,,,2.5,3.5,2.25,,,,2.5,3.5,2.3,2.5,3.4,2.3,,,,,,,,,,,,,,,,,,,,,1199.15,1282.06
SC2,23/08/03,Morton,Dumbarton,2.0,2.0,D,1.0,0.0,H,1.667,3.6,4.0,1.65,3.65,4.0,,,,1.571,3.75,4.5,,,,1.61,3.6,4.33,1.66,3.75,3.6,,,,,,,,,,,,,,,,,,,,,1285.32,1228.88
SC2,30/08/03,Airdrie Utd,Dumbarton,2.0,0.0,H,2.0,0.0,H,1.8,3.5,3.5,1.8,3.45,3.55,,,,1.833,3.5,3.4,,,,1.8,3.5,3.5,1.8,3.5,3.5,,,,,,,,,,,,,,,,,,,,,1270.17,1234.16
SC2,30/08/03,Arbroath,Hamilton,2.0,2.0,D,1.0,1.0,D,2.2,3.4,2.625,2.3,3.3,2.55,,,,2.0,3.4,3.0,,,,2.2,3.5,2.6,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,1150.05,1211.04
SC2,30/08/03,Berwick,Alloa,3.0,2.0,H,1.0,1.0,D,2.25,3.5,2.5,2.15,3.25,2.85,,,,2.1,3.5,2.75,,,,2.1,3.4,2.8,2.1,3.4,2.8,,,,,,,,,,,,,,,,,,,,,1206.21,1228.96
SC2,30/08/03,Morton,East Fife,2.0,1.0,H,0.0,1.0,A,1.8,3.5,3.5,1.8,3.45,3.55,,,,1.909,3.4,3.25,,,,1.75,3.6,3.6,1.83,3.5,3.4,,,,,,,,,,,,,,,,,,,,,1280.04,1246.95
SC2,30/08/03,Stenhousemuir,Forfar,2.0,0.0,H,1.0,0.0,H,2.5,3.4,2.3,2.4,3.4,2.4,,,,2.375,3.5,2.375,,,,2.5,3.4,2.3,2.3,3.4,2.5,,,,,,,,,,,,,,,,,,,,,1174.56,1233.77
SC2,13/09/03,Alloa,Arbroath,2.0,2.0,D,1.0,0.0,H,2.37,3.5,2.37,2.35,3.5,2.4,,,,2.375,3.5,2.375,,,,2.37,3.4,2.4,2.4,3.4,2.4,,,,,,,,,,,,,,,,,,,,,1219.19,1148.65
SC2,13/09/03,Dumbarton,Berwick,1.0,1.0,D,1.0,0.0,H,2.3,3.4,2.5,2.3,3.4,2.5,,,,2.1,3.5,2.75,,,,2.3,3.4,2.5,2.4,3.4,2.4,,,,,,,,,,,,,,,,,,,,,1226.32,1215.98
SC2,13/09/03,East Fife,Airdrie Utd,3.0,1.0,H,1.0,1.0,D,2.5,3.4,2.3,2.5,3.4,2.3,,,,2.5,3.5,2.25,,,,2.5,3.4,2.3,2.5,3.5,2.25,,,,,,,,,,,,,,,,,,,,,1239.02,1278.01
SC2,13/09/03,Forfar,Morton,2.0,3.0,A,2.0,2.0,D,2.62,3.4,2.2,2.75,3.45,2.1,,,,2.75,3.5,2.1,,,,2.8,3.4,2.1,2.8,3.4,2.1,,,,,,,,,,,,,,,,,,,,,1222.73,1287.97
SC2,13/09/03,Hamilton,Stenhousemuir,2.0,0.0,H,0.0,0.0,D,1.8,3.5,3.5,1.85,3.5,3.3,,,,1.833,3.5,3.4,,,,1.83,3.5,3.4,1.8,3.5,3.5,,,,,,,,,,,,,,,,,,,,,1212.44,1185.6
SC2,20/09/03,Airdrie Utd,Arbroath,2.0,1.0,H,0.0,1.0,A,2.0,3.4,3.0,1.95,3.4,3.1,,,,2.1,3.5,2.75,,,,1.9,3.5,3.2,1.9,3.5,3.2,,,,,,,,,,,,,,,,,,,,,1267.68,1154.34
SC2,20/09/03,East Fife,Alloa,0.0,1.0,A,0.0,1.0,A,1.8,3.5,3.5,1.76,3.55,3.6,,,,1.615,3.5,4.5,,,,1.72,3.5,4.0,1.8,3.6,3.4,,,,,,,,,,,,,,,,,,,,,1249.35,1213.5
SC2,20/09/03,Forfar,Dumbarton,3.0,1.0,H,1.0,0.0,H,2.2,3.4,2.62,2.2,3.45,2.6,,,,2.25,3.5,2.5,,,,2.2,3.5,2.6,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,1208.98,1222.48
