Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC3,09/08/03,Albion Rvs,Stranraer,1.0,1.0,D,1.0,1.0,D,2.2,3.4,2.625,2.25,3.4,2.6,,,,2.2,3.5,2.625,,,,2.2,3.4,2.62,2.25,3.4,2.6,1175.33,1096.77
SC3,09/08/03,Elgin,East Stirling,3.0,1.0,H,2.0,0.0,H,1.8,3.5,3.5,1.9,3.5,3.2,,,,1.833,3.5,3.4,,,,2.0,3.4,3.0,2.0,3.4,3.0,921.73,826.11
SC3,09/08/03,Gretna,Queens Park,1.0,1.0,D,0.0,0.0,D,1.8,3.5,3.5,1.75,3.6,3.65,,,,1.727,3.5,3.75,,,,1.75,3.6,3.6,1.83,3.6,3.3,1057.62,964.18
SC3,09/08/03,Montrose,Peterhead,0.0,1.0,A,0.0,1.0,A,2.75,3.5,2.1,2.8,3.4,2.1,,,,3.2,3.5,1.909,,,,2.8,3.4,2.1,3.0,3.4,2.0,969.48,1149.8
SC3,09/08/03,Stirling,Cowdenbeath,0.0,0.0,D,0.0,0.0,D,2.25,3.5,2.5,2.2,3.4,2.65,,,,2.0,3.4,3.0,,,,2.2,3.5,2.62,2.2,3.5,2.62,1058.44,1084.14
SC3,16/08/03,Cowdenbeath,Albion Rvs,1.0,4.0,A,0.0,3.0,A,2.25,3.5,2.5,2.25,3.5,2.5,,,,2.375,3.5,2.375,,,,2.3,3.4,2.5,2.4,3.4,2.4,1086.77,1169.42
SC3,16/08/03,East Stirling,Montrose,1.0,1.0,D,0.0,0.0,D,2.75,3.5,2.1,2.7,3.5,2.1,,,,2.875,3.6,2.0,,,,2.87,3.6,2.0,2.87,3.6,2.0,819.99,959.82
SC3,16/08/03,Peterhead,Gretna,2.0,0.0,H,2.0,0.0,H,1.833,3.5,3.4,1.8,3.5,3.45,,,,1.8,3.5,3.5,,,,1.85,3.5,3.3,1.9,3.6,3.1,1159.46,1051.3
SC3,16/08/03,Queens Park,Elgin,5.0,2.0,H,2.0,1.0,H,2.2,3.5,2.6,2.0,3.4,3.0,,,,2.0,3.4,3.0,,,,2.0,3.4,3.0,2.25,3.6,2.5,970.5,927.85
SC3,16/08/03,Stranraer,Stirling,0.0,1.0,A,0.0,1.0,A,2.0,3.4,3.0,2.05,3.45,2.85,,,,2.0,3.4,3.0,,,,2.05,3.5,2.87,2.2,3.5,2.62,1102.68,1055.81
