Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
SP1,30/08/03,Albacete,Osasuna,0,2,A,0,1,A,2.3,3.0,3.0,2.35,3.1,2.9,2.0,3.1,3.2,2.2,3.0,3.0,2.3,3.0,2.88,2.3,3.0,2.87,2.2,3.1,2.87,2.0,1.71,2.0,1.72,2.05,1.75,-0.25,2.05,1.8,-0.25,2.05,1.85,-0.25,,,,,,,,1624.01,1665.28
SP1,30/08/03,Ath Bilbao,Barcelona,0,1,A,0,1,A,2.6,3.2,2.5,2.75,3.15,2.4,2.9,3.0,2.2,2.375,3.2,2.6,2.6,3.2,2.4,2.6,3.2,2.4,2.6,3.1,2.4,1.71,2.0,1.8,1.9,1.77,2.05,0.25,1.75,2.1,0.25,1.8,2.1,0.25,,,,,,,,1718.51,1750.74
SP1,30/08/03,Espanol,Sociedad,1,1,D,1,0,H,2.6,3.2,2.5,2.55,3.1,2.6,2.8,2.9,2.3,2.6,3.2,2.375,2.6,3.0,2.5,2.6,3.0,2.5,2.37,3.1,2.62,1.75,1.95,1.8,1.9,1.85,1.95,0.0,1.9,1.95,0.0,1.85,2.05,0.0,,,,,,,,1654.98,1790.66
SP1,30/08/03,Malaga,Villarreal,0,0,D,0,0,D,2.3,3.2,2.875,2.3,3.1,3.0,2.3,2.9,2.8,2.25,3.2,2.75,2.38,3.1,2.7,2.37,3.1,2.7,2.2,3.0,3.0,2.0,1.71,1.9,1.8,2.0,1.8,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,,,,,,,,1666.78,1645.5
SP1,30/08/03,Real Madrid,Betis,2,1,H,1,1,D,1.364,4.333,7.5,1.35,4.35,8.0,1.45,3.8,5.4,1.4,3.75,7.0,1.3,4.5,8.0,1.3,4.5,8.0,1.36,3.75,8.0,1.5,2.35,1.61,2.2,1.9,1.9,-1.5,1.95,1.9,-1.5,1.975,1.925,-1.5,,,,,,,,1852.6,1700.29
SP1,30/08/03,Valencia,Valladolid,1,1,D,0,1,A,1.4,3.75,8.5,1.45,3.8,7.0,1.5,3.7,5.0,1.444,3.6,6.5,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.75,7.0,1.95,1.75,1.9,1.8,1.85,1.95,-1.25,1.95,1.9,-1.25,2.025,1.875,-1.25,,,,,,,,1748.67,1644.03
SP1,31/08/03,Celta,Murcia,1,1,D,1,0,H,1.444,3.6,8.0,1.45,3.8,7.0,1.45,3.8,5.4,1.444,3.6,6.5,1.44,3.6,7.0,1.44,3.6,7.0,1.44,3.3,7.5,1.79,1.9,1.83,1.83,1.8,2.0,-1.25,1.85,2.0,-1.25,1.875,2.025,-1.25,,,,,,,,1749.23,1659.6
SP1,31/08/03,Santander,Mallorca,2,1,H,1,0,H,2.375,3.2,2.75,2.38,3.15,2.75,2.3,2.9,2.8,2.375,3.2,2.6,2.4,3.2,2.6,2.4,3.2,2.6,2.3,3.2,2.62,1.95,1.75,1.83,1.83,2.05,1.77,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,,,,,,,,1630.69,1690.02
SP1,31/08/03,Sevilla,Ath Madrid,1,0,H,1,0,H,2.2,3.2,3.0,2.25,3.1,3.05,2.1,2.9,3.2,2.25,3.2,2.75,2.25,3.1,2.88,2.25,3.1,2.87,2.25,3.1,2.8,2.05,1.65,1.9,1.8,1.95,1.85,-0.25,1.95,1.9,-0.25,1.9,2.0,-0.25,,,,,,,,1679.88,1645.71
SP1,31/08/03,Zaragoza,La Coruna,0,1,A,0,0,D,3.0,3.2,2.2,2.9,3.25,2.25,2.8,2.9,2.3,2.8,3.2,2.2,2.88,3.2,2.2,2.87,3.2,2.2,2.62,3.1,2.37,1.85,1.85,1.8,1.9,1.9,1.9,0.25,1.9,1.95,0.25,1.95,1.95,0.25,,,,,,,,1621.57,1807.59
SP1,02/09/03,Osasuna,Valencia,0,1,A,0,0,D,2.87,3.2,2.3,2.85,3.2,2.32,2.8,2.9,2.3,2.75,3.2,2.25,2.88,3.2,2.2,2.87,3.1,2.25,2.87,3.1,2.2,1.95,1.66,2.1,1.66,1.75,2.08,0.25,1.75,2.1,0.25,2.0,1.9,-0.75,,,,,,,,1679.87,1742.06
SP1,02/09/03,Sociedad,Celta,1,1,D,1,0,H,1.9,3.25,3.75,1.9,3.3,3.7,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.2,3.6,1.9,3.2,3.6,1.9,3.2,3.5,1.74,1.85,1.83,1.83,1.9,1.9,-0.5,1.95,1.9,-0.5,1.95,1.95,-0.5,,,,,,,,1789.38,1743.01
SP1,02/09/03,Villarreal,Real Madrid,1,1,D,0,0,D,4.0,3.4,1.8,4.25,3.4,1.81,3.6,3.1,1.85,4.333,3.2,1.727,4.0,3.4,1.73,4.0,3.4,1.75,3.75,3.3,1.8,1.66,1.95,1.72,2.0,1.7,2.05,0.75,1.95,1.9,0.5,1.975,1.925,0.5,,,,,,,,1649.69,1857.34
SP1,03/09/03,Ath Madrid,Albacete,1,0,H,0,0,D,1.53,3.4,6.5,1.45,3.75,7.0,1.45,3.6,5.8,1.444,3.6,6.5,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.6,6.5,1.74,1.85,1.8,1.9,1.85,1.95,-1.25,1.95,1.9,-1.25,1.975,1.925,-1.25,,,,,,,,1637.81,1609.42
SP1,03/09/03,Barcelona,Sevilla,1,1,D,0,1,A,1.57,3.4,6.0,1.53,3.65,5.75,1.5,3.7,5.0,1.571,3.5,5.0,1.44,3.75,6.5,1.44,3.75,6.5,1.5,3.6,5.5,1.75,1.9,1.8,1.9,2.0,1.8,-1.0,1.85,2.0,-0.75,1.9,2.0,-0.75,,,,,,,,1765.65,1687.78
SP1,03/09/03,Betis,Espanol,2,2,D,2,0,H,1.72,3.25,4.75,1.7,3.4,4.6,1.8,3.1,3.8,1.667,3.25,4.5,1.73,3.2,4.5,1.72,3.2,4.5,1.66,3.3,4.5,1.85,1.74,2.0,1.72,1.95,1.85,-0.75,1.9,1.95,-0.75,1.95,1.95,-0.75,,,,,,,,1695.55,1656.26
SP1,03/09/03,La Coruna,Ath Bilbao,2,0,H,1,0,H,1.57,3.4,6.0,1.5,3.75,6.0,1.5,3.5,5.4,1.571,3.25,5.5,1.5,3.5,6.0,1.5,3.5,6.0,1.5,3.4,6.0,1.7,1.9,1.8,1.9,2.0,1.8,-1.0,2.05,1.8,-1.0,1.8,2.1,-0.75,,,,,,,,1817.06,1703.6
SP1,03/09/03,Mallorca,Zaragoza,2,0,H,1,0,H,1.72,3.4,4.5,1.75,3.4,4.25,1.8,3.1,3.8,1.727,3.2,4.333,1.67,3.4,4.5,1.66,3.4,4.5,1.72,3.4,4.0,1.74,1.85,1.9,1.8,2.0,1.8,-0.75,2.05,1.8,-0.75,2.025,1.875,-0.75,,,,,,,,1678.98,1612.1
SP1,03/09/03,Murcia,Santander,1,1,D,1,1,D,2.25,3.2,2.9,2.15,3.2,3.1,2.0,3.0,3.3,2.1,3.2,3.0,2.25,3.2,2.8,2.25,3.2,2.8,2.0,3.2,3.2,1.9,1.7,1.9,1.8,1.85,1.95,-0.25,1.95,1.9,-0.25,1.875,2.025,-0.25,,,,,,,,1665.82,1641.73
SP1,03/09/03,Valladolid,Malaga,1,0,H,1,0,H,1.9,3.25,3.75,1.95,3.25,3.6,1.9,3.0,3.6,2.0,3.2,3.2,1.91,3.2,3.6,1.9,3.2,3.6,1.9,3.2,3.5,1.9,1.7,2.1,1.66,1.95,1.85,-0.5,2.0,1.85,-0.5,1.975,1.925,-0.5,,,,,,,,1650.64,1662.59
SP1,13/09/03,Celta,Betis,0,2,A,0,1,A,1.8,3.2,4.33,1.85,3.2,4.1,1.85,3.1,3.6,1.8,3.2,4.0,1.91,3.25,3.5,1.9,3.2,3.6,1.8,3.1,4.0,1.9,1.7,1.83,1.83,1.85,1.95,-0.5,1.95,1.9,-0.5,1.9,2.0,-0.5,,,,,,,,1747.99,1690.79
SP1,13/09/03,Real Madrid,Valladolid,7,2,H,3,0,H,1.28,4.5,10.0,1.28,4.75,9.5,1.3,4.2,8.0,1.333,4.0,8.0,1.25,4.5,10.0,1.25,4.75,10.0,1.25,4.5,10.0,1.51,2.2,1.61,2.2,1.8,2.0,-1.5,1.8,2.05,-1.5,1.875,2.025,-1.5,,,,,,,,1853.59,1660.04
SP1,13/09/03,Santander,Sociedad,0,1,A,0,1,A,2.6,3.2,2.5,2.65,3.05,2.55,2.5,3.0,2.5,2.5,3.2,2.5,2.62,3.0,2.5,2.6,3.0,2.5,2.4,3.1,2.6,1.7,1.9,1.9,1.8,1.85,1.95,0.0,1.8,2.05,0.0,1.9,2.0,-1.0,,,,,,,,1646.01,1784.4
SP1,13/09/03,Sevilla,La Coruna,1,2,A,0,1,A,2.7,3.2,2.4,2.65,3.05,2.55,2.7,3.0,2.3,2.5,3.2,2.5,2.62,3.0,2.5,2.6,3.0,2.5,2.62,2.9,2.5,1.85,1.74,2.0,1.72,1.95,1.85,0.0,2.05,1.8,0.0,2.0,1.9,-1.0,,,,,,,,1693.67,1822.72
SP1,14/09/03,Albacete,Barcelona,1,2,A,0,1,A,4.75,3.25,1.72,4.3,3.3,1.78,3.8,3.1,1.8,3.75,3.25,1.8,4.33,3.25,1.73,4.2,3.25,1.75,3.75,3.2,1.83,1.83,1.83,1.8,1.9,1.85,1.95,0.5,1.85,2.0,0.5,1.95,1.95,0.5,,,,,,,,1601.34,1759.76
SP1,14/09/03,Ath Bilbao,Mallorca,4,0,H,2,0,H,2.0,3.2,3.5,2.02,3.15,3.5,1.9,3.1,3.5,1.909,3.2,3.5,2.0,3.25,3.25,2.0,3.1,3.4,1.9,3.2,3.5,1.74,1.85,1.9,1.8,1.8,2.0,-0.25,1.8,2.05,-0.25,1.8,2.1,-0.25,,,,,,,,1697.94,1685.9
SP1,14/09/03,Espanol,Villarreal,1,2,A,1,1,D,2.25,3.2,2.9,2.3,3.1,2.93,2.1,2.9,3.2,2.25,3.0,2.875,2.25,3.0,3.0,2.3,3.0,2.87,2.1,3.0,3.2,1.9,1.7,1.9,1.8,2.0,1.8,-0.25,2.0,1.85,-0.25,2.0,1.9,-0.25,,,,,,,,1661.02,1653.44
SP1,14/09/03,Osasuna,Ath Madrid,1,0,H,1,0,H,2.37,3.2,2.75,2.5,3.05,2.7,2.4,3.0,2.6,2.375,3.2,2.6,2.5,3.0,2.62,2.5,3.0,2.6,2.37,3.1,2.62,1.9,1.7,2.0,1.72,1.9,1.9,0.0,2.05,1.8,-0.25,2.05,1.85,-0.25,,,,,,,,1666.02,1645.89
SP1,14/09/03,Valencia,Malaga,1,0,H,1,0,H,1.4,3.75,8.5,1.42,3.75,8.0,1.5,3.5,5.4,1.4,3.75,7.0,1.44,3.5,7.0,1.44,3.6,7.0,1.36,3.6,9.0,1.74,1.85,1.9,1.8,1.95,1.85,-1.25,1.95,1.9,-1.25,1.95,1.95,-1.25,,,,,,,,1755.91,1653.19
SP1,14/09/03,Zaragoza,Murcia,3,0,H,3,0,H,2.1,3.2,3.25,2.02,3.1,3.65,1.8,3.1,3.8,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.1,3.4,1.9,3.1,3.6,1.9,1.7,2.0,1.72,1.8,2.0,-0.25,2.1,1.75,-0.5,1.8,2.1,-0.25,,,,,,,,1605.18,1661.54
SP1,20/09/03,Ath Madrid,Valencia,0,3,A,0,0,D,2.37,3.2,2.75,2.5,3.1,2.65,2.3,3.0,2.7,2.5,2.875,2.625,2.4,3.1,2.7,2.4,3.1,2.7,2.5,3.1,2.5,1.95,1.66,2.0,1.72,1.9,1.9,0.0,1.9,1.95,0.0,1.925,1.975,0.0,,,,,,,,1637.55,1761.85
SP1,20/09/03,Barcelona,Osasuna,1,1,D,0,0,D,1.36,4.0,8.5,1.33,4.25,9.0,1.35,4.0,7.0,1.3,4.333,8.0,1.33,4.0,8.5,1.33,4.0,8.5,1.33,4.2,7.5,1.61,2.0,1.72,2.0,1.95,1.85,-1.5,2.0,1.85,-1.5,2.05,1.85,-1.5,,,,,,,,1770.18,1674.36
SP1,21/09/03,Betis,Santander,0,0,D,0,0,D,1.66,3.4,5.0,1.65,3.4,5.0,1.6,3.3,4.8,1.615,3.25,5.0,1.62,3.4,5.0,1.61,3.4,5.0,1.66,3.1,5.0,1.7,1.9,1.8,1.9,1.85,1.95,-0.75,1.8,2.05,-0.75,1.825,2.075,-0.75,,,,,,,,1708.59,1634.89
SP1,21/09/03,La Coruna,Albacete,3,0,H,0,0,D,1.28,4.5,10.0,1.3,4.5,9.5,1.3,4.2,8.0,1.25,4.5,10.0,1.29,4.5,8.5,1.28,4.5,8.5,1.22,5.0,9.5,1.61,2.0,1.72,2.0,2.0,1.8,-1.75,2.05,1.8,-1.75,2.05,1.85,-1.75,,,,,,,,1834.18,1590.92
SP1,21/09/03,Malaga,Real Madrid,1,3,A,0,1,A,5.0,3.4,1.66,5.1,3.5,1.6,4.4,3.3,1.65,4.5,3.5,1.615,4.5,3.4,1.67,4.5,3.4,1.66,5.5,3.3,1.57,1.61,2.0,1.66,2.1,1.9,1.9,1.0,1.95,1.9,1.0,1.95,1.95,1.0,,,,,,,,1647.25,1857.49
SP1,21/09/03,Mallorca,Sevilla,1,1,D,1,1,D,2.1,3.25,3.2,2.15,3.2,3.1,2.1,3.0,3.1,2.2,3.2,2.8,2.1,3.2,3.1,2.1,3.2,3.1,2.1,3.1,3.1,1.74,1.85,1.9,1.8,1.9,1.9,-0.25,2.05,1.8,-0.5,2.125,1.775,-0.5,,,,,,,,1677.3,1682.21
SP1,21/09/03,Murcia,Ath Bilbao,2,2,D,1,1,D,2.37,3.2,2.75,2.45,3.1,2.7,2.5,3.0,2.5,2.25,3.2,2.75,2.38,3.1,2.7,2.37,3.1,2.7,2.3,3.1,2.75,1.85,1.74,1.9,1.8,1.85,1.95,0.0,2.1,1.75,-0.25,2.1,1.8,-0.25,,,,,,,,1650.6,1706.54
SP1,21/09/03,Sociedad,Zaragoza,3,0,H,0,0,D,1.57,3.4,6.0,1.6,3.4,5.5,1.6,3.3,4.8,1.5,3.4,6.0,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.3,5.5,1.7,1.9,1.8,1.9,2.05,1.75,-1.0,2.0,1.85,-1.0,2.0,1.9,-1.0,,,,,,,,1795.52,1616.12
SP1,21/09/03,Valladolid,Espanol,3,1,H,2,1,H,2.0,3.2,3.5,2.1,3.1,3.35,2.0,3.1,3.2,1.833,3.2,3.75,2.0,3.1,3.4,2.0,3.1,3.4,2.1,3.0,3.2,1.9,1.7,2.0,1.72,1.85,1.95,-0.25,2.05,1.8,-0.5,2.1,1.8,-0.5,,,,,,,,1656.14,1644.77
SP1,21/09/03,Villarreal,Celta,1,1,D,0,0,D,2.25,3.2,2.9,2.2,3.1,3.1,2.0,3.1,3.2,2.1,3.2,3.0,2.25,3.1,2.88,2.25,3.1,2.87,2.1,3.1,3.1,1.74,1.85,1.9,1.8,1.95,1.85,-0.25,1.9,1.95,-0.25,1.825,2.025,-0.25,,,,,,,,1669.69,1730.19
