Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
F2,06/08/04,Brest,Nancy,3,2,H,1,2,A,2.5,2.75,2.75,2.3,3.0,2.9,2.4,2.75,2.9,2.6,2.6,2.6,,,,2.5,2.75,2.75,2.4,2.8,2.87,2.1,1.56,2.4,1.41,-0.5,,,,,,,,,,,,,,,,1480.0,1492.89
F2,06/08/04,Chateauroux,Angers,1,1,D,1,1,D,1.9,2.75,4.33,1.75,3.0,4.75,1.8,2.85,4.6,1.75,2.8,4.4,,,,1.83,2.88,4.33,1.8,2.9,4.5,1.9,1.7,1.8,1.76,-0.5,,,,,,,,,,,,,,,,1484.07,1480.55
F2,06/08/04,Grenoble,Guingamp,4,2,H,1,0,H,2.6,2.8,2.6,2.45,3.0,2.65,2.6,2.75,2.65,2.6,2.6,2.6,,,,2.62,2.75,2.62,2.6,2.7,2.7,2.3,1.46,2.6,1.35,-0.5,,,,,,,,,,,,,,,,1460.54,1561.39
F2,06/08/04,Gueugnon,Amiens,1,1,D,1,1,D,2.37,2.75,3.0,2.0,3.1,3.4,2.2,2.75,3.25,2.2,2.6,3.2,,,,2.25,2.75,3.2,2.2,2.7,3.35,2.2,1.51,2.2,1.49,-0.5,,,,,,,,,,,,,,,,1473.07,1438.11
F2,06/08/04,Laval,Dijon,2,1,H,1,0,H,2.0,2.8,3.75,1.85,3.2,3.75,1.85,2.85,4.35,1.9,2.7,3.8,,,,1.91,2.88,4.0,1.9,2.87,4.0,2.0,1.61,1.85,1.72,-0.5,,,,,,,,,,,,,,,,1459.16,1480.0
F2,06/08/04,Le Mans,Clermont,2,2,D,1,0,H,1.66,2.87,5.5,1.7,3.2,4.75,1.7,3.0,5.0,1.75,2.8,4.4,,,,1.73,3.0,4.75,1.66,3.1,5.0,1.95,1.66,1.7,1.88,-0.5,,,,,,,,,,,,,,,,1568.48,1446.26
F2,06/08/04,Reims,Creteil,2,1,H,0,1,A,2.1,2.75,3.5,2.0,3.0,3.5,2.0,2.75,3.85,2.0,2.6,3.6,,,,2.0,2.8,3.75,1.9,2.87,4.0,2.2,1.51,2.0,1.6,-0.5,,,,,,,,,,,,,,,,1446.59,1426.84
F2,06/08/04,Sedan,Lorient,3,2,H,2,2,D,2.0,2.8,3.75,1.9,3.1,3.75,2.0,2.75,3.85,1.85,2.7,4.0,,,,2.0,2.8,3.75,2.0,2.7,4.0,2.0,1.61,2.0,1.6,-0.5,,,,,,,,,,,,,,,,1549.45,1546.87
F2,08/08/04,Montpellier,Troyes,3,4,A,1,1,D,1.8,3.0,4.33,1.75,3.25,4.3,1.75,2.9,4.8,1.8,2.8,4.2,,,,1.8,2.88,4.5,1.8,2.9,4.5,1.95,1.66,1.75,1.81,-0.5,,,,,,,,,,,,,,,,1472.75,1496.77
F2,09/08/04,Le Havre,Niort,1,2,A,1,1,D,1.9,2.87,4.0,1.75,3.25,4.3,1.8,2.85,4.6,1.75,2.8,4.4,,,,1.83,2.88,4.33,1.8,2.9,4.5,2.0,1.61,1.8,1.76,-0.5,,,,,,,,,,,,,,,,1505.39,1477.3
