Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,EloHome,EloAway
I2,10/09/04,Torino,Verona,3,1,H,3,0,H,1.4,3.5,8.0,1.45,3.45,7.0,1.45,3.4,7.1,1.5,3.1,5.7,1.5,3.2,7.0,1.44,3.4,7.0,1.45,3.5,6.5,1.74,1.85,1.85,1.87,-1.0,,,,,,,,,,,1478.74,1464.83
I2,11/09/04,Arezzo,Catania,3,1,H,3,1,H,2.375,2.625,3.1,2.3,2.6,3.3,2.35,2.6,3.2,2.3,2.5,3.0,,,,2.4,2.6,3.1,2.35,2.65,3.1,1.95,1.66,2.1,1.67,-0.25,,,,,,,,,,,1480.0,1519.83
I2,11/09/04,Catanzaro,Bari,2,1,H,1,1,D,2.0,2.7,4.0,2.0,2.6,4.2,2.0,2.65,4.1,2.0,2.6,3.5,2.0,2.5,4.33,2.0,2.7,4.0,2.05,2.65,3.8,2.0,1.61,1.7,2.05,-0.25,,,,,,,,,,,1480.0,1458.34
I2,11/09/04,Cesena,Triestina,1,0,H,1,0,H,2.5,2.5,3.1,2.5,2.5,3.1,2.45,2.55,3.1,2.4,2.5,2.9,2.5,2.5,3.1,2.5,2.5,3.1,2.45,2.6,3.0,1.95,1.66,2.1,1.67,-0.25,,,,,,,,,,,1480.0,1518.05
I2,11/09/04,Empoli,Ascoli,2,1,H,1,1,D,2.2,2.5,3.75,2.2,2.5,3.8,2.15,2.55,3.75,2.1,2.5,3.4,2.2,2.6,3.5,2.1,2.6,3.75,2.1,2.6,3.8,1.8,1.8,1.9,1.8,-0.25,,,,,,,,,,,1556.81,1504.04
I2,11/09/04,Perugia,Crotone,2,1,H,2,0,H,1.533,3.1,6.5,1.5,3.25,6.5,1.55,3.1,6.45,1.5,3.1,5.7,1.5,3.2,7.0,1.57,3.1,6.0,1.55,3.1,6.5,1.8,1.8,2.05,1.7,-1.0,,,,,,,,,,,1605.17,1480.0
I2,11/09/04,Pescara,Piacenza,1,2,A,0,1,A,2.75,2.625,2.625,2.75,2.55,2.7,2.75,2.55,2.7,2.6,2.5,2.6,2.7,2.6,2.7,2.7,2.6,2.7,2.7,2.6,2.7,1.95,1.66,2.05,1.7,0.0,,,,,,,,,,,1395.93,1510.32
I2,11/09/04,Salernitana,Treviso,0,0,D,0,0,D,1.909,2.625,4.5,1.85,2.65,4.9,1.85,2.65,4.9,1.85,2.6,4.2,1.909,2.625,4.5,1.85,2.7,4.75,1.85,2.7,4.6,1.85,1.74,1.85,1.72,-0.5,,,,,,,,,,,1431.23,1469.12
I2,11/09/04,Venezia,Albinoleffe,0,2,A,0,2,A,2.2,2.625,3.4,2.15,2.55,3.75,2.15,2.6,3.65,2.1,2.5,3.4,2.1,2.6,3.75,2.1,2.6,3.75,2.1,2.6,3.8,1.9,1.7,2.15,1.52,-0.5,,,,,,,,,,,1436.98,1462.65
I2,11/09/04,Vicenza,Ternana,1,0,H,0,0,D,2.1,2.625,3.75,2.1,2.5,4.0,2.05,2.55,4.1,1.9,2.6,3.9,2.1,2.5,4.0,2.0,2.6,4.2,2.1,2.6,3.8,1.9,1.7,1.77,1.95,-0.25,,,,,,,,,,,1485.91,1517.05
I2,13/09/04,Modena,Genoa,1,1,D,0,0,D,2.25,2.6,3.4,2.35,2.5,3.35,2.25,2.55,3.45,2.3,2.5,3.0,2.5,2.5,3.0,2.3,2.62,3.25,2.3,2.6,3.3,1.9,1.7,1.7,2.05,0.0,,,,,,,,,,,1549.93,1474.03
I2,17/09/04,Catania,Vicenza,1,0,H,1,0,H,2.0,2.75,4.0,2.05,2.65,4.0,2.0,2.6,4.2,2.0,2.6,3.7,2.1,2.75,3.75,2.1,2.7,3.6,1.9,2.75,4.2,1.9,1.7,1.8,1.9,-0.25,,,,,,,,,,,1509.47,1495.96
I2,17/09/04,Piacenza,Venezia,2,1,H,0,0,D,1.53,3.4,6.0,1.35,3.9,8.0,1.37,3.75,7.75,1.4,3.3,7.5,1.364,3.75,9.0,1.44,3.6,6.5,1.44,3.55,6.5,1.85,1.74,1.77,1.95,-1.0,,,,,,,,,,,1522.3,1421.85
I2,18/09/04,Albinoleffe,Modena,2,0,H,2,0,H,2.5,2.62,3.0,2.5,2.5,3.1,2.45,2.55,3.1,2.4,2.5,3.0,2.4,2.5,3.2,2.4,2.6,3.1,2.6,2.7,2.7,2.0,1.61,1.7,2.05,0.0,,,,,,,,,,,1477.78,1544.09
I2,18/09/04,Ascoli,Torino,0,3,A,0,1,A,2.62,2.62,2.75,2.85,2.5,2.65,2.75,2.6,2.65,2.7,2.5,2.6,2.875,2.625,2.625,2.62,2.62,2.75,2.75,2.6,2.65,1.74,1.85,1.95,1.77,0.0,,,,,,,,,,,1496.71,1487.28
I2,18/09/04,Bari,Perugia,1,1,D,1,1,D,2.5,2.6,2.9,2.75,2.55,2.7,2.65,2.6,2.75,2.6,2.5,2.7,2.625,2.625,2.875,2.5,2.6,2.9,2.5,2.55,3.0,1.85,1.74,1.8,1.9,0.0,,,,,,,,,,,1450.05,1610.54
I2,18/09/04,Crotone,Cesena,0,1,A,0,0,D,2.1,2.62,3.75,2.1,2.5,4.0,2.1,2.6,3.8,2.0,2.5,4.0,2.1,2.625,3.75,2.1,2.7,3.6,2.05,2.65,3.8,1.95,1.66,1.77,1.95,-0.25,,,,,,,,,,,1474.63,1490.29
I2,18/09/04,Genoa,Pescara,2,0,H,1,0,H,1.5,3.4,6.0,1.35,3.85,8.0,1.37,3.75,7.75,1.4,3.3,7.5,1.444,3.5,7.0,1.4,3.75,7.0,1.4,3.6,7.5,1.74,1.85,1.95,1.77,-1.25,,,,,,,,,,,1479.87,1383.95
I2,18/09/04,Ternana,Salernitana,1,1,D,1,0,H,1.83,2.62,5.0,2.0,2.65,4.0,2.0,2.6,4.2,1.9,2.6,4.1,2.0,2.625,4.333,1.91,2.62,4.5,1.95,2.6,4.3,1.85,1.74,2.0,1.61,-0.5,,,,,,,,,,,1507.0,1429.02
I2,18/09/04,Treviso,Arezzo,1,4,A,0,1,A,2.0,2.87,3.75,2.3,2.45,3.55,2.25,2.55,3.5,2.2,2.5,3.3,2.3,2.625,3.25,2.1,2.7,3.6,2.15,2.65,3.5,1.9,1.7,1.8,1.9,-0.25,,,,,,,,,,,1471.33,1490.36
I2,18/09/04,Triestina,Catanzaro,1,0,H,1,0,H,1.8,3.0,4.33,1.8,2.65,5.2,1.8,2.65,5.25,1.75,2.7,4.8,1.8,2.625,5.5,1.8,2.8,4.75,1.75,2.75,5.2,1.95,1.66,1.8,1.76,-0.5,,,,,,,,,,,1507.76,1488.29
I2,18/09/04,Verona,Empoli,0,1,A,0,1,A,2.5,2.75,2.87,2.65,2.5,2.85,2.6,2.6,2.8,2.6,2.5,2.7,2.5,2.625,3.0,2.6,2.6,2.8,2.5,2.6,2.9,1.85,1.74,1.7,2.05,0.0,,,,,,,,,,,1456.29,1564.14
I2,21/09/04,Arezzo,Ascoli,0,0,D,0,0,D,1.66,2.75,6.5,1.65,2.85,6.0,1.65,2.75,6.5,,,,1.7,2.8,5.5,1.67,2.8,6.0,1.75,2.75,5.2,1.8,1.8,1.85,1.85,-0.75,,,,,,,,,,,1505.72,1480.4
I2,21/09/04,Catanzaro,Catania,2,3,A,1,1,D,2.3,2.62,3.25,2.35,2.5,3.35,2.3,2.55,3.35,2.3,2.5,3.1,2.2,2.62,3.4,2.3,2.6,3.25,2.2,2.5,3.65,2.0,1.61,1.95,1.75,-0.25,,,,,,,,,,,1479.93,1518.03
I2,21/09/04,Cesena,Bari,1,1,D,1,0,H,1.8,2.62,5.5,1.9,2.6,4.7,1.9,2.65,4.5,1.9,2.7,3.9,2.0,2.62,4.0,1.91,2.7,4.33,1.95,2.8,3.9,2.0,1.61,1.9,1.67,-0.5,,,,,,,,,,,1505.77,1452.2
I2,21/09/04,Empoli,Ternana,1,1,D,1,0,H,1.83,2.7,5.0,1.75,2.6,5.75,1.77,2.7,5.3,1.8,2.6,4.7,1.9,2.62,4.5,1.8,2.7,5.0,1.75,2.7,5.5,1.95,1.66,1.77,1.79,-0.5,,,,,,,,,,,1576.36,1501.1
I2,21/09/04,Modena,Piacenza,1,0,H,0,0,D,2.3,2.62,3.25,2.3,2.5,3.45,2.25,2.55,3.5,2.3,2.5,3.1,2.38,2.5,3.25,2.25,2.6,3.4,2.1,2.5,4.0,1.95,1.66,1.95,1.75,-0.25,,,,,,,,,,,1532.8,1528.29
I2,21/09/04,Perugia,Treviso,2,0,H,1,0,H,1.5,3.25,6.5,1.45,3.3,7.7,1.47,3.25,7.5,1.45,3.2,6.7,1.5,3.1,7.5,1.5,3.25,6.5,1.5,3.15,7.0,1.9,1.7,1.85,1.85,-1.0,,,,,,,,,,,1608.39,1455.97
I2,21/09/04,Pescara,Albinoleffe,1,3,A,0,1,A,2.5,2.6,3.0,2.45,2.45,3.25,2.55,2.55,2.9,2.4,2.5,3.0,2.4,2.5,3.2,2.4,2.6,3.1,2.4,2.5,3.2,2.0,1.61,1.75,1.95,0.0,,,,,,,,,,,1377.84,1489.07
I2,21/09/04,Torino,Genoa,2,1,H,0,0,D,2.75,3.0,2.37,2.65,3.05,2.45,3.0,3.0,2.25,2.7,2.9,2.4,2.75,3.0,2.38,2.8,3.0,2.38,2.7,3.0,2.37,1.9,1.7,1.95,1.63,-0.5,,,,,,,,,,,1503.59,1485.98
I2,21/09/04,Venezia,Verona,3,2,H,0,2,A,2.0,2.4,5.0,2.1,2.55,3.95,2.05,2.55,4.1,2.1,2.5,3.6,1.9,2.62,4.5,2.1,2.5,4.0,2.0,2.6,4.1,2.0,1.61,1.75,1.95,-0.25,,,,,,,,,,,1415.86,1444.07
I2,21/09/04,Vicenza,Crotone,3,2,H,1,1,D,1.66,2.75,6.5,1.7,2.75,5.75,1.71,2.75,5.7,1.7,2.7,5.2,1.8,2.75,5.0,1.73,2.75,5.5,,,,1.95,1.66,1.95,1.75,-0.75,,,,,,,,,,,1487.4,1459.15
I2,22/09/04,Salernitana,Triestina,3,3,D,1,3,A,2.2,2.6,3.5,2.15,2.55,3.75,2.1,2.65,3.7,2.1,2.5,3.6,2.1,2.625,3.75,2.2,2.62,3.5,2.1,2.6,3.75,1.95,1.66,1.75,1.95,-0.25,,,,,,,,,,,1434.92,1516.12
I2,24/09/04,Ascoli,Catanzaro,1,0,H,1,0,H,2.0,2.6,4.0,2.0,2.7,4.0,1.97,2.7,4.0,2.0,2.6,3.7,1.9,2.75,4.2,2.0,2.7,4.0,2.0,2.6,4.1,1.95,1.66,1.97,1.61,-0.5,,,,,,,,,,,1484.72,1465.23
I2,25/09/04,Albinoleffe,Vicenza,2,1,H,1,0,H,2.0,2.6,4.0,2.1,2.5,4.05,2.05,2.55,4.0,2.1,2.6,3.4,2.0,2.6,4.2,2.1,2.6,3.75,2.15,2.6,3.6,2.0,1.61,1.77,1.95,-0.25,,,,,,,,,,,1501.17,1495.48
I2,25/09/04,Bari,Torino,0,1,A,0,0,D,3.1,2.5,2.5,3.2,2.5,2.45,3.0,2.55,2.5,2.9,2.6,2.4,3.1,2.5,2.5,3.0,2.6,2.5,2.9,2.6,2.5,1.9,1.7,2.05,1.7,0.0,,,,,,,,,,,1457.39,1512.01
I2,25/09/04,Catania,Perugia,0,0,D,0,0,D,2.37,2.5,3.25,2.4,2.5,3.25,2.4,2.5,3.25,2.3,2.6,3.0,2.3,2.62,3.25,2.4,2.62,3.1,2.3,2.65,3.15,1.95,1.66,1.7,2.05,0.0,,,,,,,,,,,1532.73,1613.13
I2,25/09/04,Crotone,Modena,1,0,H,0,0,D,2.62,2.5,2.87,2.7,2.5,2.85,2.5,2.55,3.0,2.5,2.5,2.8,2.62,2.6,2.8,2.6,2.6,2.8,2.5,2.55,3.0,2.0,1.61,1.8,1.9,0.0,,,,,,,,,,,1451.07,1541.65
I2,25/09/04,Genoa,Salernitana,5,0,H,2,0,H,1.66,2.87,5.5,1.6,3.0,6.1,1.6,2.9,6.5,1.65,2.9,5.0,1.66,2.8,6.0,1.62,3.0,5.75,1.65,2.95,5.5,1.95,1.66,1.8,1.9,-0.75,,,,,,,,,,,1477.56,1434.24
I2,25/09/04,Piacenza,Cesena,2,1,H,0,0,D,1.66,2.87,5.5,1.7,2.75,5.9,1.65,2.85,6.0,1.7,2.8,4.9,1.66,2.8,6.0,1.7,2.8,5.5,1.7,2.9,5.1,1.9,1.7,1.9,1.8,-0.75,,,,,,,,,,,1519.44,1500.58
I2,25/09/04,Ternana,Venezia,2,0,H,1,0,H,1.72,2.87,5.0,1.75,2.75,5.35,1.7,2.8,5.5,1.7,2.8,4.9,1.72,2.75,5.5,1.73,2.8,5.25,1.7,2.9,5.1,1.9,1.7,1.97,1.75,-0.75,,,,,,,,,,,1506.92,1425.81
I2,25/09/04,Treviso,Pescara,1,1,D,1,1,D,1.8,2.87,4.5,1.8,2.75,4.9,1.77,2.75,5.0,1.8,2.7,4.4,1.83,2.62,5.0,1.8,2.8,4.75,1.75,2.87,4.75,1.9,1.7,1.77,1.77,-0.5,,,,,,,,,,,1451.23,1365.74
I2,25/09/04,Triestina,Empoli,3,4,A,2,2,D,2.1,2.5,4.0,2.1,2.5,4.05,2.05,2.55,4.0,2.1,2.5,3.6,2.1,2.62,3.75,2.1,2.6,3.75,2.05,2.6,3.9,1.95,1.66,1.8,1.9,-0.25,,,,,,,,,,,1516.8,1570.54
I2,27/09/04,Verona,Arezzo,5,3,H,2,3,A,2.75,2.5,2.75,2.85,2.55,2.65,2.8,2.6,2.6,2.6,2.6,2.6,2.75,2.6,2.62,2.8,2.6,2.6,2.7,2.62,2.65,1.95,1.66,1.85,1.85,0.0,,,,,,,,,,,1434.12,1501.4
I2,01/10/04,Perugia,Genoa,2,2,D,0,1,A,2.2,2.5,3.75,2.2,2.5,3.75,2.1,2.6,3.8,2.2,2.6,3.2,2.2,2.5,3.75,2.1,2.62,3.75,2.1,2.7,3.55,2.0,1.61,1.82,1.89,-0.25,,,,,,,,,,,1613.83,1485.18
I2,01/10/04,Vicenza,Piacenza,4,2,H,0,1,A,2.25,2.62,3.4,2.55,2.5,3.05,2.3,2.55,3.3,2.4,2.6,2.9,2.3,2.6,3.2,2.38,2.62,3.1,2.1,2.7,3.55,2.0,1.61,2.05,1.7,-0.25,,,,,,,,,,,1486.67,1527.82
I2,02/10/04,Arezzo,Triestina,1,2,A,1,2,A,1.9,2.75,4.33,1.8,2.7,5.1,1.85,2.7,4.6,1.85,2.6,4.4,1.83,2.75,4.5,1.91,2.7,4.33,2.0,2.65,4.0,1.8,1.8,1.85,1.7,-0.5,,,,,,,,,,,1490.07,1502.65
I2,02/10/04,Ascoli,Treviso,2,1,H,1,0,H,1.9,2.5,5.0,1.65,2.75,6.5,1.7,2.85,5.4,1.75,2.7,4.8,1.75,2.8,5.0,1.8,2.7,5.0,1.9,2.7,4.3,1.8,1.8,1.95,1.77,-0.75,,,,,,,,,,,1493.08,1445.13
I2,02/10/04,Bari,Albinoleffe,1,1,D,0,1,A,2.4,2.75,2.9,2.6,2.55,2.9,2.45,2.65,2.95,2.6,2.6,2.7,2.6,2.6,2.8,2.5,2.62,2.88,2.25,2.65,3.25,2.0,1.61,1.81,1.9,0.0,,,,,,,,,,,1443.27,1509.98
